,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-11 22:00:00,1.06183,long,long,long,neutral
1,2023-10-11 18:00:00,1.06074,long,long,long,neutral
2,2023-10-11 16:00:00,1.06242,long,long,long,long
3,2023-10-11 14:00:00,1.06146,long,long,long,neutral
4,2023-10-11 12:00:00,1.06018,long,short,long,short
5,2023-10-11 10:00:00,1.06086,long,short,long,neutral
6,2023-10-11 08:00:00,1.06106,long,short,long,neutral
7,2023-10-11 06:00:00,1.06028,long,short,long,short
8,2023-10-11 04:00:00,1.06078,long,short,long,neutral
9,2023-10-11 02:00:00,1.06108,long,short,long,long
10,2023-10-11 00:00:00,1.06054,long,short,long,long
11,2023-10-10 22:00:00,1.06047,long,short,long,neutral
12,2023-10-10 20:00:00,1.05988,long,short,long,neutral
13,2023-10-10 18:00:00,1.06173,long,short,long,long
14,2023-10-10 16:00:00,1.05973,long,short,long,long
15,2023-10-10 14:00:00,1.05934,long,short,long,neutral
16,2023-10-10 12:00:00,1.05922,long,short,long,neutral
17,2023-10-10 10:00:00,1.06044,long,short,long,long
18,2023-10-10 08:00:00,1.05615,long,short,long,neutral
19,2023-10-10 06:00:00,1.05614,long,short,long,short
20,2023-10-10 04:00:00,1.05672,long,short,long,neutral
21,2023-10-10 02:00:00,1.05728,long,short,long,long
22,2023-10-10 00:00:00,1.05688,long,short,long,long
23,2023-10-09 22:00:00,1.056685,long,short,long,long
24,2023-10-09 20:00:00,1.05644,long,short,long,neutral
25,2023-10-09 18:00:00,1.05356,long,short,short,neutral
26,2023-10-09 16:00:00,1.05454,long,short,short,long
27,2023-10-09 14:00:00,1.05332,long,short,short,neutral
28,2023-10-09 12:00:00,1.05282,long,short,short,neutral
29,2023-10-09 10:00:00,1.05416,long,short,long,neutral
30,2023-10-09 08:00:00,1.05372,long,short,long,short
31,2023-10-09 06:00:00,1.05502,long,short,long,short
32,2023-10-09 04:00:00,1.05616,long,short,long,neutral
33,2023-10-09 02:00:00,1.05736,long,short,long,neutral
34,2023-10-09 00:00:00,1.05584,long,short,long,short
35,2023-10-06 22:00:00,1.05872,long,short,long,neutral
36,2023-10-06 20:00:00,1.05935,long,short,long,long
37,2023-10-06 18:00:00,1.05793,long,short,long,long
38,2023-10-06 16:00:00,1.05378,long,long,long,neutral
39,2023-10-06 14:00:00,1.04963,long,long,long,neutral
40,2023-10-06 12:00:00,1.05547,long,short,long,long
41,2023-10-06 10:00:00,1.05484,long,short,long,neutral
42,2023-10-06 08:00:00,1.05348,long,short,long,short
43,2023-10-06 06:00:00,1.05405,long,short,long,neutral
44,2023-10-06 04:00:00,1.05449,long,short,long,neutral
45,2023-10-06 02:00:00,1.05418,long,short,long,short
46,2023-10-06 00:00:00,1.05482,long,short,long,short
47,2023-10-05 22:00:00,1.0551,long,short,long,neutral
48,2023-10-05 20:00:00,1.05511,long,short,long,long
49,2023-10-05 18:00:00,1.0536,long,short,long,long
50,2023-10-05 16:00:00,1.05302,long,short,long,neutral
51,2023-10-05 14:00:00,1.0515,long,short,long,neutral
52,2023-10-05 12:00:00,1.05188,long,short,long,neutral
53,2023-10-05 10:00:00,1.05043,long,short,long,short
54,2023-10-05 08:00:00,1.05072,long,short,long,short
55,2023-10-05 06:00:00,1.05208,long,short,long,neutral
56,2023-10-05 04:00:00,1.05233,long,short,long,long
57,2023-10-05 02:00:00,1.05204,long,short,long,long
58,2023-10-05 00:00:00,1.05066,long,short,long,long
59,2023-10-04 22:00:00,1.0504,long,short,long,neutral
60,2023-10-04 20:00:00,1.05033,long,short,long,neutral
61,2023-10-04 18:00:00,1.05122,long,short,long,neutral
62,2023-10-04 16:00:00,1.0493,long,short,long,neutral
63,2023-10-04 14:00:00,1.05252,long,short,long,long
64,2023-10-04 12:00:00,1.05034,long,short,long,long
65,2023-10-04 10:00:00,1.04862,long,short,short,neutral
66,2023-10-04 08:00:00,1.04605,long,long,short,neutral
67,2023-10-04 06:00:00,1.04702,long,long,short,neutral
68,2023-10-04 04:00:00,1.04632,long,long,short,neutral
69,2023-10-04 02:00:00,1.04714,long,long,short,neutral
70,2023-10-04 00:00:00,1.04646,long,long,short,short
71,2023-10-03 22:00:00,1.04669,long,long,short,neutral
72,2023-10-03 20:00:00,1.04748,long,long,short,neutral
73,2023-10-03 18:00:00,1.04624,long,long,short,neutral
74,2023-10-03 16:00:00,1.04756,long,long,short,neutral
75,2023-10-03 14:00:00,1.04662,long,long,short,short
76,2023-10-03 12:00:00,1.0476,long,long,short,neutral
77,2023-10-03 10:00:00,1.04853,long,long,short,long
78,2023-10-03 08:00:00,1.0473,long,long,short,neutral
79,2023-10-03 06:00:00,1.04634,long,long,short,short
80,2023-10-03 04:00:00,1.04665,long,long,short,short
81,2023-10-03 02:00:00,1.04726,long,long,short,short
82,2023-10-03 00:00:00,1.04768,long,long,short,short
83,2023-10-02 22:00:00,1.0478,long,long,short,neutral
84,2023-10-02 20:00:00,1.04928,long,long,short,neutral
85,2023-10-02 18:00:00,1.04892,long,long,short,short
86,2023-10-02 16:00:00,1.04956,long,long,short,short
87,2023-10-02 14:00:00,1.05296,long,long,short,short
88,2023-10-02 12:00:00,1.05396,long,long,short,short
89,2023-10-02 10:00:00,1.05621,long,short,long,neutral
90,2023-10-02 08:00:00,1.05896,long,short,long,long
91,2023-10-02 06:00:00,1.05688,long,short,long,long
92,2023-10-02 04:00:00,1.05679,long,short,long,long
93,2023-10-02 02:00:00,1.05641,long,short,long,neutral
94,2023-10-02 00:00:00,1.05592,long,short,long,short
95,2023-09-29 22:00:00,1.05744,long,short,long,short
96,2023-09-29 20:00:00,1.05776,long,short,long,short
97,2023-09-29 18:00:00,1.05777,long,short,long,short
98,2023-09-29 16:00:00,1.05871,long,short,long,short
99,2023-09-29 14:00:00,1.05999,long,short,long,neutral
100,2023-09-29 12:00:00,1.06092,long,short,long,long
101,2023-09-29 10:00:00,1.06092,long,short,long,long
102,2023-09-29 08:00:00,1.05902,long,short,long,long
103,2023-09-29 06:00:00,1.05802,long,short,long,long
104,2023-09-29 04:00:00,1.05791,long,short,long,neutral
105,2023-09-29 02:00:00,1.05642,long,short,short,short
106,2023-09-29 00:00:00,1.0565,long,short,long,neutral
107,2023-09-28 22:00:00,1.05664,long,short,short,neutral
108,2023-09-28 20:00:00,1.0555,long,short,short,short
109,2023-09-28 18:00:00,1.0558,long,short,short,neutral
110,2023-09-28 16:00:00,1.0563,long,short,short,neutral
111,2023-09-28 14:00:00,1.05181,long,long,short,neutral
112,2023-09-28 12:00:00,1.05399,long,long,short,long
113,2023-09-28 10:00:00,1.05168,long,long,short,neutral
114,2023-09-28 08:00:00,1.04954,long,long,short,neutral
115,2023-09-28 06:00:00,1.05043,long,long,short,neutral
116,2023-09-28 04:00:00,1.04998,long,long,short,neutral
117,2023-09-28 02:00:00,1.05154,long,long,short,long
118,2023-09-28 00:00:00,1.05036,long,long,short,neutral
119,2023-09-27 22:00:00,1.05026,long,long,short,neutral
120,2023-09-27 20:00:00,1.0507,long,long,short,neutral
121,2023-09-27 18:00:00,1.0503,long,long,short,short
122,2023-09-27 16:00:00,1.05089,long,long,short,short
123,2023-09-27 14:00:00,1.05468,long,long,short,short
124,2023-09-27 12:00:00,1.05542,long,long,short,short
125,2023-09-27 10:00:00,1.056,long,long,short,neutral
126,2023-09-27 08:00:00,1.05693,long,long,short,neutral
127,2023-09-27 06:00:00,1.05602,long,long,short,neutral
128,2023-09-27 04:00:00,1.05646,long,long,short,neutral
129,2023-09-27 02:00:00,1.056,long,long,short,short
130,2023-09-27 00:00:00,1.05716,long,long,short,neutral
131,2023-09-26 22:00:00,1.0572,long,long,short,neutral
132,2023-09-26 20:00:00,1.05663,long,long,short,short
133,2023-09-26 18:00:00,1.05692,long,long,short,short
134,2023-09-26 16:00:00,1.0584,long,long,short,neutral
135,2023-09-26 14:00:00,1.06059,long,long,short,long
136,2023-09-26 12:00:00,1.05962,long,long,short,long
137,2023-09-26 10:00:00,1.0596,long,long,short,neutral
138,2023-09-26 08:00:00,1.05715,long,long,short,neutral
139,2023-09-26 06:00:00,1.05926,long,long,short,neutral
140,2023-09-26 04:00:00,1.05801,long,long,short,short
141,2023-09-26 02:00:00,1.05845,long,long,short,neutral
142,2023-09-26 00:00:00,1.05941,long,long,short,long
143,2023-09-25 22:00:00,1.05932,long,long,short,neutral
144,2023-09-25 20:00:00,1.0587,long,long,short,neutral
145,2023-09-25 18:00:00,1.05892,long,long,short,neutral
146,2023-09-25 16:00:00,1.05774,long,long,short,short
147,2023-09-25 14:00:00,1.06223,long,long,short,neutral
148,2023-09-25 12:00:00,1.06372,long,long,short,neutral
149,2023-09-25 10:00:00,1.06258,long,long,short,short
150,2023-09-25 08:00:00,1.06462,long,long,short,short
151,2023-09-25 06:00:00,1.0649,long,long,long,short
152,2023-09-25 04:00:00,1.06492,long,long,short,neutral
153,2023-09-25 02:00:00,1.06546,long,long,short,long
154,2023-09-25 00:00:00,1.06493,long,long,long,neutral
155,2023-09-22 22:00:00,1.06448,long,long,long,short
156,2023-09-22 20:00:00,1.06469,long,long,long,short
157,2023-09-22 18:00:00,1.06558,long,long,long,neutral
158,2023-09-22 16:00:00,1.06583,long,long,short,long
159,2023-09-22 14:00:00,1.06558,long,long,short,neutral
160,2023-09-22 12:00:00,1.06356,long,long,short,short
161,2023-09-22 10:00:00,1.06462,long,long,short,neutral
162,2023-09-22 08:00:00,1.06598,long,long,short,long
163,2023-09-22 06:00:00,1.06548,long,long,short,neutral
164,2023-09-22 04:00:00,1.06481,long,long,short,short
165,2023-09-22 02:00:00,1.06576,long,long,short,neutral
166,2023-09-22 00:00:00,1.06616,long,long,short,neutral
167,2023-09-21 22:00:00,1.0661,long,long,short,neutral
168,2023-09-21 20:00:00,1.06617,long,long,short,neutral
169,2023-09-21 18:00:00,1.0656,long,long,short,neutral
170,2023-09-21 16:00:00,1.06599,long,long,short,neutral
171,2023-09-21 14:00:00,1.06423,long,long,short,short
172,2023-09-21 12:00:00,1.06506,long,long,short,neutral
173,2023-09-21 10:00:00,1.06556,long,long,short,long
174,2023-09-21 08:00:00,1.06504,long,long,short,long
175,2023-09-21 06:00:00,1.06372,long,long,short,neutral
176,2023-09-21 04:00:00,1.06274,long,long,short,short
177,2023-09-21 02:00:00,1.06314,long,long,short,short
178,2023-09-21 00:00:00,1.06552,long,long,short,short
179,2023-09-20 22:00:00,1.06599,long,long,short,short
180,2023-09-20 20:00:00,1.0687,long,short,long,neutral
181,2023-09-20 18:00:00,1.07351,long,short,long,long
182,2023-09-20 16:00:00,1.07196,long,long,long,neutral
183,2023-09-20 14:00:00,1.06981,long,long,long,neutral
184,2023-09-20 12:00:00,1.07034,long,long,long,long
185,2023-09-20 10:00:00,1.06964,long,long,long,long
186,2023-09-20 08:00:00,1.06819,long,long,long,neutral
187,2023-09-20 06:00:00,1.06788,long,long,long,short
188,2023-09-20 04:00:00,1.06832,long,long,long,neutral
189,2023-09-20 02:00:00,1.0685,long,long,long,long
190,2023-09-20 00:00:00,1.06822,long,long,long,long
191,2023-09-19 22:00:00,1.06791,long,long,long,neutral
