,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-11 22:00:00,1.91955,long,short,long,neutral
1,2023-10-11 18:00:00,1.92028,long,short,long,long
2,2023-10-11 16:00:00,1.91916,long,short,long,long
3,2023-10-11 14:00:00,1.91722,long,short,long,long
4,2023-10-11 12:00:00,1.91534,long,short,long,neutral
5,2023-10-11 10:00:00,1.91203,long,short,short,short
6,2023-10-11 08:00:00,1.91416,long,short,long,neutral
7,2023-10-11 06:00:00,1.91478,long,short,long,long
8,2023-10-11 04:00:00,1.91348,long,short,short,neutral
9,2023-10-11 02:00:00,1.91018,long,short,short,neutral
10,2023-10-11 00:00:00,1.91085,long,short,short,neutral
11,2023-10-10 22:00:00,1.91022,long,short,short,short
12,2023-10-10 20:00:00,1.91164,long,short,short,neutral
13,2023-10-10 18:00:00,1.91228,long,short,short,neutral
14,2023-10-10 16:00:00,1.91141,long,short,short,neutral
15,2023-10-10 14:00:00,1.91406,long,short,short,long
16,2023-10-10 12:00:00,1.91367,long,short,short,long
17,2023-10-10 10:00:00,1.9113,long,short,short,long
18,2023-10-10 08:00:00,1.90856,long,short,short,neutral
19,2023-10-10 06:00:00,1.90754,long,short,short,neutral
20,2023-10-10 04:00:00,1.90852,long,long,short,neutral
21,2023-10-10 02:00:00,1.90847,long,long,short,neutral
22,2023-10-10 00:00:00,1.90942,long,long,short,long
23,2023-10-09 22:00:00,1.908635,long,long,short,neutral
24,2023-10-09 20:00:00,1.90798,long,long,short,short
25,2023-10-09 18:00:00,1.91255,long,long,long,neutral
26,2023-10-09 16:00:00,1.91501,long,long,long,neutral
27,2023-10-09 14:00:00,1.91351,long,long,long,short
28,2023-10-09 12:00:00,1.91408,long,long,short,short
29,2023-10-09 10:00:00,1.9149,long,long,long,short
30,2023-10-09 08:00:00,1.91962,long,long,long,neutral
31,2023-10-09 06:00:00,1.92082,long,long,long,long
32,2023-10-09 04:00:00,1.91858,long,long,long,neutral
33,2023-10-09 02:00:00,1.91564,long,long,long,neutral
34,2023-10-09 00:00:00,1.92093,long,long,long,long
35,2023-10-06 22:00:00,1.91678,long,long,long,neutral
36,2023-10-06 20:00:00,1.9147,long,long,long,short
37,2023-10-06 18:00:00,1.91768,long,long,long,neutral
38,2023-10-06 16:00:00,1.9196,long,long,short,neutral
39,2023-10-06 14:00:00,1.91642,long,short,short,neutral
40,2023-10-06 12:00:00,1.91992,long,short,short,long
41,2023-10-06 10:00:00,1.91674,long,long,short,long
42,2023-10-06 08:00:00,1.91382,long,long,short,long
43,2023-10-06 06:00:00,1.91231,long,long,short,neutral
44,2023-10-06 04:00:00,1.91026,long,long,short,short
45,2023-10-06 02:00:00,1.91286,long,long,short,short
46,2023-10-06 00:00:00,1.91376,long,long,long,short
47,2023-10-05 22:00:00,1.913785,long,long,long,short
48,2023-10-05 20:00:00,1.91379,long,long,long,neutral
49,2023-10-05 18:00:00,1.91554,long,long,short,long
50,2023-10-05 16:00:00,1.91492,long,long,short,neutral
51,2023-10-05 14:00:00,1.9125,long,long,short,short
52,2023-10-05 12:00:00,1.91255,long,long,short,neutral
53,2023-10-05 10:00:00,1.91436,long,long,short,long
54,2023-10-05 08:00:00,1.9111,long,long,short,neutral
55,2023-10-05 06:00:00,1.90764,long,long,short,short
56,2023-10-05 04:00:00,1.91087,long,long,long,short
57,2023-10-05 02:00:00,1.9151,long,long,long,short
58,2023-10-05 00:00:00,1.91812,long,long,long,short
59,2023-10-04 22:00:00,1.91914,long,long,long,neutral
60,2023-10-04 20:00:00,1.92006,long,long,long,neutral
61,2023-10-04 18:00:00,1.91963,long,long,long,short
62,2023-10-04 16:00:00,1.91982,long,long,long,neutral
63,2023-10-04 14:00:00,1.92048,long,short,long,long
64,2023-10-04 12:00:00,1.91818,long,short,long,long
