,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 00:45:00,1.2312,long,long,long,neutral
1,2023-10-12 00:15:00,1.2312,long,long,long,neutral
2,2023-10-12 00:00:00,1.23132,long,long,long,neutral
3,2023-10-11 23:45:00,1.231125,long,long,long,short
4,2023-10-11 23:30:00,1.23138,long,long,long,neutral
5,2023-10-11 23:15:00,1.23139,long,long,long,long
6,2023-10-11 23:00:00,1.23134,long,long,long,neutral
7,2023-10-11 22:45:00,1.23087,long,long,short,short
8,2023-10-11 22:30:00,1.231,long,long,short,neutral
9,2023-10-11 22:15:00,1.23111,long,long,short,long
10,2023-10-11 22:00:00,1.23092,long,long,short,long
11,2023-10-11 21:45:00,1.23044,long,long,short,long
12,2023-10-11 21:30:00,1.22993,long,long,short,long
13,2023-10-11 21:15:00,1.22933,long,long,short,long
14,2023-10-11 21:00:00,1.22873,long,long,short,long
15,2023-10-11 20:45:00,1.22873,long,long,short,neutral
16,2023-10-11 20:30:00,1.22804,long,long,short,short
17,2023-10-11 20:15:00,1.22903,long,short,short,short
18,2023-10-11 20:00:00,1.22932,long,short,long,short
19,2023-10-11 19:45:00,1.22967,long,short,long,neutral
20,2023-10-11 19:30:00,1.2301,long,short,long,neutral
21,2023-10-11 19:15:00,1.22924,long,short,long,short
22,2023-10-11 19:00:00,1.2297,long,short,long,neutral
23,2023-10-11 18:45:00,1.23018,long,short,long,neutral
24,2023-10-11 18:30:00,1.23008,long,short,long,neutral
25,2023-10-11 18:15:00,1.23032,long,short,long,neutral
26,2023-10-11 18:00:00,1.23008,long,short,long,short
27,2023-10-11 17:45:00,1.23126,long,short,long,short
28,2023-10-11 17:30:00,1.23164,long,short,long,short
29,2023-10-11 17:15:00,1.23166,long,short,long,short
30,2023-10-11 17:00:00,1.23186,long,short,long,neutral
31,2023-10-11 16:45:00,1.23306,long,short,long,neutral
32,2023-10-11 16:30:00,1.2312,long,short,long,neutral
33,2023-10-11 16:15:00,1.23164,long,short,long,neutral
34,2023-10-11 16:00:00,1.23056,long,short,long,neutral
35,2023-10-11 15:45:00,1.23125,long,short,long,long
36,2023-10-11 15:30:00,1.2299,long,short,long,long
37,2023-10-11 15:15:00,1.22964,long,short,long,long
38,2023-10-11 15:00:00,1.22925,long,short,long,long
39,2023-10-11 14:45:00,1.22898,long,short,short,long
40,2023-10-11 14:30:00,1.22896,long,short,short,neutral
41,2023-10-11 14:15:00,1.2289,long,short,long,neutral
42,2023-10-11 14:00:00,1.22962,long,short,long,long
43,2023-10-11 13:45:00,1.22916,long,short,long,long
44,2023-10-11 13:30:00,1.22866,long,short,short,long
45,2023-10-11 13:15:00,1.22858,long,short,short,neutral
46,2023-10-11 13:00:00,1.22812,long,short,short,neutral
47,2023-10-11 12:45:00,1.2285,long,short,short,neutral
48,2023-10-11 12:30:00,1.22817,long,short,short,neutral
49,2023-10-11 12:15:00,1.22821,long,short,short,neutral
50,2023-10-11 12:00:00,1.2278,long,short,short,short
51,2023-10-11 11:45:00,1.22806,long,short,short,neutral
52,2023-10-11 11:30:00,1.22854,long,short,short,long
53,2023-10-11 11:15:00,1.22794,long,short,short,neutral
54,2023-10-11 11:00:00,1.22714,long,short,short,short
55,2023-10-11 10:45:00,1.22764,long,short,short,neutral
56,2023-10-11 10:30:00,1.22988,long,short,short,long
57,2023-10-11 10:15:00,1.22841,long,short,short,neutral
58,2023-10-11 10:00:00,1.22841,long,short,short,short
59,2023-10-11 09:45:00,1.22866,long,short,short,neutral
60,2023-10-11 09:30:00,1.22967,long,short,short,neutral
61,2023-10-11 09:15:00,1.22877,long,short,short,neutral
62,2023-10-11 09:00:00,1.22878,long,short,short,neutral
63,2023-10-11 08:45:00,1.22866,long,short,short,short
64,2023-10-11 08:30:00,1.22878,long,short,short,neutral
65,2023-10-11 08:15:00,1.22936,long,short,short,long
66,2023-10-11 08:00:00,1.2293,long,short,long,long
67,2023-10-11 07:45:00,1.22928,long,short,long,neutral
68,2023-10-11 07:30:00,1.22908,long,short,short,short
69,2023-10-11 07:15:00,1.22919,long,short,short,neutral
70,2023-10-11 07:00:00,1.22936,long,short,long,neutral
71,2023-10-11 06:45:00,1.22926,long,short,long,neutral
72,2023-10-11 06:30:00,1.22936,long,short,long,neutral
73,2023-10-11 06:15:00,1.22907,long,short,long,short
74,2023-10-11 06:00:00,1.22944,long,short,long,short
75,2023-10-11 05:45:00,1.22958,long,short,long,neutral
76,2023-10-11 05:30:00,1.22974,long,short,long,neutral
77,2023-10-11 05:15:00,1.22916,long,short,long,short
78,2023-10-11 05:00:00,1.22935,long,short,long,neutral
79,2023-10-11 04:45:00,1.22976,long,short,long,long
80,2023-10-11 04:30:00,1.2294,long,short,long,neutral
81,2023-10-11 04:15:00,1.22907,long,short,long,short
