,datetime,close_price,ScalpPro,NW,UMA,Volume
0,2023-10-12 00:00:00,1.2312,long,short,long,long
1,2023-10-11 22:00:00,1.23087,long,short,long,long
2,2023-10-11 21:00:00,1.23044,long,short,long,neutral
3,2023-10-11 20:00:00,1.22873,long,short,long,short
4,2023-10-11 19:00:00,1.22967,long,short,long,short
5,2023-10-11 18:00:00,1.23018,long,short,long,short
6,2023-10-11 17:00:00,1.23126,long,short,long,neutral
7,2023-10-11 16:00:00,1.23306,long,short,long,long
8,2023-10-11 15:00:00,1.23125,long,short,long,neutral
9,2023-10-11 14:00:00,1.22898,long,long,long,neutral
10,2023-10-11 13:00:00,1.22916,long,long,long,long
11,2023-10-11 12:00:00,1.2285,long,long,long,long
12,2023-10-11 11:00:00,1.22806,long,long,long,neutral
13,2023-10-11 10:00:00,1.22764,long,long,long,neutral
14,2023-10-11 09:00:00,1.22866,long,long,long,neutral
15,2023-10-11 08:00:00,1.22866,long,long,long,neutral
16,2023-10-11 07:00:00,1.22928,long,short,long,neutral
17,2023-10-11 06:00:00,1.22926,long,short,long,short
18,2023-10-11 05:00:00,1.22958,long,short,long,short
19,2023-10-11 04:00:00,1.22976,long,short,long,neutral
20,2023-10-11 03:00:00,1.2299,long,short,long,long
21,2023-10-11 02:00:00,1.22895,long,short,long,long
22,2023-10-11 01:00:00,1.22878,long,short,long,long
23,2023-10-11 00:00:00,1.22856,long,short,long,long
24,2023-10-10 23:00:00,1.228545,long,short,long,long
25,2023-10-10 22:00:00,1.22844,long,short,long,long
26,2023-10-10 21:00:00,1.22798,long,short,long,neutral
27,2023-10-10 20:00:00,1.2271,long,short,long,neutral
28,2023-10-10 19:00:00,1.2291,long,short,long,long
29,2023-10-10 18:00:00,1.22868,long,short,long,long
30,2023-10-10 17:00:00,1.22576,long,short,long,long
31,2023-10-10 16:00:00,1.22521,long,short,long,long
32,2023-10-10 15:00:00,1.22496,long,short,long,neutral
33,2023-10-10 14:00:00,1.22398,long,short,long,short
34,2023-10-10 13:00:00,1.22574,long,short,long,short
35,2023-10-10 12:00:00,1.22672,long,short,long,neutral
36,2023-10-10 11:00:00,1.2271,long,short,long,long
37,2023-10-10 10:00:00,1.22308,long,short,long,neutral
38,2023-10-10 09:00:00,1.2221,long,short,long,neutral
39,2023-10-10 08:00:00,1.2227,long,short,long,neutral
40,2023-10-10 07:00:00,1.22266,long,short,long,neutral
41,2023-10-10 06:00:00,1.22372,long,short,long,neutral
42,2023-10-10 05:00:00,1.22368,long,short,long,short
43,2023-10-10 04:00:00,1.22441,long,short,long,short
44,2023-10-10 03:00:00,1.22475,long,short,long,neutral
45,2023-10-10 02:00:00,1.22494,long,short,long,neutral
46,2023-10-10 01:00:00,1.22396,long,short,long,neutral
47,2023-10-10 00:00:00,1.22405,long,short,long,neutral
48,2023-10-09 23:00:00,1.22376,long,short,long,neutral
49,2023-10-09 22:00:00,1.22428,long,short,long,long
50,2023-10-09 21:00:00,1.22342,long,short,long,long
51,2023-10-09 20:00:00,1.22329,long,short,short,neutral
52,2023-10-09 19:00:00,1.21974,long,long,short,short
53,2023-10-09 18:00:00,1.22036,long,long,short,short
54,2023-10-09 17:00:00,1.22108,long,long,short,neutral
55,2023-10-09 16:00:00,1.22117,long,long,short,long
56,2023-10-09 15:00:00,1.21838,long,long,short,neutral
57,2023-10-09 14:00:00,1.21692,long,long,short,short
58,2023-10-09 13:00:00,1.21708,long,long,long,neutral
59,2023-10-09 12:00:00,1.21881,long,long,long,long
60,2023-10-09 11:00:00,1.21779,long,long,long,neutral
61,2023-10-09 10:00:00,1.21704,long,long,short,short
62,2023-10-09 09:00:00,1.21798,long,long,short,neutral
63,2023-10-09 08:00:00,1.22034,long,short,short,neutral
64,2023-10-09 07:00:00,1.21941,long,short,short,short
65,2023-10-09 06:00:00,1.21984,long,short,long,short
66,2023-10-09 05:00:00,1.22122,long,short,long,short
67,2023-10-09 04:00:00,1.22151,long,short,long,neutral
68,2023-10-09 03:00:00,1.22228,long,short,long,long
69,2023-10-09 02:00:00,1.22196,long,short,long,long
70,2023-10-09 01:00:00,1.22132,long,short,long,neutral
71,2023-10-09 00:00:00,1.22028,long,short,long,short
72,2023-10-06 23:00:00,1.22378,long,short,long,short
73,2023-10-06 22:00:00,1.22424,long,short,long,neutral
74,2023-10-06 21:00:00,1.22458,long,short,long,long
75,2023-10-06 20:00:00,1.22388,long,short,long,neutral
76,2023-10-06 19:00:00,1.2234,long,short,long,neutral
77,2023-10-06 18:00:00,1.22531,long,short,long,long
78,2023-10-06 17:00:00,1.2188,long,long,short,long
79,2023-10-06 16:00:00,1.21525,long,long,short,neutral
80,2023-10-06 15:00:00,1.2123,long,long,short,short
81,2023-10-06 14:00:00,1.22122,long,short,long,neutral
82,2023-10-06 13:00:00,1.22124,long,short,long,long
83,2023-10-06 12:00:00,1.22033,long,short,long,neutral
84,2023-10-06 11:00:00,1.21984,long,short,long,neutral
85,2023-10-06 10:00:00,1.22038,long,short,long,neutral
86,2023-10-06 09:00:00,1.21704,long,short,long,short
87,2023-10-06 08:00:00,1.21718,long,short,long,short
88,2023-10-06 07:00:00,1.2177,long,short,long,short
89,2023-10-06 06:00:00,1.21809,long,short,long,neutral
90,2023-10-06 05:00:00,1.21856,long,short,long,long
91,2023-10-06 04:00:00,1.2182,long,short,long,neutral
92,2023-10-06 03:00:00,1.2181,long,short,long,short
93,2023-10-06 02:00:00,1.21874,long,short,long,short
94,2023-10-06 01:00:00,1.21898,long,short,long,short
95,2023-10-06 00:00:00,1.2192,long,short,long,short
96,2023-10-05 23:00:00,1.21922,long,short,long,neutral
97,2023-10-05 22:00:00,1.21941,long,short,long,long
98,2023-10-05 21:00:00,1.21941,long,short,long,long
99,2023-10-05 20:00:00,1.2182,long,short,long,long
100,2023-10-05 19:00:00,1.21798,long,short,long,long
101,2023-10-05 18:00:00,1.21688,long,short,long,long
102,2023-10-05 17:00:00,1.21598,long,long,long,long
103,2023-10-05 16:00:00,1.21532,long,long,short,neutral
104,2023-10-05 15:00:00,1.2131,long,short,short,neutral
105,2023-10-05 14:00:00,1.21494,long,long,long,long
106,2023-10-05 13:00:00,1.21392,long,long,short,long
107,2023-10-05 12:00:00,1.21233,long,long,short,neutral
108,2023-10-05 11:00:00,1.21226,long,long,short,short
109,2023-10-05 10:00:00,1.21314,long,short,long,short
110,2023-10-05 09:00:00,1.2139,long,short,long,short
111,2023-10-05 08:00:00,1.21547,long,short,long,short
112,2023-10-05 07:00:00,1.21562,long,short,long,neutral
