,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,False,True,True,True,False,True,True,True,False,2023-10-09 19:20:00,neutral,neutral,short,short,long
1,True,True,True,True,True,True,True,True,True,True,2023-10-09 19:10:00,neutral,neutral,short,short,long
2,False,False,True,True,True,True,True,True,True,True,2023-10-09 19:05:00,short,neutral,short,short,short
3,True,False,True,True,True,True,True,True,True,True,2023-10-09 19:00:00,neutral,short,short,short,short
4,False,False,False,False,False,False,False,True,True,True,2023-10-09 18:55:00,neutral,short,short,short,short
5,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:50:00,neutral,short,short,short,short
6,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:45:00,neutral,neutral,long,short,short
7,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:40:00,long,neutral,long,short,long
8,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:35:00,neutral,neutral,short,short,long
9,True,False,False,False,False,False,False,False,False,False,2023-10-09 18:30:00,neutral,neutral,short,short,long
10,False,True,False,False,False,False,False,False,False,False,2023-10-09 18:25:00,neutral,neutral,short,short,short
11,True,True,True,True,True,True,False,False,False,False,2023-10-09 18:20:00,neutral,short,short,short,short
12,False,True,True,True,True,True,False,False,False,False,2023-10-09 18:15:00,neutral,neutral,short,short,long
13,False,False,True,True,True,True,False,False,False,False,2023-10-09 18:10:00,long,neutral,short,short,long
14,False,False,False,True,True,True,False,False,False,False,2023-10-09 18:05:00,neutral,neutral,short,short,long
15,True,True,True,False,True,True,True,True,True,False,2023-10-09 18:00:00,long,neutral,short,short,long
16,False,True,True,False,False,True,True,True,True,False,2023-10-09 17:55:00,neutral,neutral,short,short,short
17,True,True,True,True,True,False,True,True,True,True,2023-10-09 17:50:00,long,short,short,short,short
18,False,True,True,True,True,True,False,True,True,True,2023-10-09 17:45:00,neutral,short,short,short,short
19,False,False,True,True,True,True,True,False,True,True,2023-10-09 17:40:00,neutral,neutral,long,short,long
20,False,False,False,True,False,True,True,False,False,True,2023-10-09 17:35:00,neutral,neutral,long,short,long
21,False,False,False,False,False,False,False,False,False,False,2023-10-09 17:30:00,short,neutral,long,short,long
22,True,True,True,True,False,True,True,True,True,True,2023-10-09 17:25:00,neutral,neutral,long,short,long
23,False,True,False,False,False,False,False,False,False,False,2023-10-09 17:20:00,neutral,long,long,short,long
24,True,False,True,True,False,False,False,True,False,True,2023-10-09 17:15:00,neutral,long,long,short,short
25,True,True,False,True,True,True,False,False,True,True,2023-10-09 17:10:00,short,neutral,long,short,short
26,True,True,True,False,True,True,True,False,False,True,2023-10-09 17:05:00,neutral,neutral,long,short,short
27,True,True,True,True,True,True,True,True,True,True,2023-10-09 17:00:00,neutral,neutral,long,short,short
28,False,False,False,False,False,False,False,False,False,False,2023-10-09 16:55:00,long,neutral,long,short,long
29,False,False,False,False,False,False,False,False,False,False,2023-10-09 16:50:00,short,long,long,short,long
30,True,True,False,False,False,False,False,False,False,False,2023-10-09 16:45:00,long,neutral,long,short,long
31,True,True,True,False,False,False,False,False,False,False,2023-10-09 16:40:00,neutral,neutral,long,short,short
32,True,True,True,True,False,False,False,False,False,False,2023-10-09 16:35:00,neutral,neutral,short,short,short
33,False,True,True,True,True,False,False,False,False,False,2023-10-09 16:30:00,neutral,neutral,short,short,short
34,False,False,True,True,True,True,False,False,False,False,2023-10-09 16:25:00,neutral,neutral,short,short,short
35,True,True,True,True,True,True,True,False,False,False,2023-10-09 16:20:00,neutral,neutral,short,short,short
36,True,True,True,True,True,True,True,True,False,False,2023-10-09 16:15:00,long,neutral,short,short,short
37,False,False,True,True,False,True,True,True,True,False,2023-10-09 16:10:00,neutral,neutral,short,short,short
38,True,True,True,True,True,True,True,True,True,True,2023-10-09 16:05:00,long,neutral,short,short,long
39,False,True,False,True,True,True,True,True,True,True,2023-10-09 16:00:00,short,neutral,short,short,long
40,True,True,True,True,True,True,True,True,True,True,2023-10-09 15:55:00,neutral,neutral,short,short,long
41,False,True,False,True,True,True,True,True,True,True,2023-10-09 15:50:00,short,neutral,short,short,long
42,True,True,True,True,True,True,True,True,True,True,2023-10-09 15:45:00,neutral,neutral,short,short,short
43,False,True,True,True,True,True,True,True,True,True,2023-10-09 15:40:00,neutral,neutral,short,short,short
44,True,True,True,True,True,True,True,True,True,True,2023-10-09 15:35:00,neutral,neutral,short,short,long
45,False,False,False,True,True,True,True,True,True,True,2023-10-09 15:30:00,neutral,neutral,short,short,long
46,False,False,False,False,True,True,True,True,True,True,2023-10-09 15:25:00,neutral,long,short,short,long
47,True,True,False,False,False,True,True,True,True,True,2023-10-09 15:20:00,short,neutral,short,short,long
48,True,True,True,False,True,True,True,True,True,True,2023-10-09 15:15:00,neutral,neutral,short,short,short
49,True,True,True,True,True,True,True,True,True,True,2023-10-09 15:10:00,neutral,neutral,short,short,short
50,False,False,False,False,False,False,False,False,True,False,2023-10-09 15:05:00,neutral,neutral,short,short,short
51,True,False,False,False,False,False,False,False,False,True,2023-10-09 15:00:00,neutral,short,short,short,short
52,False,False,False,False,False,False,False,False,False,False,2023-10-09 14:55:00,long,neutral,long,short,short
53,False,False,False,False,False,False,False,False,False,False,2023-10-09 14:50:00,neutral,neutral,long,short,short
54,False,False,False,False,False,False,False,False,False,False,2023-10-09 14:45:00,neutral,neutral,long,short,short
55,True,True,False,False,False,False,False,False,False,False,2023-10-09 14:40:00,long,neutral,long,short,short
56,False,False,False,False,False,False,False,False,False,False,2023-10-09 14:35:00,neutral,neutral,long,short,long
57,False,False,False,False,False,False,False,False,False,False,2023-10-09 14:30:00,short,long,long,short,long
58,True,True,False,False,False,False,False,False,False,False,2023-10-09 14:25:00,neutral,long,long,short,short
59,True,True,True,False,True,False,False,False,False,False,2023-10-09 14:20:00,neutral,neutral,long,short,short
60,True,True,True,True,True,True,True,False,False,False,2023-10-09 14:15:00,neutral,neutral,short,short,long
61,True,True,True,True,True,True,True,True,False,False,2023-10-09 14:10:00,neutral,neutral,long,short,long
62,False,True,True,True,True,True,True,True,True,False,2023-10-09 14:05:00,neutral,neutral,short,short,long
63,True,True,True,True,True,True,True,True,True,True,2023-10-09 14:00:00,neutral,neutral,short,short,long
64,False,True,True,True,True,True,True,True,True,True,2023-10-09 13:55:00,short,long,long,short,long
65,True,True,True,True,True,True,True,True,True,True,2023-10-09 13:50:00,short,neutral,long,short,short
66,True,True,True,True,True,True,True,True,True,True,2023-10-09 13:45:00,neutral,neutral,long,short,short
67,True,True,True,True,True,True,True,True,True,True,2023-10-09 13:40:00,neutral,short,long,short,short
68,False,False,False,True,True,True,True,True,True,True,2023-10-09 13:35:00,neutral,neutral,long,short,short
69,False,False,False,False,False,False,True,True,True,True,2023-10-09 13:30:00,neutral,neutral,long,short,short
70,False,False,False,False,False,False,False,True,True,True,2023-10-09 13:25:00,neutral,long,long,short,long
71,True,True,False,False,False,False,False,False,True,True,2023-10-09 13:20:00,long,neutral,long,short,long
72,True,True,True,False,False,False,False,False,False,True,2023-10-09 13:15:00,short,neutral,long,short,long
73,True,True,True,True,True,False,False,False,True,True,2023-10-09 13:10:00,neutral,neutral,long,short,long
74,False,True,True,True,True,False,False,False,False,True,2023-10-09 13:05:00,neutral,long,long,short,long
75,True,True,True,True,True,True,True,False,False,False,2023-10-09 13:00:00,neutral,neutral,long,short,long
76,True,True,True,True,True,True,True,True,False,False,2023-10-09 12:55:00,short,neutral,long,short,short
77,True,True,True,True,True,True,True,True,True,False,2023-10-09 12:50:00,neutral,short,long,short,short
78,False,True,True,True,True,True,True,True,True,True,2023-10-09 12:45:00,long,neutral,long,short,short
79,False,False,False,False,False,False,True,True,True,True,2023-10-09 12:40:00,neutral,neutral,long,short,short
80,False,False,False,False,False,False,False,False,False,False,2023-10-09 12:35:00,neutral,neutral,long,short,short
81,True,False,False,False,False,False,False,False,False,False,2023-10-09 12:30:00,long,neutral,long,short,long
82,True,True,False,False,False,False,False,False,False,False,2023-10-09 12:25:00,neutral,neutral,long,short,long
83,False,False,True,False,False,False,False,False,False,False,2023-10-09 12:20:00,neutral,long,long,short,long
84,True,True,True,True,True,False,False,False,False,True,2023-10-09 12:15:00,neutral,neutral,short,short,long
85,True,True,True,True,True,True,True,True,True,True,2023-10-09 12:10:00,neutral,neutral,short,short,short
86,True,True,True,True,True,True,True,True,True,True,2023-10-09 12:05:00,neutral,neutral,short,short,short
87,False,False,True,True,True,True,True,True,True,False,2023-10-09 12:00:00,neutral,long,long,short,short
88,True,False,True,True,True,True,True,True,True,True,2023-10-09 11:55:00,neutral,neutral,long,short,short
89,True,True,False,True,True,True,True,True,True,True,2023-10-09 11:50:00,long,neutral,long,short,long
90,True,True,True,True,True,True,True,True,True,True,2023-10-09 11:45:00,neutral,neutral,long,short,long
91,False,False,False,True,False,False,True,True,True,True,2023-10-09 11:40:00,short,long,long,short,long
92,True,True,True,True,True,True,True,True,True,True,2023-10-09 11:35:00,neutral,neutral,long,short,short
93,True,True,True,True,True,True,True,True,True,True,2023-10-09 11:30:00,short,neutral,long,short,short
94,True,True,True,True,True,True,True,True,True,True,2023-10-09 11:25:00,neutral,neutral,long,short,short
95,False,False,True,True,True,True,True,True,True,True,2023-10-09 11:20:00,neutral,neutral,long,short,short
96,False,False,False,False,False,False,False,False,False,False,2023-10-09 11:15:00,short,neutral,long,short,long
