,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,True,True,False,True,True,True,True,True,True,2023-10-09 19:42:00,long,neutral,short,long,long
1,True,True,True,True,True,True,True,True,True,True,2023-10-09 19:36:00,short,neutral,short,long,short
2,False,True,True,True,True,True,True,True,True,True,2023-10-09 19:33:00,neutral,neutral,short,long,short
3,False,False,False,False,True,True,False,False,True,True,2023-10-09 19:30:00,neutral,neutral,short,long,short
4,True,False,False,True,True,True,True,True,True,True,2023-10-09 19:27:00,long,short,short,long,short
5,False,False,False,False,False,False,True,True,False,False,2023-10-09 19:24:00,long,neutral,long,long,long
6,False,False,False,False,False,False,False,True,True,False,2023-10-09 19:21:00,neutral,neutral,long,long,long
7,False,False,False,False,False,False,False,False,False,False,2023-10-09 19:18:00,short,neutral,short,long,long
8,True,True,True,True,True,True,True,True,True,True,2023-10-09 19:15:00,neutral,short,short,long,short
9,False,True,True,True,True,True,False,False,True,True,2023-10-09 19:12:00,neutral,neutral,short,long,long
10,False,False,True,True,True,False,True,False,False,False,2023-10-09 19:09:00,long,neutral,short,long,long
11,False,False,False,False,False,False,False,False,False,False,2023-10-09 19:06:00,short,neutral,short,long,long
12,True,True,False,False,True,True,True,False,True,False,2023-10-09 19:03:00,neutral,short,short,long,short
13,False,True,False,False,False,True,True,True,False,True,2023-10-09 19:00:00,long,short,long,long,short
14,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:57:00,neutral,neutral,long,long,short
15,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:54:00,neutral,neutral,long,long,short
16,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:51:00,neutral,neutral,long,long,short
17,True,False,False,False,False,False,False,False,False,False,2023-10-09 18:48:00,neutral,neutral,long,long,short
18,True,True,False,False,False,False,False,False,False,False,2023-10-09 18:45:00,long,short,short,long,short
19,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:42:00,neutral,neutral,long,short,short
20,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:39:00,neutral,neutral,long,short,long
21,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:36:00,neutral,long,short,short,long
22,True,True,True,False,False,False,False,False,False,False,2023-10-09 18:33:00,neutral,long,short,long,long
23,True,True,True,True,True,True,True,False,False,False,2023-10-09 18:30:00,neutral,neutral,short,long,long
24,True,True,True,True,True,True,True,True,True,False,2023-10-09 18:27:00,neutral,neutral,short,long,long
25,True,True,True,True,True,True,True,True,True,True,2023-10-09 18:24:00,neutral,neutral,short,long,short
26,False,True,True,True,True,True,True,True,True,True,2023-10-09 18:21:00,neutral,neutral,short,long,short
27,False,False,True,True,True,True,True,True,True,True,2023-10-09 18:18:00,short,neutral,short,long,short
28,True,False,False,True,True,True,True,True,True,True,2023-10-09 18:15:00,neutral,neutral,short,long,short
29,False,False,False,False,True,True,True,True,True,True,2023-10-09 18:12:00,neutral,neutral,short,long,short
30,True,False,False,False,False,True,True,True,True,True,2023-10-09 18:09:00,long,neutral,long,long,long
31,False,False,False,False,False,False,False,True,True,True,2023-10-09 18:06:00,neutral,long,long,short,long
32,True,False,False,False,False,False,False,True,True,True,2023-10-09 18:03:00,neutral,neutral,long,short,long
33,True,True,True,True,True,True,True,True,True,True,2023-10-09 18:00:00,neutral,neutral,short,short,long
34,True,True,True,True,True,True,True,True,True,True,2023-10-09 17:57:00,neutral,neutral,short,short,long
35,False,True,True,True,True,True,True,True,True,True,2023-10-09 17:54:00,short,neutral,short,short,short
