,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-11 22:00:00,0.8718699999999999,neutral,neutral,short,short,neutral,Interval.in_2_hour,AUDCAD,long,long,long,long
1,2023-10-11 18:00:00,0.87129,neutral,neutral,short,short,short,Interval.in_2_hour,AUDCAD,long,short,long,long
2,2023-10-11 16:00:00,0.87183,neutral,neutral,short,short,short,Interval.in_2_hour,AUDCAD,long,short,long,long
3,2023-10-11 14:00:00,0.87262,neutral,neutral,short,short,neutral,Interval.in_2_hour,AUDCAD,long,short,long,long
4,2023-10-11 12:00:00,0.87278,long,long,short,short,neutral,Interval.in_2_hour,AUDCAD,long,neutral,long,long
5,2023-10-11 10:00:00,0.87316,neutral,short,short,short,neutral,Interval.in_2_hour,AUDCAD,long,neutral,long,long
6,2023-10-11 08:00:00,0.87237,neutral,long,short,short,short,Interval.in_2_hour,AUDCAD,long,short,long,long
7,2023-10-11 06:00:00,0.87255,neutral,neutral,short,short,neutral,Interval.in_2_hour,AUDCAD,long,short,long,long
8,2023-10-11 04:00:00,0.87315,long,long,short,long,neutral,Interval.in_2_hour,AUDCAD,long,neutral,long,long
9,2023-10-11 02:00:00,0.87439,neutral,neutral,short,long,neutral,Interval.in_2_hour,AUDCAD,long,neutral,long,long
10,2023-10-11 00:00:00,0.87352,neutral,neutral,short,long,neutral,Interval.in_2_hour,AUDCAD,long,neutral,long,long
11,2023-10-10 22:00:00,0.8736,neutral,neutral,short,long,long,Interval.in_2_hour,AUDCAD,long,long,long,long
12,2023-10-10 20:00:00,0.87293,neutral,neutral,short,long,long,Interval.in_2_hour,AUDCAD,long,long,long,long
13,2023-10-10 18:00:00,0.87284,neutral,neutral,short,long,neutral,Interval.in_2_hour,AUDCAD,long,long,long,long
14,2023-10-10 16:00:00,0.8719,neutral,neutral,short,long,neutral,Interval.in_2_hour,AUDCAD,long,neutral,long,long
15,2023-10-10 14:00:00,0.87008,neutral,neutral,short,short,neutral,Interval.in_2_hour,AUDCAD,long,short,short,long
