,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 00:00:00,0.87201,neutral,neutral,short,long,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
1,2023-10-11 22:30:00,0.87202,neutral,neutral,short,long,long,Interval.in_45_minute,AUDCAD,long,long,short,short
2,2023-10-11 21:45:00,0.87156,neutral,short,short,short,neutral,Interval.in_45_minute,AUDCAD,long,long,short,short
3,2023-10-11 21:00:00,0.87136,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
4,2023-10-11 20:15:00,0.87102,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
5,2023-10-11 19:30:00,0.87132,neutral,long,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
6,2023-10-11 18:45:00,0.87132,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
7,2023-10-11 18:00:00,0.87218,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
8,2023-10-11 17:15:00,0.87183,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,short,short,short
9,2023-10-11 16:30:00,0.87232,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
10,2023-10-11 15:45:00,0.87274,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,long,short,short
11,2023-10-11 15:00:00,0.87274,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
12,2023-10-11 14:15:00,0.87261,neutral,neutral,short,long,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
13,2023-10-11 13:30:00,0.87294,neutral,short,short,long,neutral,Interval.in_45_minute,AUDCAD,long,neutral,long,short
14,2023-10-11 12:45:00,0.8727,neutral,neutral,short,long,neutral,Interval.in_45_minute,AUDCAD,long,neutral,long,short
15,2023-10-11 12:00:00,0.8732,neutral,neutral,short,long,neutral,Interval.in_45_minute,AUDCAD,long,long,long,short
16,2023-10-11 11:15:00,0.87316,neutral,neutral,short,long,neutral,Interval.in_45_minute,AUDCAD,long,neutral,long,short
17,2023-10-11 10:30:00,0.87226,long,long,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
18,2023-10-11 09:45:00,0.87296,neutral,short,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,short,short
19,2023-10-11 09:00:00,0.87224,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,short,short,short
20,2023-10-11 08:15:00,0.87227,neutral,neutral,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,long,short
21,2023-10-11 07:30:00,0.87281,neutral,short,short,short,neutral,Interval.in_45_minute,AUDCAD,long,neutral,long,short
