,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 00:30:00,0.57834,short,short,short,long,neutral,Interval.in_30_minute,AUDCHF,long,short,short,short
1,2023-10-11 23:30:00,0.57849,neutral,neutral,short,long,long,Interval.in_30_minute,AUDCHF,long,long,short,short
2,2023-10-11 23:00:00,0.57848,neutral,neutral,short,long,neutral,Interval.in_30_minute,AUDCHF,long,long,short,short
3,2023-10-11 22:30:00,0.57847,neutral,neutral,short,long,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,short
4,2023-10-11 22:00:00,0.57824,neutral,neutral,short,long,neutral,Interval.in_30_minute,AUDCHF,long,short,short,short
5,2023-10-11 21:30:00,0.57837,neutral,neutral,short,long,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,short
6,2023-10-11 21:00:00,0.57842,neutral,neutral,short,short,long,Interval.in_30_minute,AUDCHF,long,long,short,short
7,2023-10-11 20:30:00,0.57828,neutral,neutral,short,short,long,Interval.in_30_minute,AUDCHF,long,long,short,short
8,2023-10-11 20:00:00,0.5782,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,long,short,short
9,2023-10-11 19:30:00,0.57808,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,short
10,2023-10-11 19:00:00,0.578,neutral,neutral,short,short,short,Interval.in_30_minute,AUDCHF,long,short,short,long
11,2023-10-11 18:30:00,0.57828,neutral,neutral,short,short,short,Interval.in_30_minute,AUDCHF,long,short,short,short
12,2023-10-11 18:00:00,0.57855,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,short,short,short
13,2023-10-11 17:30:00,0.57892,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,short
14,2023-10-11 17:00:00,0.579,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,long,short,long
15,2023-10-11 16:30:00,0.57891,short,short,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,long
16,2023-10-11 16:00:00,0.57859,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,long
17,2023-10-11 15:30:00,0.57927,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,short
18,2023-10-11 15:00:00,0.57916,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,long
19,2023-10-11 14:30:00,0.57942,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,long
20,2023-10-11 14:00:00,0.57936,short,short,short,short,neutral,Interval.in_30_minute,AUDCHF,long,short,short,long
21,2023-10-11 13:30:00,0.57946,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,long
22,2023-10-11 13:00:00,0.5797,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,long,short,long
23,2023-10-11 12:30:00,0.57963,short,short,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,long
24,2023-10-11 12:00:00,0.57943,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,long
25,2023-10-11 11:30:00,0.57984,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,long
26,2023-10-11 11:00:00,0.5798,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,short,short,long
27,2023-10-11 10:30:00,0.58033,neutral,long,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,long
28,2023-10-11 10:00:00,0.58136,short,short,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,long
29,2023-10-11 09:30:00,0.58047,neutral,neutral,short,short,short,Interval.in_30_minute,AUDCHF,long,short,short,long
30,2023-10-11 09:00:00,0.58053,neutral,neutral,short,short,short,Interval.in_30_minute,AUDCHF,long,short,short,long
31,2023-10-11 08:30:00,0.58058,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,short,short,long
32,2023-10-11 08:00:00,0.58094,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,short,long
33,2023-10-11 07:30:00,0.58098,neutral,neutral,short,short,long,Interval.in_30_minute,AUDCHF,long,long,short,long
34,2023-10-11 07:00:00,0.58086,neutral,neutral,short,short,neutral,Interval.in_30_minute,AUDCHF,long,long,short,long
35,2023-10-11 06:30:00,0.58082,short,short,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,long,long
36,2023-10-11 06:00:00,0.58081,neutral,neutral,short,short,short,Interval.in_30_minute,AUDCHF,long,short,long,long
37,2023-10-11 05:30:00,0.581,neutral,neutral,short,short,short,Interval.in_30_minute,AUDCHF,long,short,long,long
38,2023-10-11 05:00:00,0.5814,neutral,neutral,short,short,short,Interval.in_30_minute,AUDCHF,long,short,long,long
39,2023-10-11 04:30:00,0.58166,neutral,neutral,short,short,short,Interval.in_30_minute,AUDCHF,long,short,long,long
40,2023-10-11 04:00:00,0.58193,long,long,short,long,neutral,Interval.in_30_minute,AUDCHF,long,short,long,long
41,2023-10-11 03:30:00,0.58219,neutral,neutral,short,long,neutral,Interval.in_30_minute,AUDCHF,long,neutral,long,long
42,2023-10-11 03:00:00,0.58224,neutral,neutral,short,long,neutral,Interval.in_30_minute,AUDCHF,long,neutral,long,long
43,2023-10-11 02:30:00,0.58186,long,long,short,long,neutral,Interval.in_30_minute,AUDCHF,long,neutral,long,long
44,2023-10-11 02:00:00,0.58195,short,short,short,short,neutral,Interval.in_30_minute,AUDCHF,long,neutral,long,long
