,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 00:00:00,0.64146,long,long,short,long,long,Interval.in_1_hour,AUDUSD,long,long,short,long
1,2023-10-11 22:00:00,0.64107,long,long,short,short,neutral,Interval.in_1_hour,AUDUSD,long,long,short,long
2,2023-10-11 21:00:00,0.6406,neutral,short,short,short,neutral,Interval.in_1_hour,AUDUSD,long,neutral,short,long
3,2023-10-11 20:00:00,0.63962,neutral,neutral,short,short,short,Interval.in_1_hour,AUDUSD,long,short,short,long
4,2023-10-11 19:00:00,0.64035,neutral,neutral,short,short,short,Interval.in_1_hour,AUDUSD,long,short,short,long
5,2023-10-11 18:00:00,0.64064,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDUSD,long,short,short,long
6,2023-10-11 17:00:00,0.64156,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDUSD,long,neutral,long,long
7,2023-10-11 16:00:00,0.64252,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDUSD,long,long,long,long
8,2023-10-11 15:00:00,0.64221,long,long,short,short,neutral,Interval.in_1_hour,AUDUSD,long,neutral,short,long
9,2023-10-11 14:00:00,0.64138,neutral,neutral,short,short,short,Interval.in_1_hour,AUDUSD,long,short,short,long
10,2023-10-11 13:00:00,0.64175,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDUSD,long,short,long,long
11,2023-10-11 12:00:00,0.64204,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDUSD,long,neutral,long,long
12,2023-10-11 11:00:00,0.64227,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDUSD,long,neutral,long,long
13,2023-10-11 10:00:00,0.6418,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDUSD,long,neutral,long,long
14,2023-10-11 09:00:00,0.64188,long,long,short,short,neutral,Interval.in_1_hour,AUDUSD,long,neutral,long,long
15,2023-10-11 08:00:00,0.64147,neutral,neutral,short,short,short,Interval.in_1_hour,AUDUSD,long,short,short,long
16,2023-10-11 07:00:00,0.64201,neutral,short,short,short,short,Interval.in_1_hour,AUDUSD,long,short,long,long
17,2023-10-11 06:00:00,0.64226,neutral,neutral,short,short,short,Interval.in_1_hour,AUDUSD,long,short,long,long
18,2023-10-11 05:00:00,0.64261,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDUSD,long,short,long,long
19,2023-10-11 04:00:00,0.64328,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDUSD,long,neutral,long,long
20,2023-10-11 03:00:00,0.64386,neutral,neutral,short,long,long,Interval.in_1_hour,AUDUSD,long,long,long,long
21,2023-10-11 02:00:00,0.6432,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDUSD,long,long,long,long
22,2023-10-11 01:00:00,0.64306,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDUSD,long,neutral,long,long
23,2023-10-11 00:00:00,0.64304,long,long,short,long,neutral,Interval.in_1_hour,AUDUSD,long,neutral,long,long
24,2023-10-10 23:00:00,0.643175,neutral,neutral,short,long,long,Interval.in_1_hour,AUDUSD,long,long,long,long
25,2023-10-10 22:00:00,0.64289,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDUSD,long,long,long,long
26,2023-10-10 21:00:00,0.64236,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDUSD,long,neutral,long,short
27,2023-10-10 20:00:00,0.64161,long,long,short,long,neutral,Interval.in_1_hour,AUDUSD,long,short,long,short
28,2023-10-10 19:00:00,0.64274,neutral,neutral,short,long,neutral,Interval.in_1_hour,AUDUSD,long,neutral,long,short
29,2023-10-10 18:00:00,0.64296,neutral,neutral,short,long,long,Interval.in_1_hour,AUDUSD,long,long,long,short
30,2023-10-10 17:00:00,0.64126,neutral,neutral,short,short,long,Interval.in_1_hour,AUDUSD,long,long,long,short
31,2023-10-10 16:00:00,0.6405,neutral,short,short,short,neutral,Interval.in_1_hour,AUDUSD,long,long,long,short
32,2023-10-10 15:00:00,0.63998,neutral,neutral,short,short,neutral,Interval.in_1_hour,AUDUSD,long,neutral,long,short
33,2023-10-10 14:00:00,0.63947,neutral,neutral,short,short,short,Interval.in_1_hour,AUDUSD,long,short,long,short
