,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 01:06:00,0.64141,neutral,neutral,short,short,neutral,Interval.in_3_minute,AUDUSD,long,neutral,short,long
1,2023-10-12 01:00:00,0.64132,short,short,short,short,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
2,2023-10-12 00:57:00,0.64146,neutral,long,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
3,2023-10-12 00:54:00,0.64144,neutral,short,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
4,2023-10-12 00:51:00,0.64152,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
5,2023-10-12 00:48:00,0.64152,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
6,2023-10-12 00:45:00,0.64144,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
7,2023-10-12 00:42:00,0.64144,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
8,2023-10-12 00:39:00,0.64144,neutral,short,short,long,neutral,Interval.in_3_minute,AUDUSD,long,long,long,long
9,2023-10-12 00:36:00,0.64136,neutral,neutral,short,short,neutral,Interval.in_3_minute,AUDUSD,long,neutral,short,long
10,2023-10-12 00:33:00,0.64126,neutral,neutral,short,short,neutral,Interval.in_3_minute,AUDUSD,long,short,short,long
11,2023-10-12 00:30:00,0.64128,neutral,neutral,short,short,neutral,Interval.in_3_minute,AUDUSD,long,neutral,short,long
12,2023-10-12 00:27:00,0.64134,short,short,short,short,neutral,Interval.in_3_minute,AUDUSD,long,long,short,long
13,2023-10-12 00:24:00,0.64125,neutral,neutral,short,short,neutral,Interval.in_3_minute,AUDUSD,long,neutral,short,long
14,2023-10-12 00:21:00,0.64118,neutral,long,short,short,short,Interval.in_3_minute,AUDUSD,long,short,short,long
15,2023-10-12 00:18:00,0.64147,neutral,neutral,short,long,short,Interval.in_3_minute,AUDUSD,long,short,long,long
16,2023-10-12 00:15:00,0.64152,long,long,short,long,neutral,Interval.in_3_minute,AUDUSD,long,short,long,long
17,2023-10-12 00:12:00,0.64168,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
18,2023-10-12 00:09:00,0.6417,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
19,2023-10-12 00:06:00,0.64154,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
20,2023-10-12 00:03:00,0.6414,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,long,long,long
21,2023-10-11 23:57:00,0.641355,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
22,2023-10-11 23:54:00,0.64135,neutral,long,short,long,neutral,Interval.in_3_minute,AUDUSD,long,short,long,long
23,2023-10-11 23:51:00,0.64138,neutral,short,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
24,2023-10-11 23:48:00,0.6414,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
25,2023-10-11 23:45:00,0.64137,neutral,neutral,short,short,long,Interval.in_3_minute,AUDUSD,long,long,long,long
26,2023-10-11 23:42:00,0.64132,neutral,short,short,short,neutral,Interval.in_3_minute,AUDUSD,long,long,long,long
27,2023-10-11 23:39:00,0.64132,neutral,neutral,short,short,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
28,2023-10-11 23:36:00,0.64132,neutral,neutral,short,short,short,Interval.in_3_minute,AUDUSD,long,short,long,long
29,2023-10-11 23:33:00,0.64135,neutral,neutral,short,short,short,Interval.in_3_minute,AUDUSD,long,short,long,long
30,2023-10-11 23:30:00,0.64136,neutral,long,short,long,neutral,Interval.in_3_minute,AUDUSD,long,short,long,long
31,2023-10-11 23:27:00,0.64142,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
32,2023-10-11 23:24:00,0.64147,long,long,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
33,2023-10-11 23:21:00,0.64147,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
34,2023-10-11 23:18:00,0.64148,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
35,2023-10-11 23:15:00,0.64138,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
36,2023-10-11 23:12:00,0.64137,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,long,long,long
37,2023-10-11 23:09:00,0.64132,long,long,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
38,2023-10-11 23:06:00,0.64132,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
39,2023-10-11 23:03:00,0.64136,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,long,long,long
40,2023-10-11 23:00:00,0.64122,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
41,2023-10-11 22:57:00,0.64107,long,long,short,short,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
42,2023-10-11 22:54:00,0.64114,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
43,2023-10-11 22:51:00,0.64106,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,short,long,long
44,2023-10-11 22:48:00,0.64108,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
45,2023-10-11 22:45:00,0.64116,long,long,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
46,2023-10-11 22:42:00,0.64111,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,long
47,2023-10-11 22:39:00,0.64112,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
48,2023-10-11 22:36:00,0.64102,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
49,2023-10-11 22:33:00,0.64097,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
50,2023-10-11 22:30:00,0.64097,neutral,neutral,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,long
51,2023-10-11 22:27:00,0.64094,long,long,short,long,long,Interval.in_3_minute,AUDUSD,long,long,long,short
52,2023-10-11 22:24:00,0.64089,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,long,long,short
53,2023-10-11 22:21:00,0.64076,neutral,short,short,short,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,short
54,2023-10-11 22:18:00,0.64054,neutral,neutral,short,short,short,Interval.in_3_minute,AUDUSD,long,short,long,short
55,2023-10-11 22:15:00,0.64061,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,short,long,short
56,2023-10-11 22:12:00,0.64076,neutral,neutral,short,long,neutral,Interval.in_3_minute,AUDUSD,long,neutral,long,short
