,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 01:09:00,1.44382,neutral,short,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
1,2023-10-12 01:07:00,1.44378,neutral,neutral,short,long,neutral,Interval.in_1_minute,EURCAD,long,short,long,short
2,2023-10-12 01:06:00,1.44388,neutral,neutral,short,long,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
3,2023-10-12 01:05:00,1.44394,long,long,short,long,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
4,2023-10-12 01:04:00,1.44393,neutral,neutral,short,long,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
5,2023-10-12 01:03:00,1.44398,neutral,neutral,short,long,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
6,2023-10-12 01:02:00,1.44365,long,long,short,long,neutral,Interval.in_1_minute,EURCAD,long,short,short,short
7,2023-10-12 01:01:00,1.44366,neutral,neutral,short,long,neutral,Interval.in_1_minute,EURCAD,long,neutral,short,short
8,2023-10-12 01:00:00,1.44378,neutral,short,short,long,neutral,Interval.in_1_minute,EURCAD,long,neutral,short,short
9,2023-10-12 00:59:00,1.4435,neutral,short,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,short,short
10,2023-10-12 00:58:00,1.443505,neutral,neutral,short,short,neutral,Interval.in_1_minute,EURCAD,long,long,short,short
11,2023-10-12 00:57:00,1.4435,neutral,neutral,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,short,short
12,2023-10-12 00:56:00,1.44346,neutral,neutral,short,short,short,Interval.in_1_minute,EURCAD,long,short,short,short
13,2023-10-12 00:55:00,1.44356,neutral,neutral,short,short,neutral,Interval.in_1_minute,EURCAD,long,short,long,short
14,2023-10-12 00:54:00,1.44358,long,long,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
15,2023-10-12 00:53:00,1.44364,neutral,neutral,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
16,2023-10-12 00:52:00,1.44362,neutral,neutral,short,short,neutral,Interval.in_1_minute,EURCAD,long,short,long,short
17,2023-10-12 00:51:00,1.44363,neutral,short,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
18,2023-10-12 00:50:00,1.44364,neutral,neutral,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
19,2023-10-12 00:49:00,1.44362,neutral,neutral,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
20,2023-10-12 00:48:00,1.44364,neutral,neutral,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
21,2023-10-12 00:47:00,1.44362,neutral,neutral,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
22,2023-10-12 00:46:00,1.4437,neutral,neutral,short,short,neutral,Interval.in_1_minute,EURCAD,long,long,long,short
23,2023-10-12 00:45:00,1.4437,neutral,short,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,long,short
24,2023-10-12 00:44:00,1.44364,neutral,neutral,short,short,neutral,Interval.in_1_minute,EURCAD,long,neutral,short,short
