,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 00:45:00,158.319,long,long,short,short,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,long
1,2023-10-12 00:15:00,158.294,neutral,neutral,short,short,short,Interval.in_15_minute,EURJPY,long,short,long,long
2,2023-10-12 00:00:00,158.324,long,long,short,long,short,Interval.in_15_minute,EURJPY,long,short,long,long
3,2023-10-11 23:45:00,158.397,long,long,short,long,neutral,Interval.in_15_minute,EURJPY,long,short,long,long
4,2023-10-11 23:30:00,158.421,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,long
5,2023-10-11 23:15:00,158.44,neutral,neutral,short,long,long,Interval.in_15_minute,EURJPY,long,long,long,long
6,2023-10-11 23:00:00,158.372,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,long,short,long
7,2023-10-11 22:45:00,158.344,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,short,long
8,2023-10-11 22:30:00,158.328,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,short,short,short
9,2023-10-11 22:15:00,158.337,long,long,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,short
10,2023-10-11 22:00:00,158.356,neutral,neutral,short,long,long,Interval.in_15_minute,EURJPY,long,long,long,short
11,2023-10-11 21:45:00,158.322,short,short,short,long,long,Interval.in_15_minute,EURJPY,long,long,long,short
12,2023-10-11 21:30:00,158.254,neutral,neutral,short,long,long,Interval.in_15_minute,EURJPY,long,long,long,short
13,2023-10-11 21:15:00,158.2,short,short,short,short,neutral,Interval.in_15_minute,EURJPY,long,long,long,short
14,2023-10-11 21:00:00,158.155,short,short,short,short,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,short
15,2023-10-11 20:45:00,158.052,neutral,neutral,short,short,short,Interval.in_15_minute,EURJPY,long,short,long,short
16,2023-10-11 20:30:00,158.086,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,short,long,short
17,2023-10-11 20:15:00,158.17,long,long,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,short
18,2023-10-11 20:00:00,158.263,short,short,short,long,long,Interval.in_15_minute,EURJPY,long,long,long,short
19,2023-10-11 19:45:00,158.208,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURJPY,long,long,long,short
20,2023-10-11 19:30:00,158.146,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,short
21,2023-10-11 19:15:00,158.081,long,long,short,short,neutral,Interval.in_15_minute,EURJPY,long,short,long,short
22,2023-10-11 19:00:00,158.121,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,short
23,2023-10-11 18:45:00,158.136,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,short
24,2023-10-11 18:30:00,158.136,neutral,neutral,short,short,short,Interval.in_15_minute,EURJPY,long,short,long,short
25,2023-10-11 18:15:00,158.28,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURJPY,long,short,long,short
26,2023-10-11 18:00:00,158.358,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,short
27,2023-10-11 17:45:00,158.445,neutral,neutral,short,long,long,Interval.in_15_minute,EURJPY,long,long,long,short
28,2023-10-11 17:30:00,158.386,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,long,long,short
29,2023-10-11 17:15:00,158.336,long,long,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,short
30,2023-10-11 17:00:00,158.312,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,short
31,2023-10-11 16:45:00,158.334,neutral,neutral,short,long,long,Interval.in_15_minute,EURJPY,long,long,long,short
32,2023-10-11 16:30:00,158.138,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,long,long,short
33,2023-10-11 16:15:00,158.13,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,short
34,2023-10-11 16:00:00,157.937,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,long,short
35,2023-10-11 15:45:00,158.026,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,long,long,short
36,2023-10-11 15:30:00,157.908,long,long,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,short,long
37,2023-10-11 15:15:00,157.861,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,short,long
38,2023-10-11 15:00:00,157.883,short,short,short,long,long,Interval.in_15_minute,EURJPY,long,long,short,long
39,2023-10-11 14:45:00,157.827,neutral,neutral,short,long,long,Interval.in_15_minute,EURJPY,long,long,short,long
40,2023-10-11 14:30:00,157.721,neutral,neutral,short,long,long,Interval.in_15_minute,EURJPY,long,long,short,long
41,2023-10-11 14:15:00,157.694,neutral,neutral,short,long,long,Interval.in_15_minute,EURJPY,long,long,short,long
42,2023-10-11 14:00:00,157.66,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURJPY,long,long,short,long
43,2023-10-11 13:45:00,157.659,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURJPY,long,neutral,short,long
44,2023-10-11 13:30:00,157.64,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURJPY,long,neutral,short,long
45,2023-10-11 13:15:00,157.658,short,short,short,short,neutral,Interval.in_15_minute,EURJPY,long,neutral,short,long
46,2023-10-11 13:00:00,157.646,neutral,neutral,short,short,short,Interval.in_15_minute,EURJPY,long,short,short,long
47,2023-10-11 12:45:00,157.668,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURJPY,long,short,short,long
48,2023-10-11 12:30:00,157.716,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,neutral,short,long
49,2023-10-11 12:15:00,157.786,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURJPY,long,long,short,long
50,2023-10-11 12:00:00,157.718,long,long,short,short,neutral,Interval.in_15_minute,EURJPY,long,neutral,short,long
