,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 00:45:00,1.06198,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURUSD,long,neutral,long,long
1,2023-10-12 00:15:00,1.06185,long,long,short,long,neutral,Interval.in_15_minute,EURUSD,long,neutral,long,long
2,2023-10-12 00:00:00,1.06197,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURUSD,long,neutral,long,long
3,2023-10-11 23:45:00,1.06183,long,long,short,long,neutral,Interval.in_15_minute,EURUSD,long,short,long,long
4,2023-10-11 23:30:00,1.06186,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURUSD,long,neutral,long,long
5,2023-10-11 23:15:00,1.06196,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURUSD,long,long,long,long
6,2023-10-11 23:00:00,1.06182,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURUSD,long,neutral,short,long
7,2023-10-11 22:45:00,1.06126,long,long,short,long,neutral,Interval.in_15_minute,EURUSD,long,short,short,long
8,2023-10-11 22:30:00,1.06135,neutral,neutral,short,long,neutral,Interval.in_15_minute,EURUSD,long,neutral,short,long
9,2023-10-11 22:15:00,1.06142,neutral,neutral,short,long,long,Interval.in_15_minute,EURUSD,long,long,short,long
10,2023-10-11 22:00:00,1.06119,neutral,short,short,long,long,Interval.in_15_minute,EURUSD,long,long,short,long
11,2023-10-11 21:45:00,1.06072,neutral,neutral,short,long,long,Interval.in_15_minute,EURUSD,long,long,short,long
12,2023-10-11 21:30:00,1.0603,neutral,neutral,short,short,long,Interval.in_15_minute,EURUSD,long,long,short,long
13,2023-10-11 21:15:00,1.05971,neutral,neutral,short,short,long,Interval.in_15_minute,EURUSD,long,long,short,long
14,2023-10-11 21:00:00,1.05934,short,short,short,short,neutral,Interval.in_15_minute,EURUSD,long,long,short,long
15,2023-10-11 20:45:00,1.0593,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURUSD,long,neutral,short,long
16,2023-10-11 20:30:00,1.059,neutral,neutral,short,short,short,Interval.in_15_minute,EURUSD,long,short,short,long
17,2023-10-11 20:15:00,1.06006,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURUSD,long,short,long,short
18,2023-10-11 20:00:00,1.06072,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURUSD,long,neutral,long,short
19,2023-10-11 19:45:00,1.06074,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURUSD,long,long,long,short
20,2023-10-11 19:30:00,1.06072,neutral,neutral,short,short,neutral,Interval.in_15_minute,EURUSD,long,neutral,long,short
21,2023-10-11 19:15:00,1.06034,neutral,long,short,short,short,Interval.in_15_minute,EURUSD,long,short,long,long
