,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-11 22:00:00,1.06183,neutral,neutral,short,long,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,long
1,2023-10-11 18:00:00,1.06074,neutral,neutral,short,long,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,long
2,2023-10-11 16:00:00,1.06242,neutral,neutral,short,long,neutral,Interval.in_2_hour,EURUSD,long,long,long,long
3,2023-10-11 14:00:00,1.06146,neutral,neutral,short,short,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,long
4,2023-10-11 12:00:00,1.06018,neutral,neutral,short,short,neutral,Interval.in_2_hour,EURUSD,long,short,long,short
5,2023-10-11 10:00:00,1.06086,long,long,short,long,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,short
6,2023-10-11 08:00:00,1.06106,neutral,neutral,short,long,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,short
7,2023-10-11 06:00:00,1.06028,neutral,neutral,short,short,neutral,Interval.in_2_hour,EURUSD,long,short,long,short
8,2023-10-11 04:00:00,1.06078,neutral,neutral,short,long,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,short
9,2023-10-11 02:00:00,1.06108,neutral,neutral,short,long,long,Interval.in_2_hour,EURUSD,long,long,long,short
10,2023-10-11 00:00:00,1.06054,neutral,neutral,short,long,neutral,Interval.in_2_hour,EURUSD,long,long,long,short
11,2023-10-10 22:00:00,1.06047,neutral,neutral,short,long,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,short
12,2023-10-10 20:00:00,1.05988,long,long,short,long,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,short
13,2023-10-10 18:00:00,1.06173,neutral,neutral,short,long,long,Interval.in_2_hour,EURUSD,long,long,long,short
14,2023-10-10 16:00:00,1.05973,neutral,neutral,short,long,neutral,Interval.in_2_hour,EURUSD,long,long,long,short
15,2023-10-10 14:00:00,1.05934,long,long,short,long,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,short
16,2023-10-10 12:00:00,1.05922,neutral,neutral,short,long,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,short
17,2023-10-10 10:00:00,1.06044,neutral,neutral,short,long,neutral,Interval.in_2_hour,EURUSD,long,long,long,short
18,2023-10-10 08:00:00,1.05615,neutral,neutral,short,short,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,short
19,2023-10-10 06:00:00,1.05614,short,short,short,long,neutral,Interval.in_2_hour,EURUSD,long,short,long,short
20,2023-10-10 04:00:00,1.05672,neutral,neutral,short,long,neutral,Interval.in_2_hour,EURUSD,long,neutral,long,short
