,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 01:06:00,1.9192,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPAUD,long,short,short,short
1,2023-10-12 01:00:00,1.91996,long,long,short,long,neutral,Interval.in_3_minute,GBPAUD,long,neutral,long,short
2,2023-10-12 00:57:00,1.91934,neutral,short,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
3,2023-10-12 00:54:00,1.91941,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,long,short,short
4,2023-10-12 00:51:00,1.91928,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
5,2023-10-12 00:48:00,1.91908,neutral,neutral,short,short,short,Interval.in_3_minute,GBPAUD,long,short,short,short
6,2023-10-12 00:45:00,1.9193,short,short,short,short,neutral,Interval.in_3_minute,GBPAUD,long,short,short,short
7,2023-10-12 00:42:00,1.91941,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
8,2023-10-12 00:39:00,1.91944,neutral,long,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
9,2023-10-12 00:36:00,1.91944,neutral,long,short,short,neutral,Interval.in_3_minute,GBPAUD,long,short,short,short
10,2023-10-12 00:33:00,1.91968,neutral,short,short,long,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
11,2023-10-12 00:30:00,1.92008,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPAUD,long,neutral,long,short
12,2023-10-12 00:27:00,1.92,long,long,short,long,neutral,Interval.in_3_minute,GBPAUD,long,short,long,short
13,2023-10-12 00:24:00,1.92024,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPAUD,long,neutral,long,short
14,2023-10-12 00:21:00,1.92037,neutral,short,short,long,long,Interval.in_3_minute,GBPAUD,long,long,long,short
15,2023-10-12 00:18:00,1.91948,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,long,short,long
16,2023-10-12 00:15:00,1.91934,short,short,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,long
17,2023-10-12 00:12:00,1.91887,neutral,neutral,short,short,short,Interval.in_3_minute,GBPAUD,long,short,short,long
18,2023-10-12 00:09:00,1.91898,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,short,short,long
19,2023-10-12 00:06:00,1.91918,long,long,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
20,2023-10-12 00:03:00,1.9198,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
21,2023-10-11 23:57:00,1.91955,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,short,short,short
22,2023-10-11 23:54:00,1.91967,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
23,2023-10-11 23:51:00,1.91984,short,short,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
24,2023-10-11 23:48:00,1.91972,neutral,long,short,short,neutral,Interval.in_3_minute,GBPAUD,long,short,short,short
25,2023-10-11 23:45:00,1.91975,neutral,long,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
26,2023-10-11 23:42:00,1.92003,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
27,2023-10-11 23:39:00,1.92002,neutral,long,short,long,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
28,2023-10-11 23:36:00,1.92005,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
29,2023-10-11 23:33:00,1.91998,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
30,2023-10-11 23:30:00,1.91999,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,long,short,short
31,2023-10-11 23:27:00,1.91982,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
32,2023-10-11 23:24:00,1.91968,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
33,2023-10-11 23:21:00,1.9197,short,short,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
34,2023-10-11 23:18:00,1.91962,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
35,2023-10-11 23:15:00,1.91992,neutral,long,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
36,2023-10-11 23:12:00,1.9199,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
37,2023-10-11 23:09:00,1.91995,short,short,short,short,neutral,Interval.in_3_minute,GBPAUD,long,long,short,short
38,2023-10-11 23:06:00,1.91967,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
39,2023-10-11 23:03:00,1.91967,neutral,neutral,short,short,short,Interval.in_3_minute,GBPAUD,long,short,short,short
40,2023-10-11 23:00:00,1.91994,short,short,short,short,neutral,Interval.in_3_minute,GBPAUD,long,short,short,long
41,2023-10-11 22:57:00,1.92006,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,short
42,2023-10-11 22:54:00,1.92028,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,long,short
43,2023-10-11 22:51:00,1.9202,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,long,long
44,2023-10-11 22:48:00,1.92022,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPAUD,long,neutral,short,long
45,2023-10-11 22:45:00,1.92014,neutral,neutral,short,short,short,Interval.in_3_minute,GBPAUD,long,short,short,long
46,2023-10-11 22:42:00,1.92016,neutral,neutral,short,short,short,Interval.in_3_minute,GBPAUD,long,short,long,long
