,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 00:00:00,1.2312,long,long,short,long,long,Interval.in_1_hour,GBPUSD,long,long,long,short
1,2023-10-11 22:00:00,1.23087,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPUSD,long,long,long,short
2,2023-10-11 21:00:00,1.23044,neutral,short,short,short,neutral,Interval.in_1_hour,GBPUSD,long,neutral,long,short
3,2023-10-11 20:00:00,1.22873,neutral,neutral,short,short,short,Interval.in_1_hour,GBPUSD,long,short,long,short
4,2023-10-11 19:00:00,1.22967,neutral,neutral,short,long,short,Interval.in_1_hour,GBPUSD,long,short,long,short
5,2023-10-11 18:00:00,1.23018,long,long,short,long,neutral,Interval.in_1_hour,GBPUSD,long,short,long,short
6,2023-10-11 17:00:00,1.23126,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPUSD,long,neutral,long,short
7,2023-10-11 16:00:00,1.23306,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPUSD,long,long,long,short
8,2023-10-11 15:00:00,1.23125,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPUSD,long,neutral,long,short
9,2023-10-11 14:00:00,1.22898,neutral,neutral,short,long,neutral,Interval.in_1_hour,GBPUSD,long,neutral,long,long
10,2023-10-11 13:00:00,1.22916,neutral,neutral,short,short,long,Interval.in_1_hour,GBPUSD,long,long,long,long
11,2023-10-11 12:00:00,1.2285,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPUSD,long,long,long,long
12,2023-10-11 11:00:00,1.22806,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPUSD,long,neutral,long,long
13,2023-10-11 10:00:00,1.22764,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPUSD,long,neutral,long,long
14,2023-10-11 09:00:00,1.22866,neutral,short,short,short,neutral,Interval.in_1_hour,GBPUSD,long,neutral,long,long
15,2023-10-11 08:00:00,1.22866,neutral,neutral,short,short,neutral,Interval.in_1_hour,GBPUSD,long,neutral,long,long
