,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,UMA,Volume,interval,symbol,ScalpPro8108,Volume2,UMA20,NW
0,2023-10-12 01:06:00,1.231,long,long,short,short,neutral,Interval.in_3_minute,GBPUSD,long,short,long,short
1,2023-10-12 01:00:00,1.23131,short,short,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,long,short
2,2023-10-12 00:57:00,1.2312,neutral,neutral,short,short,short,Interval.in_3_minute,GBPUSD,long,short,short,short
3,2023-10-12 00:54:00,1.23121,neutral,neutral,short,long,short,Interval.in_3_minute,GBPUSD,long,short,short,short
4,2023-10-12 00:51:00,1.23122,neutral,neutral,short,long,short,Interval.in_3_minute,GBPUSD,long,short,short,long
5,2023-10-12 00:48:00,1.23123,long,long,short,long,neutral,Interval.in_3_minute,GBPUSD,long,short,short,long
6,2023-10-12 00:45:00,1.23124,neutral,short,short,long,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,long
7,2023-10-12 00:42:00,1.23128,short,short,short,long,long,Interval.in_3_minute,GBPUSD,long,long,short,long
8,2023-10-12 00:39:00,1.23118,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,long,short,long
9,2023-10-12 00:36:00,1.23113,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,long
10,2023-10-12 00:33:00,1.23113,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,long
11,2023-10-12 00:30:00,1.23122,short,short,short,short,neutral,Interval.in_3_minute,GBPUSD,long,long,short,long
12,2023-10-12 00:27:00,1.2312,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,long
13,2023-10-12 00:24:00,1.2312,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPUSD,long,short,short,long
14,2023-10-12 00:21:00,1.23128,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,long
15,2023-10-12 00:18:00,1.23134,neutral,neutral,short,long,long,Interval.in_3_minute,GBPUSD,long,long,short,long
16,2023-10-12 00:15:00,1.23132,long,long,short,long,long,Interval.in_3_minute,GBPUSD,long,long,neutral,long
17,2023-10-12 00:12:00,1.23132,neutral,neutral,short,long,long,Interval.in_3_minute,GBPUSD,long,long,long,long
18,2023-10-12 00:09:00,1.2313,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,long,long,long
19,2023-10-12 00:06:00,1.23108,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,short,long
20,2023-10-12 00:03:00,1.23108,neutral,neutral,short,short,short,Interval.in_3_minute,GBPUSD,long,short,long,long
21,2023-10-11 23:57:00,1.231125,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,short,long,short
22,2023-10-11 23:54:00,1.23118,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,long,short
23,2023-10-11 23:51:00,1.23131,neutral,short,short,short,neutral,Interval.in_3_minute,GBPUSD,long,long,long,short
24,2023-10-11 23:48:00,1.23128,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,long,short
25,2023-10-11 23:45:00,1.23128,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,long,short
26,2023-10-11 23:42:00,1.23138,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,long,short
27,2023-10-11 23:39:00,1.23134,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,short,long,long
28,2023-10-11 23:36:00,1.23136,neutral,neutral,short,short,neutral,Interval.in_3_minute,GBPUSD,long,neutral,long,long
29,2023-10-11 23:33:00,1.23139,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPUSD,long,neutral,long,long
30,2023-10-11 23:30:00,1.23138,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPUSD,long,short,long,long
31,2023-10-11 23:27:00,1.23139,neutral,neutral,short,long,neutral,Interval.in_3_minute,GBPUSD,long,neutral,long,long
32,2023-10-11 23:24:00,1.23143,neutral,neutral,short,long,long,Interval.in_3_minute,GBPUSD,long,long,long,long
33,2023-10-11 23:21:00,1.2314,neutral,neutral,short,long,long,Interval.in_3_minute,GBPUSD,long,long,long,long
