,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,True,True,False,False,False,False,True,True,True,2023-10-09 19:42:00,neutral,neutral,short,short,long
1,True,False,False,False,False,False,False,False,False,False,2023-10-09 19:36:00,long,short,short,short,long
2,False,False,False,False,False,False,False,False,False,False,2023-10-09 19:33:00,neutral,neutral,long,short,long
3,False,False,False,False,False,False,False,False,False,False,2023-10-09 19:30:00,neutral,neutral,long,short,long
4,True,False,False,False,False,False,False,False,False,False,2023-10-09 19:27:00,long,short,long,short,long
5,False,True,False,False,False,False,False,False,False,False,2023-10-09 19:24:00,neutral,neutral,long,short,long
6,False,False,True,False,False,False,False,False,False,False,2023-10-09 19:21:00,neutral,long,long,short,long
7,True,False,False,True,False,False,False,False,False,False,2023-10-09 19:18:00,neutral,neutral,long,short,short
8,True,True,True,True,True,True,True,True,False,False,2023-10-09 19:15:00,long,short,long,short,short
9,False,True,True,True,True,True,True,False,False,False,2023-10-09 19:12:00,neutral,short,long,short,short
10,False,False,True,True,True,True,True,True,False,False,2023-10-09 19:09:00,neutral,neutral,long,short,short
11,False,False,False,True,True,True,False,True,False,False,2023-10-09 19:06:00,short,long,long,short,short
12,True,True,True,False,True,True,True,True,True,True,2023-10-09 19:03:00,neutral,long,long,short,short
13,True,True,True,True,True,True,True,True,True,True,2023-10-09 19:00:00,neutral,long,long,short,short
14,True,True,True,True,True,True,True,True,True,True,2023-10-09 18:57:00,long,neutral,short,short,short
15,True,True,True,True,True,True,True,True,True,True,2023-10-09 18:54:00,neutral,neutral,short,short,long
16,False,False,True,True,True,True,True,True,True,True,2023-10-09 18:51:00,neutral,long,short,short,long
17,True,True,True,True,True,True,True,True,True,True,2023-10-09 18:48:00,short,neutral,short,short,long
18,True,True,True,True,True,True,True,True,True,True,2023-10-09 18:45:00,long,neutral,short,long,long
19,False,False,False,False,False,False,True,True,True,True,2023-10-09 18:42:00,short,neutral,short,long,long
20,True,False,False,True,True,True,True,True,True,True,2023-10-09 18:39:00,neutral,neutral,short,long,long
21,False,False,False,False,False,False,False,False,True,True,2023-10-09 18:36:00,short,neutral,short,long,long
