,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
0,2023-10-27 12:00:00,OANDA:AUDCAD,0.87645,0.87668,0.87633,0.8766400000000001,117.0,Interval.in_1_hour,57412800.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,2023-10-27 11:00:00,OANDA:AUDCAD,0.87606,0.87682,0.87604,0.87645,1452.0,Interval.in_1_hour,57409200.0,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,2023-10-27 10:00:00,OANDA:AUDCAD,0.87554,0.87611,0.87528,0.87606,1634.0,Interval.in_1_hour,57405600.0,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,2023-10-27 09:00:00,OANDA:AUDCAD,0.87616,0.87671,0.87542,0.87554,1701.0,Interval.in_1_hour,57402000.0,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2023-10-27 08:00:00,OANDA:AUDCAD,0.8758,0.87623,0.87534,0.87616,1165.0,Interval.in_1_hour,57398400.0,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,2023-10-27 07:00:00,OANDA:AUDCAD,0.87534,0.8759,0.8752,0.8758,516.0,Interval.in_1_hour,57394800.0,long,short,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,2023-10-27 06:00:00,OANDA:AUDCAD,0.87558,0.87575,0.8752,0.87534,794.0,Interval.in_1_hour,57391200.0,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,2023-10-27 05:00:00,OANDA:AUDCAD,0.87582,0.87616,0.875215,0.87558,1257.0,Interval.in_1_hour,57387600.0,short,long,long,short,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2023-10-27 04:00:00,OANDA:AUDCAD,0.87578,0.87628,0.87474,0.87582,1550.0,Interval.in_1_hour,57384000.0,short,short,short,long,short,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2023-10-27 03:00:00,OANDA:AUDCAD,0.87506,0.8761,0.87485,0.87578,1157.0,Interval.in_1_hour,57380400.0,long,short,short,long,long,short,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,2023-10-27 02:00:00,OANDA:AUDCAD,0.87428,0.87528,0.87427,0.87506,546.0,Interval.in_1_hour,57376800.0,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,2023-10-27 01:00:00,OANDA:AUDCAD,0.87422,0.87485,0.87422,0.87428,477.0,Interval.in_1_hour,57373200.0,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,2023-10-27 00:00:00,OANDA:AUDCAD,0.87445,0.87445,0.87402,0.87422,82.0,Interval.in_1_hour,57369600.0,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,2023-10-26 23:00:00,OANDA:AUDCAD,0.8737,0.87462,0.8736,0.87445,854.0,Interval.in_1_hour,57366000.0,short,short,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,2023-10-26 22:00:00,OANDA:AUDCAD,0.87422,0.87442,0.87332,0.8737,1824.0,Interval.in_1_hour,57362400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,2023-10-26 21:00:00,OANDA:AUDCAD,0.87424,0.87471,0.87404,0.87422,2031.0,Interval.in_1_hour,57358800.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,2023-10-26 20:00:00,OANDA:AUDCAD,0.87232,0.87476,0.87226,0.87424,2503.0,Interval.in_1_hour,57355200.0,short,short,long,short,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,2023-10-26 19:00:00,OANDA:AUDCAD,0.87295,0.87328,0.8722,0.87232,2310.0,Interval.in_1_hour,57351600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None
18,2023-10-26 18:00:00,OANDA:AUDCAD,0.8732,0.87335,0.8716,0.87295,4184.0,Interval.in_1_hour,57348000.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None
19,2023-10-26 17:00:00,OANDA:AUDCAD,0.87316,0.8737,0.87206,0.8732,6032.0,Interval.in_1_hour,57344400.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None
20,2023-10-26 16:00:00,OANDA:AUDCAD,0.87323,0.874085,0.87206,0.87316,6235.0,Interval.in_1_hour,57340800.0,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None
21,2023-10-26 15:00:00,OANDA:AUDCAD,0.87036,0.87336,0.86993,0.87323,6352.0,Interval.in_1_hour,57337200.0,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None
22,2023-10-26 14:00:00,OANDA:AUDCAD,0.87034,0.87073,0.87012,0.87036,2655.0,Interval.in_1_hour,57333600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None
23,2023-10-26 13:00:00,OANDA:AUDCAD,0.87068,0.87123,0.870195,0.87034,2728.0,Interval.in_1_hour,57330000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None
24,2023-10-26 12:00:00,OANDA:AUDCAD,0.87042,0.8711,0.87007,0.87068,2787.0,Interval.in_1_hour,57326400.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None
25,2023-10-26 11:00:00,OANDA:AUDCAD,0.87052,0.87099,0.87004,0.87042,3638.0,Interval.in_1_hour,57322800.0,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None
26,2023-10-26 10:00:00,OANDA:AUDCAD,0.8695,0.870725,0.86922,0.87052,2899.0,Interval.in_1_hour,57319200.0,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None
27,2023-10-26 09:00:00,OANDA:AUDCAD,0.8685,0.87039,0.86806,0.8695,4210.0,Interval.in_1_hour,57315600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None
28,2023-10-26 08:00:00,OANDA:AUDCAD,0.86724,0.86927,0.86724,0.8685,2220.0,Interval.in_1_hour,57312000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None
29,2023-10-26 07:00:00,OANDA:AUDCAD,0.86704,0.86745,0.86686,0.86724,982.0,Interval.in_1_hour,57308400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None
30,2023-10-26 06:00:00,OANDA:AUDCAD,0.86672,0.8673,0.8665,0.86704,1631.0,Interval.in_1_hour,57304800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
31,2023-10-26 05:00:00,OANDA:AUDCAD,0.86817,0.86824,0.86641,0.86672,3046.0,Interval.in_1_hour,57301200.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
32,2023-10-26 04:00:00,OANDA:AUDCAD,0.86717,0.86876,0.86692,0.86817,2611.0,Interval.in_1_hour,57297600.0,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
33,2023-10-26 03:00:00,OANDA:AUDCAD,0.8687,0.86925,0.8668,0.86717,2137.0,Interval.in_1_hour,57294000.0,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
34,2023-10-26 02:00:00,OANDA:AUDCAD,0.86802,0.86888,0.86794,0.8687,895.0,Interval.in_1_hour,57290400.0,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
35,2023-10-26 01:00:00,OANDA:AUDCAD,0.8703,0.87033,0.86752,0.86802,1799.0,Interval.in_1_hour,57286800.0,long,short,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
36,2023-10-26 00:00:00,OANDA:AUDCAD,0.87055,0.87095,0.86998,0.8703,1213.0,Interval.in_1_hour,57283200.0,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
37,2023-10-25 23:00:00,OANDA:AUDCAD,0.87048,0.87064,0.87022,0.87055,1212.0,Interval.in_1_hour,57279600.0,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
38,2023-10-25 22:00:00,OANDA:AUDCAD,0.87052,0.87068,0.87018,0.87048,1677.0,Interval.in_1_hour,57276000.0,long,short,short,short,short,short,short,short,short,short,short,long,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long
39,2023-10-25 21:00:00,OANDA:AUDCAD,0.87006,0.87052,0.86999,0.87052,2518.0,Interval.in_1_hour,57272400.0,short,long,short,short,short,short,short,short,short,short,short,short,long,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long
40,2023-10-25 20:00:00,OANDA:AUDCAD,0.87121,0.87135,0.86988,0.87006,3553.0,Interval.in_1_hour,57268800.0,long,long,long,long,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
41,2023-10-25 19:00:00,OANDA:AUDCAD,0.87232,0.87262,0.8712,0.87121,2240.0,Interval.in_1_hour,57265200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long
42,2023-10-25 18:00:00,OANDA:AUDCAD,0.87289,0.87342,0.872,0.87232,4569.0,Interval.in_1_hour,57261600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long
43,2023-10-25 17:00:00,OANDA:AUDCAD,0.87219,0.87384,0.87201,0.87289,7609.0,Interval.in_1_hour,57258000.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,short,long,long,long,long
44,2023-10-25 16:00:00,OANDA:AUDCAD,0.87298,0.87352,0.87148,0.87219,3572.0,Interval.in_1_hour,57254400.0,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long
45,2023-10-25 15:00:00,OANDA:AUDCAD,0.87228,0.8732,0.87217,0.87298,3478.0,Interval.in_1_hour,57250800.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,short,short,long,long
46,2023-10-25 14:00:00,OANDA:AUDCAD,0.8731,0.87332,0.87215,0.87228,2259.0,Interval.in_1_hour,57247200.0,long,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long
47,2023-10-25 13:00:00,OANDA:AUDCAD,0.87232,0.8735,0.87218,0.8731,2135.0,Interval.in_1_hour,57243600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,short,short
48,2023-10-25 12:00:00,OANDA:AUDCAD,0.87424,0.87438,0.87196,0.87232,3345.0,Interval.in_1_hour,57240000.0,long,short,long,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long
49,2023-10-25 11:00:00,OANDA:AUDCAD,0.87446,0.8751,0.87401,0.87424,3066.0,Interval.in_1_hour,57236400.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
50,2023-10-25 10:00:00,OANDA:AUDCAD,0.87618,0.87634,0.87444,0.87446,3611.0,Interval.in_1_hour,57232800.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
51,2023-10-25 09:00:00,OANDA:AUDCAD,0.8765,0.87716,0.87618,0.87618,2756.0,Interval.in_1_hour,57229200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
52,2023-10-25 08:00:00,OANDA:AUDCAD,0.87758,0.87771,0.87606,0.8765,1456.0,Interval.in_1_hour,57225600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
53,2023-10-25 07:00:00,OANDA:AUDCAD,0.87693,0.87762,0.87676,0.87758,1267.0,Interval.in_1_hour,57222000.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
54,2023-10-25 06:00:00,OANDA:AUDCAD,0.87778,0.87794,0.87662,0.87693,1511.0,Interval.in_1_hour,57218400.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
55,2023-10-25 05:00:00,OANDA:AUDCAD,0.87812,0.87839,0.87744,0.87778,1836.0,Interval.in_1_hour,57214800.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
56,2023-10-25 04:00:00,OANDA:AUDCAD,0.87809,0.87884,0.87748,0.87812,2564.0,Interval.in_1_hour,57211200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
57,2023-10-25 03:00:00,OANDA:AUDCAD,0.87402,0.87818,0.87365,0.87809,3458.0,Interval.in_1_hour,57207600.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
58,2023-10-25 02:00:00,OANDA:AUDCAD,0.87348,0.87418,0.87342,0.87402,745.0,Interval.in_1_hour,57204000.0,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
59,2023-10-25 01:00:00,OANDA:AUDCAD,0.87352,0.87361,0.87304,0.87348,896.0,Interval.in_1_hour,57200400.0,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
