,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
0,2023-10-27 12:00:00,OANDA:AUDCHF,0.57188,0.57191,0.571595,0.571645,173.0,Interval.in_1_hour,57412800.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,2023-10-27 11:00:00,OANDA:AUDCHF,0.5708,0.57224,0.57072,0.57188,1974.0,Interval.in_1_hour,57409200.0,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,2023-10-27 10:00:00,OANDA:AUDCHF,0.56987,0.57081,0.56916,0.5708,2152.0,Interval.in_1_hour,57405600.0,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,2023-10-27 09:00:00,OANDA:AUDCHF,0.57018,0.57081,0.5697,0.56987,1876.0,Interval.in_1_hour,57402000.0,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2023-10-27 08:00:00,OANDA:AUDCHF,0.57008,0.57038,0.56977,0.57018,1232.0,Interval.in_1_hour,57398400.0,short,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,2023-10-27 07:00:00,OANDA:AUDCHF,0.56946,0.57015,0.5694,0.57008,924.0,Interval.in_1_hour,57394800.0,long,short,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,2023-10-27 06:00:00,OANDA:AUDCHF,0.56956,0.56977,0.569335,0.56946,1196.0,Interval.in_1_hour,57391200.0,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,2023-10-27 05:00:00,OANDA:AUDCHF,0.57,0.57026,0.5693,0.56956,1564.0,Interval.in_1_hour,57387600.0,short,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2023-10-27 04:00:00,OANDA:AUDCHF,0.56967,0.57018,0.56886,0.57,1697.0,Interval.in_1_hour,57384000.0,short,short,long,long,short,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2023-10-27 03:00:00,OANDA:AUDCHF,0.5693,0.56985,0.5691,0.56967,1535.0,Interval.in_1_hour,57380400.0,long,short,short,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,2023-10-27 02:00:00,OANDA:AUDCHF,0.56874,0.56946,0.56874,0.5693,657.0,Interval.in_1_hour,57376800.0,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,2023-10-27 01:00:00,OANDA:AUDCHF,0.56814,0.56898,0.5679,0.56874,559.0,Interval.in_1_hour,57373200.0,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,2023-10-27 00:00:00,OANDA:AUDCHF,0.56826,0.56857,0.56784,0.56814,611.0,Interval.in_1_hour,57369600.0,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,2023-10-26 23:00:00,OANDA:AUDCHF,0.56821,0.56873,0.56794,0.568265,986.0,Interval.in_1_hour,57366000.0,short,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,2023-10-26 22:00:00,OANDA:AUDCHF,0.56892,0.56903,0.56817,0.56821,1752.0,Interval.in_1_hour,57362400.0,long,short,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,2023-10-26 21:00:00,OANDA:AUDCHF,0.56872,0.56915,0.56872,0.56892,1709.0,Interval.in_1_hour,57358800.0,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,2023-10-26 20:00:00,OANDA:AUDCHF,0.56735,0.56878,0.56727,0.56872,2279.0,Interval.in_1_hour,57355200.0,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,2023-10-26 19:00:00,OANDA:AUDCHF,0.56776,0.56786,0.56723,0.56735,2475.0,Interval.in_1_hour,57351600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None
18,2023-10-26 18:00:00,OANDA:AUDCHF,0.56804,0.56808,0.56702,0.56776,3966.0,Interval.in_1_hour,57348000.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None
19,2023-10-26 17:00:00,OANDA:AUDCHF,0.56676,0.56844,0.56662,0.56804,5518.0,Interval.in_1_hour,57344400.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None
20,2023-10-26 16:00:00,OANDA:AUDCHF,0.56689,0.56752,0.56638,0.56676,5472.0,Interval.in_1_hour,57340800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None
21,2023-10-26 15:00:00,OANDA:AUDCHF,0.56593,0.567265,0.56568,0.56689,6390.0,Interval.in_1_hour,57337200.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None
22,2023-10-26 14:00:00,OANDA:AUDCHF,0.56636,0.566645,0.56593,0.56593,2056.0,Interval.in_1_hour,57333600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None
23,2023-10-26 13:00:00,OANDA:AUDCHF,0.56702,0.56726,0.56622,0.56636,2111.0,Interval.in_1_hour,57330000.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None
24,2023-10-26 12:00:00,OANDA:AUDCHF,0.5676,0.56802,0.56699,0.56702,2996.0,Interval.in_1_hour,57326400.0,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None
25,2023-10-26 11:00:00,OANDA:AUDCHF,0.56644,0.56794,0.56642,0.5676,3132.0,Interval.in_1_hour,57322800.0,short,short,short,short,short,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None
26,2023-10-26 10:00:00,OANDA:AUDCHF,0.56557,0.566585,0.56527,0.56644,2818.0,Interval.in_1_hour,57319200.0,long,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None
27,2023-10-26 09:00:00,OANDA:AUDCHF,0.56502,0.566,0.56458,0.56557,3641.0,Interval.in_1_hour,57315600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None
28,2023-10-26 08:00:00,OANDA:AUDCHF,0.5638,0.56541,0.5638,0.56502,1929.0,Interval.in_1_hour,57312000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None
29,2023-10-26 07:00:00,OANDA:AUDCHF,0.5637,0.5639,0.56344,0.5638,1279.0,Interval.in_1_hour,57308400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None
30,2023-10-26 06:00:00,OANDA:AUDCHF,0.56354,0.56388,0.56322,0.5637,1800.0,Interval.in_1_hour,57304800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
31,2023-10-26 05:00:00,OANDA:AUDCHF,0.56426,0.56426,0.56313,0.56354,2000.0,Interval.in_1_hour,57301200.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
32,2023-10-26 04:00:00,OANDA:AUDCHF,0.56336,0.56464,0.56308,0.56426,2637.0,Interval.in_1_hour,57297600.0,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
33,2023-10-26 03:00:00,OANDA:AUDCHF,0.56438,0.56476,0.5631,0.56336,2017.0,Interval.in_1_hour,57294000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
34,2023-10-26 02:00:00,OANDA:AUDCHF,0.56404,0.56462,0.56402,0.56438,997.0,Interval.in_1_hour,57290400.0,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
35,2023-10-26 01:00:00,OANDA:AUDCHF,0.56563,0.56565,0.5636,0.56404,1775.0,Interval.in_1_hour,57286800.0,long,short,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
36,2023-10-26 00:00:00,OANDA:AUDCHF,0.56576,0.56622,0.56544,0.56563,3375.0,Interval.in_1_hour,57283200.0,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
37,2023-10-25 23:00:00,OANDA:AUDCHF,0.5658,0.5659,0.56564,0.56576,1427.0,Interval.in_1_hour,57279600.0,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
38,2023-10-25 22:00:00,OANDA:AUDCHF,0.56574,0.56596,0.56558,0.5658,1357.0,Interval.in_1_hour,57276000.0,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
39,2023-10-25 21:00:00,OANDA:AUDCHF,0.56564,0.56596,0.5654,0.56574,1735.0,Interval.in_1_hour,57272400.0,long,long,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
40,2023-10-25 20:00:00,OANDA:AUDCHF,0.56648,0.56652,0.56543,0.56564,2626.0,Interval.in_1_hour,57268800.0,long,long,long,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
41,2023-10-25 19:00:00,OANDA:AUDCHF,0.56692,0.5673,0.56645,0.56648,2042.0,Interval.in_1_hour,57265200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,short,short,long,long,long,long,long,long,long,long,long,long,long
42,2023-10-25 18:00:00,OANDA:AUDCHF,0.56692,0.56781,0.56649,0.56692,4480.0,Interval.in_1_hour,57261600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,short,short,short,short,long,long,long,long,long,long,long,long
43,2023-10-25 17:00:00,OANDA:AUDCHF,0.56698,0.56737,0.56618,0.56692,5873.0,Interval.in_1_hour,57258000.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,short,short,short,short,long,long,long,long,long,long,long
44,2023-10-25 16:00:00,OANDA:AUDCHF,0.56756,0.5677,0.56617,0.56698,3340.0,Interval.in_1_hour,57254400.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,short,short,short,short,long,long,long,long,long,long
45,2023-10-25 15:00:00,OANDA:AUDCHF,0.56784,0.56844,0.56752,0.56756,2881.0,Interval.in_1_hour,57250800.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,short,short,short,long,long,short,long,long
46,2023-10-25 14:00:00,OANDA:AUDCHF,0.56766,0.56784,0.5673,0.56784,1594.0,Interval.in_1_hour,57247200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,long
47,2023-10-25 13:00:00,OANDA:AUDCHF,0.56734,0.56784,0.56716,0.56766,2349.0,Interval.in_1_hour,57243600.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,short
48,2023-10-25 12:00:00,OANDA:AUDCHF,0.56868,0.5689,0.5671,0.56734,2867.0,Interval.in_1_hour,57240000.0,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,short,short,short,long,long
49,2023-10-25 11:00:00,OANDA:AUDCHF,0.56878,0.56891,0.56834,0.56868,2817.0,Interval.in_1_hour,57236400.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
50,2023-10-25 10:00:00,OANDA:AUDCHF,0.56919,0.56962,0.568715,0.56878,2984.0,Interval.in_1_hour,57232800.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
51,2023-10-25 09:00:00,OANDA:AUDCHF,0.56913,0.569625,0.56882,0.56919,2211.0,Interval.in_1_hour,57229200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
52,2023-10-25 08:00:00,OANDA:AUDCHF,0.5701,0.5702,0.56893,0.56913,2284.0,Interval.in_1_hour,57225600.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
53,2023-10-25 07:00:00,OANDA:AUDCHF,0.5698,0.570125,0.56956,0.5701,1119.0,Interval.in_1_hour,57222000.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
54,2023-10-25 06:00:00,OANDA:AUDCHF,0.57042,0.57062,0.569535,0.5698,1573.0,Interval.in_1_hour,57218400.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
55,2023-10-25 05:00:00,OANDA:AUDCHF,0.57069,0.57082,0.57015,0.57042,1520.0,Interval.in_1_hour,57214800.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
56,2023-10-25 04:00:00,OANDA:AUDCHF,0.5708,0.5713,0.5703,0.57069,2847.0,Interval.in_1_hour,57211200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
57,2023-10-25 03:00:00,OANDA:AUDCHF,0.56801,0.57088,0.56784,0.5708,3089.0,Interval.in_1_hour,57207600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
58,2023-10-25 02:00:00,OANDA:AUDCHF,0.56763,0.56814,0.56757,0.56801,601.0,Interval.in_1_hour,57204000.0,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
59,2023-10-25 01:00:00,OANDA:AUDCHF,0.56784,0.56784,0.56733,0.56763,843.0,Interval.in_1_hour,57200400.0,long,long,long,long,long,long,long,long,long,long,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
60,2023-10-25 00:00:00,OANDA:AUDCHF,0.56765,0.56829,0.56743,0.56784,3485.0,Interval.in_1_hour,57196800.0,short,long,long,long,long,long,long,long,long,long,long,short,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
61,2023-10-24 23:00:00,OANDA:AUDCHF,0.56787,0.56798,0.56758,0.56765,923.0,Interval.in_1_hour,57193200.0,long,short,long,long,long,long,long,long,long,long,long,long,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
62,2023-10-24 22:00:00,OANDA:AUDCHF,0.56798,0.5681,0.56784,0.56787,1404.0,Interval.in_1_hour,57189600.0,short,short,short,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
63,2023-10-24 21:00:00,OANDA:AUDCHF,0.5679,0.56832,0.56774,0.56798,1311.0,Interval.in_1_hour,57186000.0,short,short,short,short,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
64,2023-10-24 20:00:00,OANDA:AUDCHF,0.56726,0.56801,0.56722,0.5679,1884.0,Interval.in_1_hour,57182400.0,long,short,short,short,short,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
65,2023-10-24 19:00:00,OANDA:AUDCHF,0.56726,0.56744,0.567,0.56726,1845.0,Interval.in_1_hour,57178800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short
66,2023-10-24 18:00:00,OANDA:AUDCHF,0.56808,0.56812,0.56706,0.56726,3517.0,Interval.in_1_hour,57175200.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short
67,2023-10-24 17:00:00,OANDA:AUDCHF,0.56849,0.56873,0.56793,0.56808,6672.0,Interval.in_1_hour,57171600.0,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short
68,2023-10-24 16:00:00,OANDA:AUDCHF,0.5687,0.56894,0.56808,0.56849,4851.0,Interval.in_1_hour,57168000.0,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short
69,2023-10-24 15:00:00,OANDA:AUDCHF,0.56838,0.56882,0.56823,0.5687,3213.0,Interval.in_1_hour,57164400.0,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short
70,2023-10-24 14:00:00,OANDA:AUDCHF,0.56772,0.568545,0.5677,0.56838,2274.0,Interval.in_1_hour,57160800.0,long,long,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short
71,2023-10-24 13:00:00,OANDA:AUDCHF,0.56831,0.56846,0.56763,0.56772,2777.0,Interval.in_1_hour,57157200.0,long,long,long,long,short,short,long,long,long,short,long,short,long,long,long,long,long,long,long,long,long,long,short,short,long,short,short,short,short,short
72,2023-10-24 12:00:00,OANDA:AUDCHF,0.56754,0.56847,0.5674,0.56831,3111.0,Interval.in_1_hour,57153600.0,short,long,long,long,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,short,short,short,short,short,short,short
73,2023-10-24 11:00:00,OANDA:AUDCHF,0.56722,0.56813,0.56722,0.56754,3857.0,Interval.in_1_hour,57150000.0,long,long,long,long,long,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,long,long,short,short
74,2023-10-24 10:00:00,OANDA:AUDCHF,0.56715,0.56804,0.56658,0.56722,4679.0,Interval.in_1_hour,57146400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short
75,2023-10-24 09:00:00,OANDA:AUDCHF,0.56626,0.56739,0.56616,0.56715,3077.0,Interval.in_1_hour,57142800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
76,2023-10-24 08:00:00,OANDA:AUDCHF,0.56634,0.56642,0.56594,0.56626,1468.0,Interval.in_1_hour,57139200.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
77,2023-10-24 07:00:00,OANDA:AUDCHF,0.56623,0.56642,0.56604,0.56634,1086.0,Interval.in_1_hour,57135600.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
78,2023-10-24 06:00:00,OANDA:AUDCHF,0.56616,0.56648,0.5658,0.56623,1450.0,Interval.in_1_hour,57132000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
79,2023-10-24 05:00:00,OANDA:AUDCHF,0.56518,0.56636,0.56499,0.56616,1706.0,Interval.in_1_hour,57128400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
80,2023-10-24 04:00:00,OANDA:AUDCHF,0.56506,0.56577,0.56494,0.56518,2468.0,Interval.in_1_hour,57124800.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
81,2023-10-24 03:00:00,OANDA:AUDCHF,0.5645,0.565185,0.56448,0.56506,1726.0,Interval.in_1_hour,57121200.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
82,2023-10-24 02:00:00,OANDA:AUDCHF,0.56432,0.56458,0.56426,0.5645,443.0,Interval.in_1_hour,57117600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
83,2023-10-24 01:00:00,OANDA:AUDCHF,0.56466,0.56472,0.56428,0.56432,695.0,Interval.in_1_hour,57114000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
84,2023-10-24 00:00:00,OANDA:AUDCHF,0.56444,0.56504,0.56434,0.56466,2816.0,Interval.in_1_hour,57110400.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
85,2023-10-23 23:00:00,OANDA:AUDCHF,0.56452,0.56459,0.56429,0.56444,374.0,Interval.in_1_hour,57106800.0,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
86,2023-10-23 22:00:00,OANDA:AUDCHF,0.56515,0.56526,0.56445,0.56452,1798.0,Interval.in_1_hour,57103200.0,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
87,2023-10-23 21:00:00,OANDA:AUDCHF,0.56536,0.56544,0.56483,0.56515,1317.0,Interval.in_1_hour,57099600.0,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
88,2023-10-23 20:00:00,OANDA:AUDCHF,0.56553,0.5656,0.5652,0.56536,1644.0,Interval.in_1_hour,57096000.0,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
89,2023-10-23 19:00:00,OANDA:AUDCHF,0.56513,0.56564,0.56498,0.56553,2056.0,Interval.in_1_hour,57092400.0,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
90,2023-10-23 18:00:00,OANDA:AUDCHF,0.56459,0.56552,0.5644,0.56513,3275.0,Interval.in_1_hour,57088800.0,long,long,long,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
91,2023-10-23 17:00:00,OANDA:AUDCHF,0.56464,0.56506,0.56438,0.56459,4668.0,Interval.in_1_hour,57085200.0,long,long,long,long,short,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
