,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
0,2023-10-27 12:05:00,OANDA:AUDCHF,0.5716,0.57169,0.5716,0.57166,48.0,Interval.in_5_minute,57413100.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,2023-10-27 12:00:00,OANDA:AUDCHF,0.57188,0.57191,0.571595,0.5716,125.0,Interval.in_5_minute,57412800.0,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,2023-10-27 11:55:00,OANDA:AUDCHF,0.5719,0.57198,0.57178,0.57188,116.0,Interval.in_5_minute,57412500.0,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,2023-10-27 11:50:00,OANDA:AUDCHF,0.57192,0.57192,0.57176,0.5719,142.0,Interval.in_5_minute,57412200.0,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2023-10-27 11:45:00,OANDA:AUDCHF,0.57196,0.57224,0.571875,0.57192,207.0,Interval.in_5_minute,57411900.0,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,2023-10-27 11:40:00,OANDA:AUDCHF,0.57186,0.57202,0.57177,0.57196,123.0,Interval.in_5_minute,57411600.0,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,2023-10-27 11:35:00,OANDA:AUDCHF,0.57156,0.57186,0.5714,0.57186,168.0,Interval.in_5_minute,57411300.0,long,long,long,long,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,2023-10-27 11:30:00,OANDA:AUDCHF,0.57168,0.571725,0.5715,0.57156,194.0,Interval.in_5_minute,57411000.0,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2023-10-27 11:25:00,OANDA:AUDCHF,0.57158,0.57172,0.57133,0.57168,211.0,Interval.in_5_minute,57410700.0,short,long,long,long,long,long,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2023-10-27 11:20:00,OANDA:AUDCHF,0.57157,0.57177,0.57142,0.57158,212.0,Interval.in_5_minute,57410400.0,long,short,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
