,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
0,2023-10-27 12:06:00,OANDA:AUDJPY,95.325,95.328,95.314,95.314,51.0,Interval.in_3_minute,57413160.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,2023-10-27 12:03:00,OANDA:AUDJPY,95.299,95.326,95.295,95.325,238.0,Interval.in_3_minute,57412980.0,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,2023-10-27 12:00:00,OANDA:AUDJPY,95.306,95.324,95.29,95.299,274.0,Interval.in_3_minute,57412800.0,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,2023-10-27 11:57:00,OANDA:AUDJPY,95.31,95.323,95.296,95.306,224.0,Interval.in_3_minute,57412620.0,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2023-10-27 11:54:00,OANDA:AUDJPY,95.32,95.324,95.306,95.31,220.0,Interval.in_3_minute,57412440.0,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,2023-10-27 11:51:00,OANDA:AUDJPY,95.308,95.328,95.3075,95.32,257.0,Interval.in_3_minute,57412260.0,short,short,short,long,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,2023-10-27 11:48:00,OANDA:AUDJPY,95.322,95.324,95.296,95.308,292.0,Interval.in_3_minute,57412080.0,long,long,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,2023-10-27 11:45:00,OANDA:AUDJPY,95.329,95.332,95.298,95.322,309.0,Interval.in_3_minute,57411900.0,short,short,short,short,short,long,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2023-10-27 11:42:00,OANDA:AUDJPY,95.328,95.342,95.326,95.329,323.0,Interval.in_3_minute,57411720.0,short,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2023-10-27 11:39:00,OANDA:AUDJPY,95.294,95.328,95.294,95.328,318.0,Interval.in_3_minute,57411540.0,long,short,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,2023-10-27 11:36:00,OANDA:AUDJPY,95.306,95.31,95.292,95.294,315.0,Interval.in_3_minute,57411360.0,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,2023-10-27 11:33:00,OANDA:AUDJPY,95.298,95.333,95.298,95.306,301.0,Interval.in_3_minute,57411180.0,short,long,long,long,long,long,long,long,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,2023-10-27 11:30:00,OANDA:AUDJPY,95.296,95.329,95.292,95.298,298.0,Interval.in_3_minute,57411000.0,long,short,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,2023-10-27 11:27:00,OANDA:AUDJPY,95.308,95.316,95.29,95.296,303.0,Interval.in_3_minute,57410820.0,long,long,short,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,2023-10-27 11:24:00,OANDA:AUDJPY,95.319,95.324,95.284,95.308,335.0,Interval.in_3_minute,57410640.0,short,short,short,short,long,long,long,long,long,long,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,2023-10-27 11:21:00,OANDA:AUDJPY,95.304,95.338,95.302,95.319,389.0,Interval.in_3_minute,57410460.0,short,short,short,short,short,long,long,long,short,long,short,short,short,long,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,2023-10-27 11:18:00,OANDA:AUDJPY,95.287,95.32,95.287,95.304,349.0,Interval.in_3_minute,57410280.0,long,long,short,short,long,short,long,long,long,long,long,long,long,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,2023-10-27 11:15:00,OANDA:AUDJPY,95.265,95.298,95.261,95.287,314.0,Interval.in_3_minute,57410100.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None
18,2023-10-27 11:12:00,OANDA:AUDJPY,95.255,95.268,95.228,95.265,254.0,Interval.in_3_minute,57409920.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None
19,2023-10-27 11:09:00,OANDA:AUDJPY,95.284,95.286,95.2455,95.255,242.0,Interval.in_3_minute,57409740.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None
20,2023-10-27 11:06:00,OANDA:AUDJPY,95.266,95.2965,95.262,95.284,301.0,Interval.in_3_minute,57409560.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None
21,2023-10-27 11:03:00,OANDA:AUDJPY,95.264,95.292,95.259,95.266,308.0,Interval.in_3_minute,57409380.0,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None
22,2023-10-27 11:00:00,OANDA:AUDJPY,95.242,95.266,95.233,95.264,309.0,Interval.in_3_minute,57409200.0,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None
23,2023-10-27 10:57:00,OANDA:AUDJPY,95.246,95.256,95.236,95.242,253.0,Interval.in_3_minute,57409020.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None
24,2023-10-27 10:54:00,OANDA:AUDJPY,95.236,95.247,95.226,95.246,170.0,Interval.in_3_minute,57408840.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None
25,2023-10-27 10:51:00,OANDA:AUDJPY,95.239,95.25,95.226,95.236,165.0,Interval.in_3_minute,57408660.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None
26,2023-10-27 10:48:00,OANDA:AUDJPY,95.179,95.239,95.178,95.239,296.0,Interval.in_3_minute,57408480.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None
27,2023-10-27 10:45:00,OANDA:AUDJPY,95.21,95.21,95.177,95.179,254.0,Interval.in_3_minute,57408300.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None
28,2023-10-27 10:42:00,OANDA:AUDJPY,95.187,95.214,95.158,95.21,203.0,Interval.in_3_minute,57408120.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None
29,2023-10-27 10:39:00,OANDA:AUDJPY,95.137,95.187,95.134,95.187,276.0,Interval.in_3_minute,57407940.0,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None
30,2023-10-27 10:36:00,OANDA:AUDJPY,95.12,95.1385,95.113,95.137,233.0,Interval.in_3_minute,57407760.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
31,2023-10-27 10:33:00,OANDA:AUDJPY,95.133,95.137,95.108,95.12,285.0,Interval.in_3_minute,57407580.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
32,2023-10-27 10:30:00,OANDA:AUDJPY,95.154,95.156,95.126,95.133,328.0,Interval.in_3_minute,57407400.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
33,2023-10-27 10:27:00,OANDA:AUDJPY,95.141,95.1605,95.1295,95.154,332.0,Interval.in_3_minute,57407220.0,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
34,2023-10-27 10:24:00,OANDA:AUDJPY,95.145,95.1645,95.134,95.141,395.0,Interval.in_3_minute,57407040.0,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
35,2023-10-27 10:21:00,OANDA:AUDJPY,95.129,95.162,95.126,95.145,377.0,Interval.in_3_minute,57406860.0,short,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
