,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
0,2023-10-27 12:00:00,OANDA:EURCAD,1.45774,1.45791,1.4576,1.45786,532.0,Interval.in_15_minute,57412800.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,2023-10-27 11:45:00,OANDA:EURCAD,1.45725,1.45796,1.45696,1.45774,886.0,Interval.in_15_minute,57411900.0,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,2023-10-27 11:30:00,OANDA:EURCAD,1.45768,1.45772,1.45722,1.45725,909.0,Interval.in_15_minute,57411000.0,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,2023-10-27 11:15:00,OANDA:EURCAD,1.45818,1.45834,1.45751,1.45768,1002.0,Interval.in_15_minute,57410100.0,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2023-10-27 11:00:00,OANDA:EURCAD,1.45836,1.458525,1.45782,1.45818,959.0,Interval.in_15_minute,57409200.0,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,2023-10-27 10:45:00,OANDA:EURCAD,1.45832,1.45848,1.458055,1.45836,801.0,Interval.in_15_minute,57408300.0,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,2023-10-27 10:30:00,OANDA:EURCAD,1.45989,1.45992,1.45832,1.45832,1022.0,Interval.in_15_minute,57407400.0,long,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,2023-10-27 10:15:00,OANDA:EURCAD,1.45942,1.46007,1.45932,1.45989,855.0,Interval.in_15_minute,57406500.0,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2023-10-27 10:00:00,OANDA:EURCAD,1.45876,1.459485,1.45856,1.45942,1446.0,Interval.in_15_minute,57405600.0,long,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2023-10-27 09:45:00,OANDA:EURCAD,1.45861,1.45911,1.458475,1.45876,1225.0,Interval.in_15_minute,57404700.0,long,long,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,2023-10-27 09:30:00,OANDA:EURCAD,1.45855,1.45913,1.45852,1.45861,695.0,Interval.in_15_minute,57403800.0,long,long,long,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,2023-10-27 09:15:00,OANDA:EURCAD,1.45838,1.45866,1.45792,1.45855,1228.0,Interval.in_15_minute,57402900.0,long,long,long,long,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,2023-10-27 09:00:00,OANDA:EURCAD,1.45952,1.4596,1.45837,1.45838,1224.0,Interval.in_15_minute,57402000.0,long,long,long,long,long,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,2023-10-27 08:45:00,OANDA:EURCAD,1.4592,1.459525,1.45914,1.45952,469.0,Interval.in_15_minute,57401100.0,short,short,short,short,short,long,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,2023-10-27 08:30:00,OANDA:EURCAD,1.45902,1.45937,1.45887,1.4592,688.0,Interval.in_15_minute,57400200.0,long,short,short,short,short,long,long,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,2023-10-27 08:15:00,OANDA:EURCAD,1.45894,1.459185,1.45892,1.45902,702.0,Interval.in_15_minute,57399300.0,long,long,short,short,short,short,long,long,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,2023-10-27 08:00:00,OANDA:EURCAD,1.45883,1.45912,1.45882,1.45894,736.0,Interval.in_15_minute,57398400.0,long,long,long,short,short,short,short,long,long,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None
