,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
0,2023-10-27 12:00:00,OANDA:EURUSD,1.05618,1.05645,1.05614,1.05635,314.0,Interval.in_2_hour,57412800.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,2023-10-27 10:00:00,OANDA:EURUSD,1.05562,1.05632,1.055215,1.05618,7264.0,Interval.in_2_hour,57405600.0,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,2023-10-27 08:00:00,OANDA:EURUSD,1.05673,1.05701,1.05547,1.05562,5337.0,Interval.in_2_hour,57398400.0,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,2023-10-27 06:00:00,OANDA:EURUSD,1.05646,1.05679,1.0561,1.05673,2457.0,Interval.in_2_hour,57391200.0,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2023-10-27 04:00:00,OANDA:EURUSD,1.05579,1.05668,1.05526,1.05646,4367.0,Interval.in_2_hour,57384000.0,long,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,2023-10-27 02:00:00,OANDA:EURUSD,1.05645,1.05658,1.05558,1.05579,5102.0,Interval.in_2_hour,57376800.0,long,long,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,2023-10-27 00:00:00,OANDA:EURUSD,1.05639,1.05655,1.05592,1.05645,1140.0,Interval.in_2_hour,57369600.0,short,long,long,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,2023-10-26 22:00:00,OANDA:EURUSD,1.0561,1.05644,1.05484,1.05639,4985.0,Interval.in_2_hour,57362400.0,long,short,long,long,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2023-10-26 20:00:00,OANDA:EURUSD,1.05286,1.05648,1.05282,1.0561,8653.0,Interval.in_2_hour,57355200.0,long,long,short,long,long,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2023-10-26 18:00:00,OANDA:EURUSD,1.05428,1.05451,1.05249,1.05286,10903.0,Interval.in_2_hour,57348000.0,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,2023-10-26 16:00:00,OANDA:EURUSD,1.05592,1.05605,1.05312,1.05428,18332.0,Interval.in_2_hour,57340800.0,short,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,2023-10-26 14:00:00,OANDA:EURUSD,1.05372,1.05593,1.05218,1.05592,14884.0,Interval.in_2_hour,57333600.0,short,short,long,long,long,short,long,long,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,2023-10-26 12:00:00,OANDA:EURUSD,1.05454,1.05521,1.05352,1.05372,5612.0,Interval.in_2_hour,57326400.0,long,long,short,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,2023-10-26 10:00:00,OANDA:EURUSD,1.05387,1.05526,1.05382,1.05454,8217.0,Interval.in_2_hour,57319200.0,short,long,short,short,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,2023-10-26 08:00:00,OANDA:EURUSD,1.05457,1.05493,1.05329,1.05387,6977.0,Interval.in_2_hour,57312000.0,long,short,long,long,short,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,2023-10-26 06:00:00,OANDA:EURUSD,1.05452,1.05482,1.05414,1.05457,3457.0,Interval.in_2_hour,57304800.0,short,short,short,long,short,short,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,2023-10-26 04:00:00,OANDA:EURUSD,1.05596,1.05614,1.05435,1.05452,5216.0,Interval.in_2_hour,57297600.0,long,short,long,short,long,short,short,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,2023-10-26 02:00:00,OANDA:EURUSD,1.05654,1.05693,1.05576,1.05596,3651.0,Interval.in_2_hour,57290400.0,short,short,short,short,short,short,short,short,long,long,long,short,long,long,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None
18,2023-10-26 00:00:00,OANDA:EURUSD,1.05661,1.05735,1.05644,1.05654,1651.0,Interval.in_2_hour,57283200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None
19,2023-10-25 22:00:00,OANDA:EURUSD,1.05666,1.05702,1.05658,1.05661,4740.0,Interval.in_2_hour,57276000.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,short,None,None,None,None,None,None,None,None,None,None,None
20,2023-10-25 20:00:00,OANDA:EURUSD,1.05746,1.05768,1.05658,1.05666,9428.0,Interval.in_2_hour,57268800.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,short,None,None,None,None,None,None,None,None,None,None
21,2023-10-25 18:00:00,OANDA:EURUSD,1.05851,1.05956,1.05708,1.05746,11601.0,Interval.in_2_hour,57261600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None
22,2023-10-25 16:00:00,OANDA:EURUSD,1.0575,1.05916,1.05669,1.05851,15552.0,Interval.in_2_hour,57254400.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,None,None,None,None,None,None,None,None
23,2023-10-25 14:00:00,OANDA:EURUSD,1.05743,1.05797,1.05694,1.0575,7798.0,Interval.in_2_hour,57247200.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,None,None,None,None,None,None,None
24,2023-10-25 12:00:00,OANDA:EURUSD,1.05851,1.05851,1.05658,1.05743,6810.0,Interval.in_2_hour,57240000.0,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,None,None,None,None,None,None
25,2023-10-25 10:00:00,OANDA:EURUSD,1.05926,1.0597,1.05783,1.05851,7973.0,Interval.in_2_hour,57232800.0,short,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,None,None,None,None,None
26,2023-10-25 08:00:00,OANDA:EURUSD,1.06062,1.06068,1.05925,1.05926,4548.0,Interval.in_2_hour,57225600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,None,None,None,None
27,2023-10-25 06:00:00,OANDA:EURUSD,1.06038,1.06065,1.0601,1.06062,2594.0,Interval.in_2_hour,57218400.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,None,None,None
28,2023-10-25 04:00:00,OANDA:EURUSD,1.05927,1.06045,1.05919,1.06038,4680.0,Interval.in_2_hour,57211200.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,None,None
29,2023-10-25 02:00:00,OANDA:EURUSD,1.05936,1.0599,1.05896,1.05927,3288.0,Interval.in_2_hour,57204000.0,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,None
30,2023-10-25 00:00:00,OANDA:EURUSD,1.0591,1.0595,1.0588,1.05936,1303.0,Interval.in_2_hour,57196800.0,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
31,2023-10-24 22:00:00,OANDA:EURUSD,1.05884,1.05944,1.0587,1.0591,4567.0,Interval.in_2_hour,57189600.0,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
32,2023-10-24 20:00:00,OANDA:EURUSD,1.05869,1.05943,1.05847,1.05884,6323.0,Interval.in_2_hour,57182400.0,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
33,2023-10-24 18:00:00,OANDA:EURUSD,1.05998,1.06024,1.0583,1.05869,9062.0,Interval.in_2_hour,57175200.0,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
34,2023-10-24 16:00:00,OANDA:EURUSD,1.06158,1.06246,1.05905,1.05998,16688.0,Interval.in_2_hour,57168000.0,short,short,short,short,short,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
35,2023-10-24 14:00:00,OANDA:EURUSD,1.06254,1.06417,1.06122,1.06158,10146.0,Interval.in_2_hour,57160800.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
36,2023-10-24 12:00:00,OANDA:EURUSD,1.06504,1.06514,1.06216,1.06254,7026.0,Interval.in_2_hour,57153600.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
37,2023-10-24 10:00:00,OANDA:EURUSD,1.06854,1.06946,1.06442,1.06504,12769.0,Interval.in_2_hour,57146400.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
38,2023-10-24 08:00:00,OANDA:EURUSD,1.06792,1.06868,1.0677,1.06854,5059.0,Interval.in_2_hour,57139200.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
39,2023-10-24 06:00:00,OANDA:EURUSD,1.06817,1.06862,1.0679,1.06792,2891.0,Interval.in_2_hour,57132000.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
40,2023-10-24 04:00:00,OANDA:EURUSD,1.06724,1.06873,1.06679,1.06817,6025.0,Interval.in_2_hour,57124800.0,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
41,2023-10-24 02:00:00,OANDA:EURUSD,1.06679,1.06736,1.06668,1.06724,3048.0,Interval.in_2_hour,57117600.0,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
42,2023-10-24 00:00:00,OANDA:EURUSD,1.06686,1.0672,1.06646,1.06679,1129.0,Interval.in_2_hour,57110400.0,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
43,2023-10-23 22:00:00,OANDA:EURUSD,1.06744,1.06749,1.06603,1.06686,4546.0,Interval.in_2_hour,57103200.0,short,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
44,2023-10-23 20:00:00,OANDA:EURUSD,1.06647,1.0678,1.06597,1.06744,7591.0,Interval.in_2_hour,57096000.0,short,short,short,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
45,2023-10-23 18:00:00,OANDA:EURUSD,1.06288,1.06648,1.06282,1.06647,9238.0,Interval.in_2_hour,57088800.0,long,long,long,long,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short
