,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
0,2023-10-27 12:07:00,OANDA:GBPAUD,1.91025,1.91028,1.91008,1.910215,20.0,Interval.in_1_minute,57413220.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,2023-10-27 12:06:00,OANDA:GBPAUD,1.9097,1.91028,1.9097,1.91025,97.0,Interval.in_1_minute,57413160.0,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,2023-10-27 12:05:00,OANDA:GBPAUD,1.90988,1.90995,1.9097,1.9097,46.0,Interval.in_1_minute,57413100.0,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,2023-10-27 12:04:00,OANDA:GBPAUD,1.91004,1.91008,1.9098,1.90988,63.0,Interval.in_1_minute,57413040.0,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2023-10-27 12:03:00,OANDA:GBPAUD,1.90996,1.91006,1.90982,1.91004,65.0,Interval.in_1_minute,57412980.0,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,2023-10-27 12:02:00,OANDA:GBPAUD,1.9099,1.9101,1.909875,1.90996,88.0,Interval.in_1_minute,57412920.0,long,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,2023-10-27 12:01:00,OANDA:GBPAUD,1.90964,1.90992,1.90962,1.9099,89.0,Interval.in_1_minute,57412860.0,long,long,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,2023-10-27 12:00:00,OANDA:GBPAUD,1.90982,1.90988,1.90956,1.90964,85.0,Interval.in_1_minute,57412800.0,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2023-10-27 11:59:00,OANDA:GBPAUD,1.90974,1.909925,1.909675,1.90982,90.0,Interval.in_1_minute,57412740.0,short,long,long,long,long,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2023-10-27 11:58:00,OANDA:GBPAUD,1.90994,1.90996,1.90968,1.90974,157.0,Interval.in_1_minute,57412680.0,long,short,long,long,long,long,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,2023-10-27 11:57:00,OANDA:GBPAUD,1.9099,1.91011,1.9099,1.90994,136.0,Interval.in_1_minute,57412620.0,short,short,short,short,long,long,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,2023-10-27 11:56:00,OANDA:GBPAUD,1.90964,1.91005,1.90948,1.9099,114.0,Interval.in_1_minute,57412560.0,long,short,short,short,long,long,long,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,2023-10-27 11:55:00,OANDA:GBPAUD,1.90936,1.909645,1.90936,1.90964,105.0,Interval.in_1_minute,57412500.0,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,2023-10-27 11:54:00,OANDA:GBPAUD,1.9093,1.90944,1.909255,1.90936,80.0,Interval.in_1_minute,57412440.0,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,2023-10-27 11:53:00,OANDA:GBPAUD,1.90918,1.90936,1.90917,1.9093,119.0,Interval.in_1_minute,57412380.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,2023-10-27 11:52:00,OANDA:GBPAUD,1.9094,1.9094,1.90915,1.90918,146.0,Interval.in_1_minute,57412320.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,2023-10-27 11:51:00,OANDA:GBPAUD,1.9093,1.90949,1.90918,1.9094,166.0,Interval.in_1_minute,57412260.0,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,2023-10-27 11:50:00,OANDA:GBPAUD,1.90924,1.90941,1.90922,1.9093,123.0,Interval.in_1_minute,57412200.0,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None
18,2023-10-27 11:49:00,OANDA:GBPAUD,1.90908,1.90934,1.909055,1.90924,189.0,Interval.in_1_minute,57412140.0,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None
19,2023-10-27 11:48:00,OANDA:GBPAUD,1.90876,1.9091,1.90875,1.90908,164.0,Interval.in_1_minute,57412080.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None
20,2023-10-27 11:47:00,OANDA:GBPAUD,1.90909,1.909205,1.90875,1.90876,216.0,Interval.in_1_minute,57412020.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None
21,2023-10-27 11:46:00,OANDA:GBPAUD,1.90844,1.9091,1.90842,1.90909,154.0,Interval.in_1_minute,57411960.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None
22,2023-10-27 11:45:00,OANDA:GBPAUD,1.90859,1.90859,1.9084,1.90844,71.0,Interval.in_1_minute,57411900.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None
23,2023-10-27 11:44:00,OANDA:GBPAUD,1.90844,1.90867,1.90842,1.90859,91.0,Interval.in_1_minute,57411840.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None
24,2023-10-27 11:43:00,OANDA:GBPAUD,1.9083,1.9085,1.90828,1.90844,82.0,Interval.in_1_minute,57411780.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None
25,2023-10-27 11:42:00,OANDA:GBPAUD,1.90832,1.90836,1.90808,1.9083,126.0,Interval.in_1_minute,57411720.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None
26,2023-10-27 11:41:00,OANDA:GBPAUD,1.90843,1.90852,1.908315,1.90832,134.0,Interval.in_1_minute,57411660.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None
27,2023-10-27 11:40:00,OANDA:GBPAUD,1.90817,1.908465,1.90807,1.90843,114.0,Interval.in_1_minute,57411600.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None
28,2023-10-27 11:39:00,OANDA:GBPAUD,1.9085,1.90852,1.90817,1.90817,148.0,Interval.in_1_minute,57411540.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None
29,2023-10-27 11:38:00,OANDA:GBPAUD,1.90832,1.90853,1.9083,1.9085,124.0,Interval.in_1_minute,57411480.0,short,short,short,short,short,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None
30,2023-10-27 11:37:00,OANDA:GBPAUD,1.90835,1.90849,1.90829,1.90832,127.0,Interval.in_1_minute,57411420.0,long,short,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
31,2023-10-27 11:36:00,OANDA:GBPAUD,1.90833,1.90846,1.90822,1.90835,127.0,Interval.in_1_minute,57411360.0,short,long,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
32,2023-10-27 11:35:00,OANDA:GBPAUD,1.9082,1.908525,1.90812,1.90833,131.0,Interval.in_1_minute,57411300.0,long,short,long,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
33,2023-10-27 11:34:00,OANDA:GBPAUD,1.90833,1.90833,1.90812,1.9082,98.0,Interval.in_1_minute,57411240.0,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
34,2023-10-27 11:33:00,OANDA:GBPAUD,1.90818,1.90838,1.908135,1.90833,134.0,Interval.in_1_minute,57411180.0,short,long,long,short,long,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
35,2023-10-27 11:32:00,OANDA:GBPAUD,1.90772,1.90818,1.907715,1.90818,66.0,Interval.in_1_minute,57411120.0,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
36,2023-10-27 11:31:00,OANDA:GBPAUD,1.90786,1.90786,1.90738,1.90772,113.0,Interval.in_1_minute,57411060.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
37,2023-10-27 11:30:00,OANDA:GBPAUD,1.9079,1.90806,1.907755,1.90786,76.0,Interval.in_1_minute,57411000.0,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
38,2023-10-27 11:29:00,OANDA:GBPAUD,1.90819,1.90819,1.9078,1.9079,97.0,Interval.in_1_minute,57410940.0,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
39,2023-10-27 11:28:00,OANDA:GBPAUD,1.90812,1.90828,1.90809,1.90819,61.0,Interval.in_1_minute,57410880.0,short,short,short,short,long,long,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
40,2023-10-27 11:27:00,OANDA:GBPAUD,1.90826,1.90855,1.90812,1.90812,95.0,Interval.in_1_minute,57410820.0,long,short,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
41,2023-10-27 11:26:00,OANDA:GBPAUD,1.90876,1.90879,1.90822,1.90826,68.0,Interval.in_1_minute,57410760.0,short,short,short,short,short,short,long,short,long,long,long,long,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long
42,2023-10-27 11:25:00,OANDA:GBPAUD,1.90873,1.90887,1.90868,1.90876,83.0,Interval.in_1_minute,57410700.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long,long
43,2023-10-27 11:24:00,OANDA:GBPAUD,1.90849,1.90873,1.90839,1.90873,120.0,Interval.in_1_minute,57410640.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long,long,long,long,long,long
44,2023-10-27 11:23:00,OANDA:GBPAUD,1.9084,1.9086,1.90836,1.90849,103.0,Interval.in_1_minute,57410580.0,long,long,short,short,short,short,short,short,short,short,short,short,short,short,long,short,short,short,short,short,long,short,long,long,long,long,long,long,long,long
45,2023-10-27 11:22:00,OANDA:GBPAUD,1.90893,1.90894,1.90826,1.9084,86.0,Interval.in_1_minute,57410520.0,long,long,long,short,short,short,short,short,short,short,short,short,short,short,short,long,short,long,short,short,long,long,long,long,long,long,long,long,long,long
46,2023-10-27 11:21:00,OANDA:GBPAUD,1.90891,1.90896,1.90873,1.90893,92.0,Interval.in_1_minute,57410460.0,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,long,long,long,long
47,2023-10-27 11:20:00,OANDA:GBPAUD,1.90874,1.90892,1.90866,1.90891,106.0,Interval.in_1_minute,57410400.0,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,short,long,long,long
48,2023-10-27 11:19:00,OANDA:GBPAUD,1.90874,1.90876,1.908595,1.90874,58.0,Interval.in_1_minute,57410340.0,long,long,short,short,short,long,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,short,long,long,long,long
