,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
0,2023-10-27 12:00:00,OANDA:GBPUSD,1.21282,1.2134049999999998,1.212615,1.2133850000000002,374.0,Interval.in_1_hour,57412800.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,2023-10-27 11:00:00,OANDA:GBPUSD,1.2119,1.21298,1.211175,1.21282,4293.0,Interval.in_1_hour,57409200.0,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,2023-10-27 10:00:00,OANDA:GBPUSD,1.21212,1.21262,1.21124,1.2119,5795.0,Interval.in_1_hour,57405600.0,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,2023-10-27 09:00:00,OANDA:GBPUSD,1.21362,1.2138,1.21146,1.21212,4177.0,Interval.in_1_hour,57402000.0,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2023-10-27 08:00:00,OANDA:GBPUSD,1.21378,1.21417,1.21339,1.21362,3068.0,Interval.in_1_hour,57398400.0,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,2023-10-27 07:00:00,OANDA:GBPUSD,1.21344,1.21388,1.21328,1.21378,1863.0,Interval.in_1_hour,57394800.0,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,2023-10-27 06:00:00,OANDA:GBPUSD,1.21368,1.21388,1.21302,1.21344,2001.0,Interval.in_1_hour,57391200.0,long,long,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,2023-10-27 05:00:00,OANDA:GBPUSD,1.21296,1.21394,1.21296,1.21368,2357.0,Interval.in_1_hour,57387600.0,short,long,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2023-10-27 04:00:00,OANDA:GBPUSD,1.21273,1.21332,1.21225,1.21296,3599.0,Interval.in_1_hour,57384000.0,long,long,long,long,short,short,short,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2023-10-27 03:00:00,OANDA:GBPUSD,1.21364,1.21374,1.21269,1.21273,3012.0,Interval.in_1_hour,57380400.0,long,long,long,long,long,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,2023-10-27 02:00:00,OANDA:GBPUSD,1.21343,1.21392,1.21334,1.21364,2291.0,Interval.in_1_hour,57376800.0,short,short,long,short,long,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,2023-10-27 01:00:00,OANDA:GBPUSD,1.21292,1.21352,1.2129,1.21343,759.0,Interval.in_1_hour,57373200.0,long,short,short,long,long,long,long,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,2023-10-27 00:00:00,OANDA:GBPUSD,1.21286,1.21332,1.21264,1.21292,387.0,Interval.in_1_hour,57369600.0,long,long,short,long,long,long,long,long,short,short,short,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,2023-10-26 23:00:00,OANDA:GBPUSD,1.21212,1.21295,1.2118,1.21286,1887.0,Interval.in_1_hour,57366000.0,long,long,long,short,long,long,long,long,long,short,short,short,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,2023-10-26 22:00:00,OANDA:GBPUSD,1.2135,1.21372,1.211975,1.21212,3706.0,Interval.in_1_hour,57362400.0,long,long,long,long,long,long,long,long,long,long,long,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,2023-10-26 21:00:00,OANDA:GBPUSD,1.21284,1.21396,1.21268,1.2135,4243.0,Interval.in_1_hour,57358800.0,short,short,short,short,long,short,short,long,short,long,long,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,2023-10-26 20:00:00,OANDA:GBPUSD,1.21046,1.21318,1.2104,1.21284,5505.0,Interval.in_1_hour,57355200.0,long,short,long,long,long,long,short,long,long,long,long,long,short,short,short,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,2023-10-26 19:00:00,OANDA:GBPUSD,1.2111,1.21132,1.2098,1.21046,5169.0,Interval.in_1_hour,57351600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None
