,datetime,symbol,open,high,low,close,volume,interval,datetime_sec,profit_in_bars_1,profit_in_bars_2,profit_in_bars_3,profit_in_bars_4,profit_in_bars_5,profit_in_bars_6,profit_in_bars_7,profit_in_bars_8,profit_in_bars_9,profit_in_bars_10,profit_in_bars_11,profit_in_bars_12,profit_in_bars_13,profit_in_bars_14,profit_in_bars_15,profit_in_bars_16,profit_in_bars_17,profit_in_bars_18,profit_in_bars_19,profit_in_bars_20,profit_in_bars_21,profit_in_bars_22,profit_in_bars_23,profit_in_bars_24,profit_in_bars_25,profit_in_bars_26,profit_in_bars_27,profit_in_bars_28,profit_in_bars_29,profit_in_bars_30
0,2023-10-27 12:00:00,OANDA:GBPUSD,1.21282,1.2134049999999998,1.212615,1.2134049999999998,374.0,Interval.in_45_minute,57412800.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1,2023-10-27 11:15:00,OANDA:GBPUSD,1.21146,1.21298,1.21132,1.21282,3045.0,Interval.in_45_minute,57410100.0,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
2,2023-10-27 10:30:00,OANDA:GBPUSD,1.21226,1.21238,1.21118,1.21146,3810.0,Interval.in_45_minute,57407400.0,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,2023-10-27 09:45:00,OANDA:GBPUSD,1.2117,1.21262,1.21124,1.21226,4465.0,Interval.in_45_minute,57404700.0,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
4,2023-10-27 09:00:00,OANDA:GBPUSD,1.21362,1.2138,1.211695,1.2117,2945.0,Interval.in_45_minute,57402000.0,long,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
5,2023-10-27 08:15:00,OANDA:GBPUSD,1.21378,1.21417,1.21339,1.21362,2210.0,Interval.in_45_minute,57399300.0,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
6,2023-10-27 07:30:00,OANDA:GBPUSD,1.2136,1.21408,1.21348,1.21378,1977.0,Interval.in_45_minute,57396600.0,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
7,2023-10-27 06:45:00,OANDA:GBPUSD,1.21315,1.21374,1.21312,1.2136,1103.0,Interval.in_45_minute,57393900.0,long,long,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
8,2023-10-27 06:00:00,OANDA:GBPUSD,1.21368,1.21388,1.21302,1.21315,1642.0,Interval.in_45_minute,57391200.0,long,long,long,short,short,short,short,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
9,2023-10-27 05:15:00,OANDA:GBPUSD,1.21305,1.21394,1.21305,1.21368,1637.0,Interval.in_45_minute,57388500.0,short,short,long,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
10,2023-10-27 04:30:00,OANDA:GBPUSD,1.21243,1.21335,1.21225,1.21305,2533.0,Interval.in_45_minute,57385800.0,long,long,long,long,long,short,short,short,short,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
11,2023-10-27 03:45:00,OANDA:GBPUSD,1.21298,1.21328,1.21228,1.21243,2619.0,Interval.in_45_minute,57383100.0,long,long,long,long,long,long,short,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
12,2023-10-27 03:00:00,OANDA:GBPUSD,1.21364,1.21374,1.21288,1.21298,2179.0,Interval.in_45_minute,57380400.0,short,long,long,long,long,long,long,short,short,short,short,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
13,2023-10-27 02:15:00,OANDA:GBPUSD,1.2137,1.21392,1.21347,1.21364,1780.0,Interval.in_45_minute,57377700.0,short,short,short,long,short,short,long,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
14,2023-10-27 01:30:00,OANDA:GBPUSD,1.21342,1.21373,1.2133,1.2137,778.0,Interval.in_45_minute,57375000.0,short,short,short,short,short,short,short,long,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
15,2023-10-27 00:45:00,OANDA:GBPUSD,1.21283,1.21342,1.21271,1.21342,572.0,Interval.in_45_minute,57372300.0,long,long,short,short,short,long,short,long,long,long,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
16,2023-10-27 00:00:00,OANDA:GBPUSD,1.21286,1.21332,1.21264,1.21283,307.0,Interval.in_45_minute,57369600.0,long,long,long,long,short,long,long,long,long,long,long,short,short,short,short,long,None,None,None,None,None,None,None,None,None,None,None,None,None,None
17,2023-10-26 23:15:00,OANDA:GBPUSD,1.21242,1.21295,1.21232,1.21286,986.0,Interval.in_45_minute,57366900.0,short,long,long,long,long,short,long,long,long,long,long,long,short,short,short,short,long,None,None,None,None,None,None,None,None,None,None,None,None,None
18,2023-10-26 22:30:00,OANDA:GBPUSD,1.21284,1.21284,1.2118,1.21242,2815.0,Interval.in_45_minute,57364200.0,long,long,long,long,long,long,long,long,long,long,long,long,long,short,short,short,long,long,None,None,None,None,None,None,None,None,None,None,None,None
19,2023-10-26 21:45:00,OANDA:GBPUSD,1.21364,1.21377,1.21282,1.21284,2849.0,Interval.in_45_minute,57361500.0,short,long,short,long,long,long,long,short,long,long,long,long,long,long,short,short,short,short,long,None,None,None,None,None,None,None,None,None,None,None
20,2023-10-26 21:00:00,OANDA:GBPUSD,1.21284,1.21396,1.21268,1.21364,3186.0,Interval.in_45_minute,57358800.0,short,short,short,short,short,long,long,short,short,short,long,short,short,long,short,short,short,short,short,short,None,None,None,None,None,None,None,None,None,None
21,2023-10-26 20:15:00,OANDA:GBPUSD,1.2116,1.21318,1.2116,1.21284,3887.0,Interval.in_45_minute,57356100.0,long,long,short,long,short,long,long,long,long,short,long,long,long,long,long,long,short,short,short,short,long,None,None,None,None,None,None,None,None,None
22,2023-10-26 19:30:00,OANDA:GBPUSD,1.21104,1.21183,1.21004,1.2116,4087.0,Interval.in_45_minute,57353400.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,short,long,long,None,None,None,None,None,None,None,None
23,2023-10-26 18:45:00,OANDA:GBPUSD,1.21104,1.21202,1.2098,1.21104,4163.0,Interval.in_45_minute,57350700.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None,None
24,2023-10-26 18:00:00,OANDA:GBPUSD,1.21272,1.21322,1.21048,1.21104,4796.0,Interval.in_45_minute,57348000.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None,None,None
25,2023-10-26 17:15:00,OANDA:GBPUSD,1.21062,1.21292,1.21039,1.21272,6186.0,Interval.in_45_minute,57345300.0,short,short,short,long,long,long,short,long,long,long,long,long,long,short,long,long,long,long,long,long,short,short,short,long,long,None,None,None,None,None
26,2023-10-26 16:30:00,OANDA:GBPUSD,1.21134,1.21338,1.210595,1.21062,7495.0,Interval.in_45_minute,57342600.0,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None,None
27,2023-10-26 15:45:00,OANDA:GBPUSD,1.21065,1.21267,1.21007,1.21134,7790.0,Interval.in_45_minute,57339900.0,short,long,short,short,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,long,None,None,None
