,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,False,False,False,False,False,False,True,False,False,False,2023-10-09 19:20:00,neutral,neutral,short,,long
1,True,True,False,True,True,False,True,False,True,True,2023-10-09 19:10:00,neutral,neutral,short,,long
2,False,True,True,False,True,False,False,True,False,True,2023-10-09 19:05:00,neutral,neutral,short,,long
3,True,True,True,True,False,True,True,False,True,False,2023-10-09 19:00:00,neutral,short,short,,long
4,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:55:00,neutral,neutral,long,,long
5,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:50:00,neutral,neutral,long,,short
6,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:45:00,neutral,neutral,long,,short
7,True,True,False,False,False,False,False,False,False,False,2023-10-09 18:40:00,neutral,neutral,long,,short
8,False,True,True,False,False,False,False,False,False,False,2023-10-09 18:35:00,neutral,long,long,,short
9,True,True,True,True,True,False,False,False,False,False,2023-10-09 18:30:00,neutral,long,long,,short
10,True,True,True,True,True,True,False,True,False,True,2023-10-09 18:25:00,neutral,long,long,,short
11,True,True,True,True,True,True,True,True,True,True,2023-10-09 18:20:00,neutral,long,long,,short
12,True,True,True,True,True,True,True,True,True,True,2023-10-09 18:15:00,neutral,neutral,long,,long
13,True,True,True,True,True,True,True,True,True,True,2023-10-09 18:10:00,neutral,neutral,short,,long
14,True,True,True,True,True,True,True,True,True,True,2023-10-09 18:05:00,neutral,neutral,short,,long
15,False,True,True,True,True,True,True,True,True,True,2023-10-09 18:00:00,neutral,neutral,short,,long
16,True,False,True,True,True,True,True,True,True,True,2023-10-09 17:55:00,neutral,neutral,short,,long
17,False,True,False,True,True,True,True,True,True,True,2023-10-09 17:50:00,neutral,neutral,short,,short
18,True,False,True,False,True,True,True,True,True,True,2023-10-09 17:45:00,neutral,neutral,long,,short
19,False,False,False,False,False,False,True,True,True,True,2023-10-09 17:40:00,neutral,neutral,long,,short
20,False,False,False,False,False,False,False,True,True,True,2023-10-09 17:35:00,neutral,neutral,long,,short
21,True,True,False,True,False,True,False,True,True,True,2023-10-09 17:30:00,neutral,neutral,long,,short
22,False,True,True,False,False,False,False,False,False,True,2023-10-09 17:25:00,neutral,neutral,long,,long
23,False,False,True,True,False,False,False,False,False,False,2023-10-09 17:20:00,neutral,neutral,short,,long
24,True,True,True,True,True,True,True,True,True,True,2023-10-09 17:15:00,neutral,neutral,short,,long
25,False,True,True,True,True,True,True,True,True,True,2023-10-09 17:10:00,neutral,neutral,short,,long
26,True,True,True,True,True,True,True,True,True,True,2023-10-09 17:05:00,neutral,neutral,short,,long
27,True,True,True,True,True,True,True,True,True,True,2023-10-09 17:00:00,neutral,neutral,short,,short
28,False,False,False,False,True,True,False,True,True,False,2023-10-09 16:55:00,neutral,neutral,long,,short
29,False,False,False,False,False,False,False,False,False,False,2023-10-09 16:50:00,neutral,neutral,long,,short
30,True,False,False,False,False,False,False,False,False,False,2023-10-09 16:45:00,neutral,neutral,long,,short
31,False,True,False,False,False,False,False,False,False,False,2023-10-09 16:40:00,neutral,long,long,,short
32,True,True,True,False,False,False,False,False,True,False,2023-10-09 16:35:00,neutral,neutral,long,,short
33,True,True,True,True,True,False,False,True,True,True,2023-10-09 16:30:00,neutral,neutral,short,,short
