,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,True,True,True,False,False,False,False,False,False,2023-10-09 19:20:00,neutral,neutral,long,,short
1,True,True,True,True,True,True,True,True,False,False,2023-10-09 19:10:00,neutral,neutral,short,,short
2,False,False,False,True,True,True,True,False,False,False,2023-10-09 19:05:00,short,neutral,short,,long
3,True,False,False,True,True,True,True,True,True,False,2023-10-09 19:00:00,neutral,neutral,short,,long
4,True,True,True,True,True,True,True,True,True,True,2023-10-09 18:55:00,neutral,short,short,,long
5,False,False,True,False,False,True,True,True,True,True,2023-10-09 18:50:00,neutral,short,short,,long
6,False,False,False,False,False,False,False,True,True,False,2023-10-09 18:45:00,neutral,neutral,short,,long
7,False,False,False,False,False,False,False,False,True,False,2023-10-09 18:40:00,neutral,neutral,short,,long
8,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:35:00,neutral,neutral,short,,long
9,True,False,False,False,False,False,False,False,False,False,2023-10-09 18:30:00,neutral,neutral,short,,long
10,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:25:00,neutral,neutral,short,,long
11,True,False,False,False,False,False,False,False,False,False,2023-10-09 18:20:00,neutral,short,long,,short
12,False,True,False,False,False,False,False,False,False,False,2023-10-09 18:15:00,neutral,neutral,long,,short
13,False,False,True,False,False,False,False,False,False,False,2023-10-09 18:10:00,neutral,neutral,long,,short
14,False,False,False,False,False,False,False,False,False,False,2023-10-09 18:05:00,neutral,neutral,long,,short
15,True,False,False,False,False,False,False,False,False,False,2023-10-09 18:00:00,neutral,neutral,long,,short
16,False,True,False,False,False,False,False,False,False,False,2023-10-09 17:55:00,short,neutral,long,,short
17,True,True,True,True,True,True,True,True,True,False,2023-10-09 17:50:00,neutral,neutral,short,,short
18,False,True,True,True,True,True,True,True,True,True,2023-10-09 17:45:00,neutral,neutral,short,,short
19,True,True,True,True,True,True,True,True,True,True,2023-10-09 17:40:00,neutral,neutral,short,,long
20,True,True,True,True,True,True,True,True,True,True,2023-10-09 17:35:00,neutral,short,short,,long
21,False,True,True,True,True,True,True,True,True,True,2023-10-09 17:30:00,neutral,short,short,,long
22,False,False,False,True,True,True,True,True,True,True,2023-10-09 17:25:00,neutral,neutral,short,,long
23,False,False,False,False,False,False,True,True,True,True,2023-10-09 17:20:00,short,neutral,short,,long
24,False,False,False,False,False,False,False,True,True,True,2023-10-09 17:15:00,neutral,neutral,short,,long
25,True,True,False,False,False,False,False,False,True,True,2023-10-09 17:10:00,neutral,short,short,,long
26,False,False,False,False,False,False,False,False,False,True,2023-10-09 17:05:00,short,neutral,short,,long
27,False,False,False,False,False,False,False,False,False,False,2023-10-09 17:00:00,neutral,neutral,long,,short
28,False,False,False,False,False,False,False,False,False,False,2023-10-09 16:55:00,neutral,long,long,,short
29,True,False,False,False,False,False,False,False,False,False,2023-10-09 16:50:00,neutral,long,long,,long
30,True,True,False,False,False,False,False,False,False,False,2023-10-09 16:45:00,neutral,neutral,long,,long
31,True,True,True,True,False,False,False,False,False,False,2023-10-09 16:40:00,short,neutral,short,,long
32,True,True,True,True,True,False,False,False,False,False,2023-10-09 16:35:00,neutral,neutral,long,,long
33,False,False,True,True,True,False,False,False,False,False,2023-10-09 16:30:00,neutral,long,long,,long
34,True,False,False,True,True,True,False,False,False,False,2023-10-09 16:25:00,neutral,neutral,long,,long
35,True,True,False,False,True,True,True,False,False,False,2023-10-09 16:20:00,neutral,neutral,long,,long
36,True,True,True,False,False,True,True,True,False,False,2023-10-09 16:15:00,neutral,neutral,long,,short
37,False,False,True,True,False,False,True,True,True,False,2023-10-09 16:10:00,neutral,neutral,long,,short
38,True,True,True,True,True,False,False,True,True,True,2023-10-09 16:05:00,neutral,neutral,long,,short
39,False,False,False,False,False,True,False,False,True,True,2023-10-09 16:00:00,short,neutral,long,,short
40,True,True,True,True,True,True,True,True,True,True,2023-10-09 15:55:00,neutral,neutral,long,,short
41,False,True,True,True,True,True,True,True,True,True,2023-10-09 15:50:00,neutral,neutral,long,,short
42,False,False,True,False,True,True,True,True,True,False,2023-10-09 15:45:00,neutral,neutral,long,,short
43,True,True,False,True,True,True,True,True,True,True,2023-10-09 15:40:00,short,neutral,long,,short
44,False,True,False,False,True,True,True,True,True,True,2023-10-09 15:35:00,neutral,neutral,long,,short
45,False,False,True,False,False,True,True,True,True,True,2023-10-09 15:30:00,short,neutral,short,,short
46,True,True,True,True,True,True,True,True,True,True,2023-10-09 15:25:00,neutral,neutral,short,,short
47,False,True,True,True,True,True,False,True,True,True,2023-10-09 15:20:00,short,neutral,short,,long
48,True,False,True,True,True,True,True,True,True,True,2023-10-09 15:15:00,neutral,neutral,short,,long
49,True,True,False,True,True,True,True,True,True,True,2023-10-09 15:10:00,neutral,neutral,short,,long
50,False,False,False,False,False,False,False,True,False,False,2023-10-09 15:05:00,neutral,neutral,short,,long
51,False,False,False,False,False,False,False,False,False,False,2023-10-09 15:00:00,short,neutral,short,,long
52,True,False,False,False,False,False,False,False,False,False,2023-10-09 14:55:00,neutral,short,short,,long
53,False,True,False,False,False,False,False,False,False,False,2023-10-09 14:50:00,neutral,short,short,,long
54,False,False,False,False,False,False,False,False,False,False,2023-10-09 14:45:00,neutral,short,long,,long
55,False,False,False,False,False,False,False,False,False,False,2023-10-09 14:40:00,neutral,neutral,long,,long
56,False,False,False,False,False,False,False,False,False,False,2023-10-09 14:35:00,neutral,neutral,long,,long
57,False,False,False,False,False,False,False,False,False,False,2023-10-09 14:30:00,neutral,long,long,,long
58,True,False,False,False,False,False,False,False,False,False,2023-10-09 14:25:00,neutral,neutral,long,,long
59,True,True,True,True,False,False,False,False,False,False,2023-10-09 14:20:00,short,neutral,short,,long
60,True,True,True,True,True,False,False,False,False,False,2023-10-09 14:15:00,neutral,neutral,long,,short
61,False,False,True,True,True,False,False,False,False,False,2023-10-09 14:10:00,neutral,neutral,long,,short
62,True,False,False,True,True,True,True,False,False,False,2023-10-09 14:05:00,neutral,neutral,long,,short
63,False,True,False,False,True,True,True,True,False,False,2023-10-09 14:00:00,neutral,long,long,,short
64,True,True,True,False,False,True,True,True,True,False,2023-10-09 13:55:00,neutral,long,long,,short
65,True,True,True,True,False,True,True,True,True,True,2023-10-09 13:50:00,neutral,neutral,long,,short
66,True,True,True,True,True,True,True,True,True,True,2023-10-09 13:45:00,neutral,neutral,long,,short
67,True,True,True,True,True,True,True,True,True,True,2023-10-09 13:40:00,neutral,neutral,long,,short
68,False,True,True,True,True,True,True,True,True,True,2023-10-09 13:35:00,neutral,long,short,,short
69,True,True,True,True,True,True,True,True,True,True,2023-10-09 13:30:00,neutral,long,short,,short
70,True,True,True,True,True,True,True,True,True,True,2023-10-09 13:25:00,short,neutral,short,,short
71,True,True,True,True,True,True,True,True,True,True,2023-10-09 13:20:00,neutral,neutral,short,,short
72,True,True,True,True,True,True,True,True,True,True,2023-10-09 13:15:00,neutral,short,short,,short
73,False,False,False,False,False,False,True,True,True,True,2023-10-09 13:10:00,neutral,short,short,,short
74,False,False,False,False,False,False,False,False,True,True,2023-10-09 13:05:00,neutral,neutral,short,,short
75,False,False,False,False,False,False,False,False,False,True,2023-10-09 13:00:00,neutral,neutral,short,,long
76,False,False,False,False,False,False,False,False,False,False,2023-10-09 12:55:00,neutral,neutral,short,,long
77,True,True,True,False,False,False,False,False,False,False,2023-10-09 12:50:00,neutral,neutral,short,,long
78,True,True,True,True,False,False,False,False,False,False,2023-10-09 12:45:00,neutral,short,short,,long
79,False,False,True,False,False,False,False,False,False,False,2023-10-09 12:40:00,neutral,neutral,short,,long
80,False,False,False,False,False,False,False,False,False,False,2023-10-09 12:35:00,neutral,neutral,short,,long
81,False,False,False,False,False,False,False,False,False,False,2023-10-09 12:30:00,neutral,neutral,short,,long
82,True,False,False,False,False,False,False,False,False,False,2023-10-09 12:25:00,neutral,neutral,short,,long
83,False,False,False,False,False,False,False,False,False,False,2023-10-09 12:20:00,neutral,neutral,long,,long
84,False,False,False,False,False,False,False,False,False,False,2023-10-09 12:15:00,neutral,neutral,long,,long
85,True,False,False,False,False,False,False,False,False,False,2023-10-09 12:10:00,neutral,neutral,long,,long
86,True,True,True,False,False,False,False,False,False,False,2023-10-09 12:05:00,neutral,neutral,long,,short
87,False,True,True,False,False,False,False,False,False,False,2023-10-09 12:00:00,neutral,neutral,long,,short
88,False,False,False,True,False,False,False,False,False,False,2023-10-09 11:55:00,neutral,neutral,long,,short
89,True,True,True,True,True,True,True,True,False,False,2023-10-09 11:50:00,neutral,neutral,long,,short
90,False,True,True,True,True,True,True,True,True,False,2023-10-09 11:45:00,neutral,neutral,long,,short
91,True,True,True,True,True,True,True,True,True,True,2023-10-09 11:40:00,neutral,neutral,long,,short
92,True,True,True,True,True,True,True,True,True,True,2023-10-09 11:35:00,neutral,neutral,long,,short
93,False,True,True,True,True,True,True,True,True,True,2023-10-09 11:30:00,neutral,long,long,,short
94,True,True,True,True,True,True,True,True,True,True,2023-10-09 11:25:00,neutral,neutral,long,,short
95,True,True,True,True,True,True,True,True,True,True,2023-10-09 11:20:00,neutral,neutral,short,,short
96,True,True,True,True,True,True,True,True,True,True,2023-10-09 11:15:00,neutral,neutral,short,,short
97,False,True,True,True,True,True,True,True,True,True,2023-10-09 11:10:00,short,neutral,short,,long
98,False,False,True,True,True,True,True,True,True,True,2023-10-09 11:05:00,neutral,neutral,short,,long
99,True,False,False,True,True,True,True,True,True,True,2023-10-09 11:00:00,neutral,neutral,short,,long
100,False,False,False,False,False,True,True,True,True,True,2023-10-09 10:55:00,neutral,neutral,short,,long
101,False,False,False,False,False,False,False,True,True,True,2023-10-09 10:50:00,short,neutral,short,,long
102,True,False,False,False,False,False,False,True,True,True,2023-10-09 10:45:00,neutral,short,short,,long
103,False,False,False,False,False,False,False,False,False,True,2023-10-09 10:40:00,neutral,short,short,,long
104,False,False,False,False,False,False,False,False,False,False,2023-10-09 10:35:00,neutral,short,short,,long
105,False,False,False,False,False,False,False,False,False,False,2023-10-09 10:30:00,neutral,neutral,short,,long
106,False,False,False,False,False,False,False,False,False,False,2023-10-09 10:25:00,neutral,neutral,short,,long
107,False,False,False,False,False,False,False,False,False,False,2023-10-09 10:20:00,neutral,neutral,long,,short
108,True,True,True,False,False,False,False,False,False,False,2023-10-09 10:15:00,neutral,neutral,long,,short
109,True,True,True,True,False,False,False,False,False,False,2023-10-09 10:10:00,short,neutral,long,,short
110,False,False,True,True,False,False,False,False,False,False,2023-10-09 10:05:00,neutral,neutral,long,,short
111,False,False,False,False,False,False,False,False,False,False,2023-10-09 10:00:00,neutral,long,long,,short
112,True,False,False,False,True,True,False,False,False,False,2023-10-09 09:55:00,short,long,long,,short
113,True,True,True,True,True,True,True,True,False,False,2023-10-09 09:50:00,neutral,long,short,,short
114,True,True,True,True,True,True,True,True,True,True,2023-10-09 09:45:00,short,long,short,,short
115,True,True,True,True,True,True,True,True,True,True,2023-10-09 09:40:00,neutral,neutral,short,,long
116,True,True,True,True,True,True,True,True,True,True,2023-10-09 09:35:00,neutral,neutral,short,,long
117,True,True,True,True,True,True,True,True,True,True,2023-10-09 09:30:00,neutral,short,short,,long
118,False,False,False,True,True,True,True,True,True,True,2023-10-09 09:25:00,neutral,short,short,,long
119,False,False,False,False,False,False,True,True,True,False,2023-10-09 09:20:00,neutral,short,short,,long
120,False,False,False,False,False,False,False,False,True,False,2023-10-09 09:15:00,neutral,neutral,short,,long
121,False,False,False,False,False,False,False,False,False,False,2023-10-09 09:10:00,neutral,neutral,short,,long
122,False,False,False,False,False,False,False,False,False,False,2023-10-09 09:05:00,neutral,neutral,short,,long
123,True,True,False,False,False,False,False,False,False,False,2023-10-09 09:00:00,short,short,short,,long
124,False,False,False,False,False,False,False,False,False,False,2023-10-09 08:55:00,neutral,neutral,short,,long
125,False,False,False,False,False,False,False,False,False,False,2023-10-09 08:50:00,neutral,neutral,short,,long
126,False,False,False,False,False,False,False,False,False,False,2023-10-09 08:45:00,neutral,neutral,short,,long
127,True,False,False,False,False,False,False,False,False,False,2023-10-09 08:40:00,neutral,neutral,short,,long
128,False,False,False,False,False,False,False,False,False,False,2023-10-09 08:35:00,neutral,neutral,short,,long
129,False,False,False,False,False,False,False,False,False,False,2023-10-09 08:30:00,neutral,neutral,short,,long
130,True,False,False,False,False,False,False,False,False,False,2023-10-09 08:25:00,neutral,neutral,long,,short
131,False,False,False,False,False,False,False,False,False,False,2023-10-09 08:20:00,neutral,neutral,long,,short
132,True,False,False,False,False,False,False,False,False,False,2023-10-09 08:15:00,neutral,neutral,long,,short
133,False,False,False,False,False,False,False,False,False,False,2023-10-09 08:10:00,neutral,long,long,,short
134,True,False,True,False,False,False,False,False,False,False,2023-10-09 08:05:00,neutral,long,long,,short
135,True,True,True,True,True,True,False,False,False,False,2023-10-09 08:00:00,neutral,neutral,short,,short
136,True,True,True,True,True,True,True,True,False,False,2023-10-09 07:55:00,neutral,neutral,short,,short
137,True,True,True,True,True,True,True,True,True,False,2023-10-09 07:50:00,neutral,neutral,long,,short
138,False,False,True,True,True,True,True,True,True,True,2023-10-09 07:45:00,neutral,neutral,long,,short
139,False,False,False,True,True,True,True,True,True,True,2023-10-09 07:40:00,neutral,long,long,,short
140,True,False,False,False,True,True,True,True,True,True,2023-10-09 07:35:00,neutral,neutral,long,,long
141,True,True,False,False,False,True,True,True,True,True,2023-10-09 07:30:00,neutral,neutral,short,,long
142,True,True,True,True,True,True,True,True,True,True,2023-10-09 07:25:00,neutral,neutral,short,,long
143,False,True,True,True,True,False,True,True,True,True,2023-10-09 07:20:00,neutral,neutral,short,,long
144,False,False,True,True,True,True,False,True,True,True,2023-10-09 07:15:00,neutral,neutral,short,,long
145,True,False,False,True,True,True,True,False,True,True,2023-10-09 07:10:00,short,neutral,short,,short
146,False,False,False,False,False,False,False,False,False,False,2023-10-09 07:05:00,neutral,neutral,long,,short
147,True,False,False,False,False,False,False,True,False,False,2023-10-09 07:00:00,neutral,neutral,long,,short
148,False,False,False,False,False,False,False,False,False,False,2023-10-09 06:55:00,neutral,long,long,,short
149,True,False,False,False,False,False,False,False,False,False,2023-10-09 06:50:00,neutral,long,long,,short
150,True,True,False,False,False,False,False,False,False,False,2023-10-09 06:45:00,neutral,neutral,short,,long
151,True,True,True,False,True,False,False,False,False,False,2023-10-09 06:40:00,neutral,neutral,short,,long
152,True,True,True,True,True,True,False,False,False,False,2023-10-09 06:35:00,neutral,neutral,short,,long
153,False,False,True,True,True,False,True,False,False,False,2023-10-09 06:30:00,neutral,neutral,short,,long
154,True,False,True,True,True,True,True,True,False,False,2023-10-09 06:25:00,neutral,short,short,,long
155,False,False,False,False,False,False,True,False,False,False,2023-10-09 06:20:00,neutral,neutral,short,,long
156,False,False,False,False,False,False,False,True,False,False,2023-10-09 06:15:00,neutral,neutral,short,,long
