,is_profit_after_bars_1,is_profit_after_bars_2,is_profit_after_bars_3,is_profit_after_bars_4,is_profit_after_bars_5,is_profit_after_bars_6,is_profit_after_bars_7,is_profit_after_bars_8,is_profit_after_bars_9,is_profit_after_bars_10,datetime,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,True,True,True,True,True,True,True,True,True,True,2023-10-09 14:30:00,neutral,neutral,short,,short
1,True,False,True,True,True,True,True,True,True,True,2023-10-09 13:30:00,short,neutral,short,,short
2,False,True,False,True,True,True,True,True,True,True,2023-10-09 13:00:00,neutral,neutral,long,,short
3,False,False,False,False,False,False,True,True,True,True,2023-10-09 12:30:00,neutral,long,long,,short
4,True,False,False,False,False,False,False,True,True,True,2023-10-09 12:00:00,short,long,short,,long
5,True,True,False,False,False,False,False,True,True,True,2023-10-09 11:30:00,neutral,neutral,short,,long
6,True,True,True,False,False,False,False,True,True,True,2023-10-09 11:00:00,short,neutral,short,,long
7,True,True,True,True,True,True,True,False,True,True,2023-10-09 10:30:00,neutral,neutral,short,,long
8,False,False,False,True,True,False,False,False,False,False,2023-10-09 10:00:00,neutral,neutral,short,,short
9,True,False,False,False,True,True,False,False,False,False,2023-10-09 09:30:00,neutral,neutral,short,,short
10,False,False,False,False,False,False,False,False,False,False,2023-10-09 09:00:00,neutral,long,long,,short
11,True,False,False,False,False,False,False,False,False,False,2023-10-09 08:30:00,short,neutral,short,,long
12,True,True,False,False,False,False,False,False,False,False,2023-10-09 08:00:00,neutral,neutral,short,,long
13,True,True,True,False,False,False,False,False,False,False,2023-10-09 07:30:00,neutral,short,short,,long
14,False,False,True,True,False,False,False,False,False,False,2023-10-09 07:00:00,neutral,short,short,,long
15,False,False,False,True,True,False,False,False,False,False,2023-10-09 06:30:00,neutral,short,short,,long
16,False,False,False,False,False,True,False,False,False,False,2023-10-09 06:00:00,neutral,neutral,short,,long
17,False,False,False,False,False,False,False,False,False,False,2023-10-09 05:30:00,neutral,neutral,short,,short
18,False,False,False,False,False,False,False,False,False,False,2023-10-09 05:00:00,neutral,neutral,short,,short
19,True,False,False,False,False,False,False,False,False,False,2023-10-09 04:30:00,neutral,neutral,long,,short
20,False,False,False,False,False,False,False,False,False,False,2023-10-09 04:00:00,neutral,neutral,long,,short
21,False,False,False,False,False,False,False,False,False,False,2023-10-09 03:30:00,neutral,neutral,long,,short
22,True,False,False,False,False,False,False,False,False,False,2023-10-09 03:00:00,neutral,neutral,long,,short
23,False,True,False,False,False,False,False,False,False,False,2023-10-09 02:30:00,neutral,long,short,,short
24,True,True,True,False,False,False,False,False,False,False,2023-10-09 02:00:00,neutral,long,short,,long
