,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 16:00:00,0.86324,short,short,short,long,long,neutral,Interval.in_2_hour,AUDCAD
1,2023-10-16 12:00:00,0.86184,long,long,short,long,long,neutral,Interval.in_2_hour,AUDCAD
2,2023-10-16 10:00:00,0.86331,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDCAD
3,2023-10-16 08:00:00,0.86291,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDCAD
4,2023-10-16 06:00:00,0.86258,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDCAD
5,2023-10-16 04:00:00,0.8623,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDCAD
6,2023-10-16 02:00:00,0.86046,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCAD
7,2023-10-16 00:00:00,0.86041,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCAD
8,2023-10-13 22:00:00,0.8598,neutral,long,short,long,short,neutral,Interval.in_2_hour,AUDCAD
9,2023-10-13 20:00:00,0.86023,short,short,short,long,short,neutral,Interval.in_2_hour,AUDCAD
10,2023-10-13 18:00:00,0.85938,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCAD
11,2023-10-13 16:00:00,0.85986,long,long,short,long,short,neutral,Interval.in_2_hour,AUDCAD
12,2023-10-13 14:00:00,0.8642,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCAD
13,2023-10-13 12:00:00,0.86335,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCAD
14,2023-10-13 10:00:00,0.86415,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCAD
15,2023-10-13 08:00:00,0.86426,short,short,short,long,long,neutral,Interval.in_2_hour,AUDCAD
16,2023-10-13 06:00:00,0.86454,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCAD
17,2023-10-13 04:00:00,0.86552,neutral,short,short,long,short,neutral,Interval.in_2_hour,AUDCAD
18,2023-10-13 02:00:00,0.8649,short,short,short,long,short,neutral,Interval.in_2_hour,AUDCAD
19,2023-10-13 00:00:00,0.86434,short,short,short,long,short,neutral,Interval.in_2_hour,AUDCAD
20,2023-10-12 22:00:00,0.86437,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCAD
21,2023-10-12 20:00:00,0.86408,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCAD
22,2023-10-12 18:00:00,0.86491,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCAD
23,2023-10-12 16:00:00,0.86595,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCAD
24,2023-10-12 14:00:00,0.86818,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCAD
25,2023-10-12 12:00:00,0.87082,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCAD
26,2023-10-12 10:00:00,0.87172,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCAD
27,2023-10-12 08:00:00,0.87238,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCAD
28,2023-10-12 06:00:00,0.8726,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCAD
29,2023-10-12 04:00:00,0.87192,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCAD
30,2023-10-12 02:00:00,0.87192,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCAD
31,2023-10-12 00:00:00,0.87214,neutral,neutral,short,long,short,long,Interval.in_2_hour,AUDCAD
32,2023-10-11 22:00:00,0.87187,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCAD
33,2023-10-11 20:00:00,0.87134,long,long,short,long,short,neutral,Interval.in_2_hour,AUDCAD
34,2023-10-11 18:00:00,0.87129,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCAD
35,2023-10-11 16:00:00,0.87183,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCAD
36,2023-10-11 14:00:00,0.87262,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCAD
37,2023-10-11 12:00:00,0.87278,long,long,short,long,short,neutral,Interval.in_2_hour,AUDCAD
38,2023-10-11 10:00:00,0.87316,neutral,short,short,long,short,neutral,Interval.in_2_hour,AUDCAD
39,2023-10-11 08:00:00,0.87237,neutral,long,short,long,short,short,Interval.in_2_hour,AUDCAD
40,2023-10-11 06:00:00,0.87255,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCAD
41,2023-10-11 04:00:00,0.87315,long,long,short,long,long,neutral,Interval.in_2_hour,AUDCAD
42,2023-10-11 02:00:00,0.87439,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCAD
