,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 18:00:00,0.86312,neutral,neutral,short,short,long,neutral,Interval.in_5_minute,AUDCAD
1,2023-10-16 17:50:00,0.86272,neutral,neutral,short,short,long,long,Interval.in_5_minute,AUDCAD
2,2023-10-16 17:45:00,0.86256,neutral,short,short,short,long,long,Interval.in_5_minute,AUDCAD
3,2023-10-16 17:40:00,0.86204,neutral,neutral,short,short,long,neutral,Interval.in_5_minute,AUDCAD
4,2023-10-16 17:35:00,0.86168,neutral,neutral,short,short,long,neutral,Interval.in_5_minute,AUDCAD
5,2023-10-16 17:30:00,0.86147,neutral,neutral,short,short,long,neutral,Interval.in_5_minute,AUDCAD
6,2023-10-16 17:25:00,0.86154,neutral,neutral,short,short,long,long,Interval.in_5_minute,AUDCAD
7,2023-10-16 17:20:00,0.86139,neutral,short,short,long,long,long,Interval.in_5_minute,AUDCAD
8,2023-10-16 17:15:00,0.86086,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
9,2023-10-16 17:10:00,0.86048,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
10,2023-10-16 17:05:00,0.86035,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
11,2023-10-16 17:00:00,0.86054,short,short,short,long,short,neutral,Interval.in_5_minute,AUDCAD
12,2023-10-16 16:55:00,0.8607,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
13,2023-10-16 16:50:00,0.86063,neutral,neutral,short,long,short,short,Interval.in_5_minute,AUDCAD
14,2023-10-16 16:45:00,0.86088,neutral,neutral,short,long,short,short,Interval.in_5_minute,AUDCAD
15,2023-10-16 16:40:00,0.86118,short,short,short,long,short,neutral,Interval.in_5_minute,AUDCAD
16,2023-10-16 16:35:00,0.86134,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
17,2023-10-16 16:30:00,0.86181,short,short,short,long,short,neutral,Interval.in_5_minute,AUDCAD
18,2023-10-16 16:25:00,0.86164,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
19,2023-10-16 16:20:00,0.8618,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
20,2023-10-16 16:15:00,0.86203,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
21,2023-10-16 16:10:00,0.86186,short,short,short,long,short,neutral,Interval.in_5_minute,AUDCAD
22,2023-10-16 16:05:00,0.86182,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
23,2023-10-16 16:00:00,0.86206,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
24,2023-10-16 15:55:00,0.86185,neutral,neutral,short,long,long,neutral,Interval.in_5_minute,AUDCAD
25,2023-10-16 15:50:00,0.86204,neutral,neutral,short,long,long,neutral,Interval.in_5_minute,AUDCAD
26,2023-10-16 15:45:00,0.86212,short,short,short,long,long,neutral,Interval.in_5_minute,AUDCAD
27,2023-10-16 15:40:00,0.86182,neutral,neutral,short,long,long,neutral,Interval.in_5_minute,AUDCAD
28,2023-10-16 15:35:00,0.86222,neutral,long,short,long,long,neutral,Interval.in_5_minute,AUDCAD
29,2023-10-16 15:30:00,0.86201,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
30,2023-10-16 15:25:00,0.86182,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
31,2023-10-16 15:20:00,0.86198,short,short,short,long,short,neutral,Interval.in_5_minute,AUDCAD
32,2023-10-16 15:15:00,0.86178,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
33,2023-10-16 15:10:00,0.86178,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
34,2023-10-16 15:05:00,0.86198,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
35,2023-10-16 15:00:00,0.86238,neutral,neutral,short,long,long,neutral,Interval.in_5_minute,AUDCAD
36,2023-10-16 14:55:00,0.8623,neutral,neutral,short,long,long,neutral,Interval.in_5_minute,AUDCAD
37,2023-10-16 14:50:00,0.86228,neutral,neutral,short,long,long,neutral,Interval.in_5_minute,AUDCAD
38,2023-10-16 14:45:00,0.86236,neutral,neutral,short,long,long,neutral,Interval.in_5_minute,AUDCAD
39,2023-10-16 14:40:00,0.86242,neutral,long,short,long,long,neutral,Interval.in_5_minute,AUDCAD
40,2023-10-16 14:35:00,0.86232,short,short,short,long,long,neutral,Interval.in_5_minute,AUDCAD
41,2023-10-16 14:30:00,0.86194,neutral,long,short,long,long,neutral,Interval.in_5_minute,AUDCAD
42,2023-10-16 14:25:00,0.86204,neutral,neutral,short,long,long,long,Interval.in_5_minute,AUDCAD
43,2023-10-16 14:20:00,0.86199,short,short,short,long,short,neutral,Interval.in_5_minute,AUDCAD
44,2023-10-16 14:15:00,0.86168,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
45,2023-10-16 14:10:00,0.8616,neutral,neutral,short,long,short,short,Interval.in_5_minute,AUDCAD
46,2023-10-16 14:05:00,0.86164,neutral,neutral,short,long,short,short,Interval.in_5_minute,AUDCAD
47,2023-10-16 14:00:00,0.86177,neutral,neutral,short,long,short,short,Interval.in_5_minute,AUDCAD
48,2023-10-16 13:55:00,0.86184,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
49,2023-10-16 13:50:00,0.86216,neutral,long,short,short,short,neutral,Interval.in_5_minute,AUDCAD
50,2023-10-16 13:45:00,0.86235,neutral,short,short,short,short,neutral,Interval.in_5_minute,AUDCAD
51,2023-10-16 13:40:00,0.86222,neutral,neutral,short,long,short,short,Interval.in_5_minute,AUDCAD
52,2023-10-16 13:35:00,0.86226,neutral,neutral,short,long,short,short,Interval.in_5_minute,AUDCAD
53,2023-10-16 13:30:00,0.86248,neutral,neutral,short,short,short,short,Interval.in_5_minute,AUDCAD
54,2023-10-16 13:25:00,0.86255,neutral,long,short,short,long,neutral,Interval.in_5_minute,AUDCAD
55,2023-10-16 13:20:00,0.86292,neutral,neutral,short,short,long,neutral,Interval.in_5_minute,AUDCAD
56,2023-10-16 13:15:00,0.86295,neutral,short,short,short,short,long,Interval.in_5_minute,AUDCAD
57,2023-10-16 13:10:00,0.8626,neutral,neutral,short,short,short,neutral,Interval.in_5_minute,AUDCAD
58,2023-10-16 13:05:00,0.86258,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
59,2023-10-16 13:00:00,0.86257,neutral,neutral,short,long,short,short,Interval.in_5_minute,AUDCAD
60,2023-10-16 12:55:00,0.86261,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
61,2023-10-16 12:50:00,0.86279,neutral,short,short,long,long,neutral,Interval.in_5_minute,AUDCAD
62,2023-10-16 12:45:00,0.86282,neutral,neutral,short,long,long,neutral,Interval.in_5_minute,AUDCAD
63,2023-10-16 12:40:00,0.86272,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
64,2023-10-16 12:35:00,0.86304,neutral,neutral,short,long,short,long,Interval.in_5_minute,AUDCAD
65,2023-10-16 12:30:00,0.86296,neutral,long,short,long,short,neutral,Interval.in_5_minute,AUDCAD
66,2023-10-16 12:25:00,0.8629,neutral,short,short,long,short,neutral,Interval.in_5_minute,AUDCAD
67,2023-10-16 12:20:00,0.86266,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
68,2023-10-16 12:15:00,0.86274,neutral,neutral,short,long,short,neutral,Interval.in_5_minute,AUDCAD
69,2023-10-16 12:10:00,0.86308,neutral,neutral,short,short,short,neutral,Interval.in_5_minute,AUDCAD
70,2023-10-16 12:05:00,0.86308,neutral,neutral,short,short,short,neutral,Interval.in_5_minute,AUDCAD
71,2023-10-16 12:00:00,0.86304,neutral,neutral,short,long,short,short,Interval.in_5_minute,AUDCAD
72,2023-10-16 11:55:00,0.86331,neutral,neutral,short,short,short,short,Interval.in_5_minute,AUDCAD
73,2023-10-16 11:50:00,0.86355,neutral,neutral,short,short,long,neutral,Interval.in_5_minute,AUDCAD
74,2023-10-16 11:45:00,0.8637,neutral,neutral,short,short,long,neutral,Interval.in_5_minute,AUDCAD
75,2023-10-16 11:40:00,0.86374,neutral,neutral,short,short,long,neutral,Interval.in_5_minute,AUDCAD
76,2023-10-16 11:35:00,0.86369,neutral,neutral,short,short,long,neutral,Interval.in_5_minute,AUDCAD
77,2023-10-16 11:30:00,0.86384,neutral,neutral,short,short,long,neutral,Interval.in_5_minute,AUDCAD
78,2023-10-16 11:25:00,0.86367,neutral,neutral,short,short,long,neutral,Interval.in_5_minute,AUDCAD
79,2023-10-16 11:20:00,0.86338,long,long,short,short,long,neutral,Interval.in_5_minute,AUDCAD
80,2023-10-16 11:15:00,0.86344,neutral,short,short,short,long,neutral,Interval.in_5_minute,AUDCAD
81,2023-10-16 11:10:00,0.86324,long,long,short,short,long,neutral,Interval.in_5_minute,AUDCAD
82,2023-10-16 11:05:00,0.86339,neutral,neutral,short,short,long,long,Interval.in_5_minute,AUDCAD
