,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 16:00:00,0.57079,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCHF
1,2023-10-16 12:00:00,0.57059,long,long,short,long,long,neutral,Interval.in_2_hour,AUDCHF
2,2023-10-16 10:00:00,0.57116,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDCHF
3,2023-10-16 08:00:00,0.57092,long,long,short,long,long,long,Interval.in_2_hour,AUDCHF
4,2023-10-16 06:00:00,0.57001,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCHF
5,2023-10-16 04:00:00,0.56992,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCHF
6,2023-10-16 02:00:00,0.56876,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
7,2023-10-16 00:00:00,0.56909,neutral,neutral,short,long,short,long,Interval.in_2_hour,AUDCHF
8,2023-10-13 22:00:00,0.56812,short,short,short,long,short,neutral,Interval.in_2_hour,AUDCHF
9,2023-10-13 20:00:00,0.56776,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
10,2023-10-13 18:00:00,0.56726,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
11,2023-10-13 16:00:00,0.5696,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
12,2023-10-13 14:00:00,0.57268,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
13,2023-10-13 12:00:00,0.57309,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
14,2023-10-13 10:00:00,0.57312,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
15,2023-10-13 08:00:00,0.5734,short,short,short,long,short,neutral,Interval.in_2_hour,AUDCHF
16,2023-10-13 06:00:00,0.57262,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
17,2023-10-13 04:00:00,0.57373,short,short,short,long,short,neutral,Interval.in_2_hour,AUDCHF
18,2023-10-13 02:00:00,0.57354,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
19,2023-10-13 00:00:00,0.57346,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
20,2023-10-12 22:00:00,0.57358,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
21,2023-10-12 20:00:00,0.57348,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
22,2023-10-12 18:00:00,0.57394,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
23,2023-10-12 16:00:00,0.57464,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
24,2023-10-12 14:00:00,0.57628,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
25,2023-10-12 12:00:00,0.57658,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
26,2023-10-12 10:00:00,0.57721,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,AUDCHF
27,2023-10-12 08:00:00,0.57782,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,AUDCHF
28,2023-10-12 06:00:00,0.5784,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,AUDCHF
29,2023-10-12 04:00:00,0.5778,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
30,2023-10-12 02:00:00,0.57828,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
31,2023-10-12 00:00:00,0.57865,neutral,neutral,short,long,short,long,Interval.in_2_hour,AUDCHF
32,2023-10-11 22:00:00,0.57849,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
33,2023-10-11 20:00:00,0.57837,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
34,2023-10-11 18:00:00,0.57808,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
35,2023-10-11 16:00:00,0.57892,neutral,neutral,short,short,short,short,Interval.in_2_hour,AUDCHF
36,2023-10-11 14:00:00,0.57927,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
37,2023-10-11 12:00:00,0.57946,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
38,2023-10-11 10:00:00,0.57984,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDCHF
39,2023-10-11 08:00:00,0.58047,short,short,short,long,short,short,Interval.in_2_hour,AUDCHF
40,2023-10-11 06:00:00,0.58098,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
41,2023-10-11 04:00:00,0.581,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCHF
42,2023-10-11 02:00:00,0.58219,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCHF
43,2023-10-11 00:00:00,0.58164,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCHF
44,2023-10-10 22:00:00,0.5819,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDCHF
45,2023-10-10 20:00:00,0.58129,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDCHF
46,2023-10-10 18:00:00,0.58101,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDCHF
47,2023-10-10 16:00:00,0.58076,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
48,2023-10-10 14:00:00,0.58038,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
49,2023-10-10 12:00:00,0.5798,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
50,2023-10-10 10:00:00,0.58048,short,short,short,long,short,neutral,Interval.in_2_hour,AUDCHF
51,2023-10-10 08:00:00,0.58014,long,long,short,long,short,neutral,Interval.in_2_hour,AUDCHF
52,2023-10-10 06:00:00,0.58088,neutral,short,short,long,long,neutral,Interval.in_2_hour,AUDCHF
53,2023-10-10 04:00:00,0.5804,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDCHF
54,2023-10-10 02:00:00,0.58106,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDCHF
55,2023-10-10 00:00:00,0.58077,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDCHF
56,2023-10-09 22:00:00,0.58128,neutral,neutral,short,short,long,long,Interval.in_2_hour,AUDCHF
57,2023-10-09 20:00:00,0.58068,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDCHF
58,2023-10-09 18:00:00,0.57916,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCHF
59,2023-10-09 16:00:00,0.57858,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCHF
60,2023-10-09 14:00:00,0.57857,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
61,2023-10-09 12:00:00,0.57872,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDCHF
62,2023-10-09 10:00:00,0.5791,short,short,short,long,short,neutral,Interval.in_2_hour,AUDCHF
63,2023-10-09 08:00:00,0.5783,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
64,2023-10-09 06:00:00,0.57797,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
65,2023-10-09 04:00:00,0.57882,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
66,2023-10-09 02:00:00,0.57938,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
67,2023-10-09 00:00:00,0.5781,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDCHF
68,2023-10-06 22:00:00,0.58102,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDCHF
69,2023-10-06 20:00:00,0.58156,neutral,neutral,short,short,short,long,Interval.in_2_hour,AUDCHF
70,2023-10-06 18:00:00,0.58062,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,AUDCHF
71,2023-10-06 16:00:00,0.58021,short,short,short,short,short,neutral,Interval.in_2_hour,AUDCHF
72,2023-10-06 14:00:00,0.57989,neutral,neutral,short,short,short,short,Interval.in_2_hour,AUDCHF
73,2023-10-06 12:00:00,0.58034,neutral,neutral,short,short,short,short,Interval.in_2_hour,AUDCHF
74,2023-10-06 10:00:00,0.58103,neutral,neutral,short,short,short,short,Interval.in_2_hour,AUDCHF
75,2023-10-06 08:00:00,0.58136,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDCHF
76,2023-10-06 06:00:00,0.58171,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDCHF
77,2023-10-06 04:00:00,0.58246,neutral,neutral,short,short,long,long,Interval.in_2_hour,AUDCHF
78,2023-10-06 02:00:00,0.58156,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDCHF
79,2023-10-06 00:00:00,0.5813,neutral,long,short,short,long,neutral,Interval.in_2_hour,AUDCHF
