,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 17:30:00,0.57079,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,AUDCHF
1,2023-10-16 16:30:00,0.57048,neutral,neutral,short,short,short,neutral,Interval.in_30_minute,AUDCHF
2,2023-10-16 16:00:00,0.57052,neutral,short,short,short,short,neutral,Interval.in_30_minute,AUDCHF
3,2023-10-16 15:30:00,0.57048,neutral,neutral,short,short,short,neutral,Interval.in_30_minute,AUDCHF
4,2023-10-16 15:00:00,0.56994,neutral,neutral,short,short,short,neutral,Interval.in_30_minute,AUDCHF
5,2023-10-16 14:30:00,0.57085,neutral,neutral,short,short,short,neutral,Interval.in_30_minute,AUDCHF
6,2023-10-16 14:00:00,0.57076,neutral,short,short,short,short,neutral,Interval.in_30_minute,AUDCHF
7,2023-10-16 13:30:00,0.57059,long,long,short,short,short,neutral,Interval.in_30_minute,AUDCHF
8,2023-10-16 13:00:00,0.57112,neutral,neutral,short,short,short,neutral,Interval.in_30_minute,AUDCHF
9,2023-10-16 12:30:00,0.57087,neutral,neutral,short,short,long,short,Interval.in_30_minute,AUDCHF
10,2023-10-16 12:00:00,0.57098,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,AUDCHF
11,2023-10-16 11:30:00,0.57116,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,AUDCHF
12,2023-10-16 11:00:00,0.57188,long,long,short,short,long,neutral,Interval.in_30_minute,AUDCHF
13,2023-10-16 10:30:00,0.5715,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,AUDCHF
14,2023-10-16 10:00:00,0.57091,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,AUDCHF
15,2023-10-16 09:30:00,0.57092,neutral,neutral,short,short,long,long,Interval.in_30_minute,AUDCHF
16,2023-10-16 09:00:00,0.57062,neutral,neutral,short,short,long,long,Interval.in_30_minute,AUDCHF
17,2023-10-16 08:30:00,0.57021,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,AUDCHF
18,2023-10-16 08:00:00,0.57021,neutral,neutral,short,short,short,neutral,Interval.in_30_minute,AUDCHF
19,2023-10-16 07:30:00,0.57001,neutral,neutral,short,short,short,neutral,Interval.in_30_minute,AUDCHF
20,2023-10-16 07:00:00,0.5701,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,AUDCHF
21,2023-10-16 06:30:00,0.57011,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,AUDCHF
22,2023-10-16 06:00:00,0.56982,long,long,short,short,long,neutral,Interval.in_30_minute,AUDCHF
23,2023-10-16 05:30:00,0.56992,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,AUDCHF
24,2023-10-16 05:00:00,0.57046,neutral,neutral,short,short,long,long,Interval.in_30_minute,AUDCHF
25,2023-10-16 04:30:00,0.56971,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,AUDCHF
26,2023-10-16 04:00:00,0.5697,short,short,short,short,long,neutral,Interval.in_30_minute,AUDCHF
27,2023-10-16 03:30:00,0.56876,neutral,long,short,short,long,neutral,Interval.in_30_minute,AUDCHF
28,2023-10-16 03:00:00,0.56902,long,long,short,short,long,neutral,Interval.in_30_minute,AUDCHF
29,2023-10-16 02:30:00,0.56956,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,AUDCHF
30,2023-10-16 02:00:00,0.56948,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,AUDCHF
31,2023-10-16 01:30:00,0.56909,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,AUDCHF
32,2023-10-16 01:00:00,0.56916,neutral,neutral,short,long,long,long,Interval.in_30_minute,AUDCHF
33,2023-10-16 00:30:00,0.56861,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,AUDCHF
