,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 16:00:00,94.755,long,long,short,long,long,neutral,Interval.in_2_hour,AUDJPY
1,2023-10-16 12:00:00,94.505,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDJPY
2,2023-10-16 10:00:00,94.582,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDJPY
3,2023-10-16 08:00:00,94.608,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDJPY
4,2023-10-16 06:00:00,94.486,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDJPY
5,2023-10-16 04:00:00,94.45,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDJPY
6,2023-10-16 02:00:00,94.229,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDJPY
7,2023-10-16 00:00:00,94.316,neutral,neutral,short,long,short,long,Interval.in_2_hour,AUDJPY
8,2023-10-13 22:00:00,94.162,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDJPY
9,2023-10-13 20:00:00,94.154,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDJPY
10,2023-10-13 18:00:00,94.14,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDJPY
11,2023-10-13 16:00:00,94.216,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDJPY
12,2023-10-13 14:00:00,94.596,short,short,short,long,short,neutral,Interval.in_2_hour,AUDJPY
13,2023-10-13 12:00:00,94.408,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDJPY
14,2023-10-13 10:00:00,94.64,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDJPY
15,2023-10-13 08:00:00,94.586,short,short,short,long,short,neutral,Interval.in_2_hour,AUDJPY
16,2023-10-13 06:00:00,94.526,long,long,short,long,short,neutral,Interval.in_2_hour,AUDJPY
17,2023-10-13 04:00:00,94.768,short,short,short,long,short,neutral,Interval.in_2_hour,AUDJPY
18,2023-10-13 02:00:00,94.666,short,short,short,long,short,neutral,Interval.in_2_hour,AUDJPY
19,2023-10-13 00:00:00,94.588,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDJPY
20,2023-10-12 22:00:00,94.591,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDJPY
21,2023-10-12 20:00:00,94.553,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDJPY
22,2023-10-12 18:00:00,94.749,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDJPY
23,2023-10-12 16:00:00,94.953,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDJPY
24,2023-10-12 14:00:00,95.402,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDJPY
25,2023-10-12 12:00:00,95.525,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDJPY
