,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 18:06:00,94.77,neutral,neutral,short,short,long,neutral,Interval.in_3_minute,AUDJPY
1,2023-10-16 18:00:00,94.746,long,long,short,short,long,neutral,Interval.in_3_minute,AUDJPY
2,2023-10-16 17:57:00,94.755,neutral,neutral,short,short,long,neutral,Interval.in_3_minute,AUDJPY
3,2023-10-16 17:54:00,94.73,neutral,neutral,short,short,long,neutral,Interval.in_3_minute,AUDJPY
4,2023-10-16 17:51:00,94.738,long,long,short,short,long,neutral,Interval.in_3_minute,AUDJPY
5,2023-10-16 17:48:00,94.726,neutral,neutral,short,short,long,neutral,Interval.in_3_minute,AUDJPY
6,2023-10-16 17:45:00,94.751,neutral,neutral,short,short,long,long,Interval.in_3_minute,AUDJPY
7,2023-10-16 17:42:00,94.702,neutral,neutral,short,short,long,long,Interval.in_3_minute,AUDJPY
8,2023-10-16 17:39:00,94.697,neutral,neutral,short,short,long,neutral,Interval.in_3_minute,AUDJPY
9,2023-10-16 17:36:00,94.672,short,short,short,short,long,neutral,Interval.in_3_minute,AUDJPY
10,2023-10-16 17:33:00,94.648,long,long,short,short,long,neutral,Interval.in_3_minute,AUDJPY
11,2023-10-16 17:30:00,94.703,neutral,neutral,short,short,long,long,Interval.in_3_minute,AUDJPY
12,2023-10-16 17:27:00,94.67,neutral,neutral,short,short,long,neutral,Interval.in_3_minute,AUDJPY
13,2023-10-16 17:24:00,94.647,neutral,neutral,short,short,long,neutral,Interval.in_3_minute,AUDJPY
14,2023-10-16 17:21:00,94.645,neutral,neutral,short,short,long,neutral,Interval.in_3_minute,AUDJPY
15,2023-10-16 17:18:00,94.652,neutral,neutral,short,short,long,long,Interval.in_3_minute,AUDJPY
16,2023-10-16 17:15:00,94.646,neutral,neutral,short,short,long,long,Interval.in_3_minute,AUDJPY
17,2023-10-16 17:12:00,94.634,neutral,neutral,short,short,long,neutral,Interval.in_3_minute,AUDJPY
18,2023-10-16 17:09:00,94.592,short,short,short,short,short,neutral,Interval.in_3_minute,AUDJPY
19,2023-10-16 17:06:00,94.54,neutral,neutral,short,short,short,neutral,Interval.in_3_minute,AUDJPY
20,2023-10-16 17:03:00,94.558,neutral,neutral,short,short,short,neutral,Interval.in_3_minute,AUDJPY
21,2023-10-16 17:00:00,94.6,neutral,neutral,short,short,long,neutral,Interval.in_3_minute,AUDJPY
22,2023-10-16 16:57:00,94.596,neutral,long,short,short,long,neutral,Interval.in_3_minute,AUDJPY
23,2023-10-16 16:54:00,94.594,long,long,short,short,long,neutral,Interval.in_3_minute,AUDJPY
24,2023-10-16 16:51:00,94.64,neutral,neutral,short,short,long,long,Interval.in_3_minute,AUDJPY
25,2023-10-16 16:48:00,94.615,neutral,neutral,short,long,long,long,Interval.in_3_minute,AUDJPY
