,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 18:08:00,0.63358,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
1,2023-10-16 18:06:00,0.63342,long,long,short,short,long,neutral,Interval.in_1_minute,AUDUSD
2,2023-10-16 18:05:00,0.63345,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
3,2023-10-16 18:04:00,0.6335,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
4,2023-10-16 18:03:00,0.6333,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
5,2023-10-16 18:02:00,0.63338,neutral,neutral,short,short,long,long,Interval.in_1_minute,AUDUSD
6,2023-10-16 18:01:00,0.6333,neutral,neutral,short,short,long,long,Interval.in_1_minute,AUDUSD
7,2023-10-16 18:00:00,0.6333,neutral,neutral,short,short,long,long,Interval.in_1_minute,AUDUSD
8,2023-10-16 17:59:00,0.63321,long,long,short,short,long,long,Interval.in_1_minute,AUDUSD
9,2023-10-16 17:58:00,0.6332,neutral,neutral,short,short,long,long,Interval.in_1_minute,AUDUSD
10,2023-10-16 17:57:00,0.63316,neutral,neutral,short,short,long,long,Interval.in_1_minute,AUDUSD
11,2023-10-16 17:56:00,0.63298,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
12,2023-10-16 17:55:00,0.63294,neutral,short,short,short,short,neutral,Interval.in_1_minute,AUDUSD
13,2023-10-16 17:54:00,0.63284,long,long,short,short,short,neutral,Interval.in_1_minute,AUDUSD
14,2023-10-16 17:53:00,0.63296,neutral,neutral,short,short,short,long,Interval.in_1_minute,AUDUSD
15,2023-10-16 17:52:00,0.63293,neutral,short,short,short,short,neutral,Interval.in_1_minute,AUDUSD
16,2023-10-16 17:51:00,0.6329,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
17,2023-10-16 17:50:00,0.63286,long,long,short,short,long,neutral,Interval.in_1_minute,AUDUSD
18,2023-10-16 17:49:00,0.633,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
19,2023-10-16 17:48:00,0.633,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
20,2023-10-16 17:47:00,0.63306,neutral,neutral,short,short,long,long,Interval.in_1_minute,AUDUSD
21,2023-10-16 17:46:00,0.63292,neutral,short,short,short,long,long,Interval.in_1_minute,AUDUSD
22,2023-10-16 17:45:00,0.6327,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
23,2023-10-16 17:44:00,0.63262,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
24,2023-10-16 17:43:00,0.63244,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
25,2023-10-16 17:42:00,0.63254,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
26,2023-10-16 17:41:00,0.63264,neutral,long,short,short,long,neutral,Interval.in_1_minute,AUDUSD
27,2023-10-16 17:40:00,0.63244,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
28,2023-10-16 17:39:00,0.6323,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
29,2023-10-16 17:38:00,0.63242,neutral,long,short,short,short,neutral,Interval.in_1_minute,AUDUSD
30,2023-10-16 17:37:00,0.63244,neutral,neutral,short,short,short,long,Interval.in_1_minute,AUDUSD
31,2023-10-16 17:36:00,0.63234,neutral,short,short,short,short,neutral,Interval.in_1_minute,AUDUSD
32,2023-10-16 17:35:00,0.6323,neutral,neutral,short,short,short,neutral,Interval.in_1_minute,AUDUSD
33,2023-10-16 17:34:00,0.63226,neutral,neutral,short,short,neutral,neutral,Interval.in_1_minute,AUDUSD
34,2023-10-16 17:33:00,0.63242,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
35,2023-10-16 17:32:00,0.6327,neutral,short,short,short,long,long,Interval.in_1_minute,AUDUSD
36,2023-10-16 17:31:00,0.63244,neutral,neutral,short,long,long,long,Interval.in_1_minute,AUDUSD
37,2023-10-16 17:30:00,0.63242,neutral,short,short,long,long,long,Interval.in_1_minute,AUDUSD
38,2023-10-16 17:29:00,0.63234,neutral,neutral,short,long,long,long,Interval.in_1_minute,AUDUSD
39,2023-10-16 17:28:00,0.63234,neutral,neutral,short,long,long,long,Interval.in_1_minute,AUDUSD
40,2023-10-16 17:27:00,0.63226,neutral,neutral,short,long,short,neutral,Interval.in_1_minute,AUDUSD
41,2023-10-16 17:26:00,0.63214,neutral,neutral,short,long,short,neutral,Interval.in_1_minute,AUDUSD
42,2023-10-16 17:25:00,0.6321,neutral,neutral,short,long,short,neutral,Interval.in_1_minute,AUDUSD
43,2023-10-16 17:24:00,0.63224,neutral,neutral,short,long,long,neutral,Interval.in_1_minute,AUDUSD
44,2023-10-16 17:23:00,0.63224,neutral,neutral,short,short,long,neutral,Interval.in_1_minute,AUDUSD
45,2023-10-16 17:22:00,0.6323,neutral,neutral,short,short,long,long,Interval.in_1_minute,AUDUSD
46,2023-10-16 17:21:00,0.63226,neutral,neutral,short,short,long,long,Interval.in_1_minute,AUDUSD
