,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 16:00:00,0.63321,long,long,short,long,long,neutral,Interval.in_2_hour,AUDUSD
1,2023-10-16 12:00:00,0.6319,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDUSD
2,2023-10-16 10:00:00,0.63268,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDUSD
3,2023-10-16 08:00:00,0.63253,neutral,neutral,short,long,long,long,Interval.in_2_hour,AUDUSD
4,2023-10-16 06:00:00,0.63226,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDUSD
5,2023-10-16 04:00:00,0.632,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDUSD
6,2023-10-16 02:00:00,0.6303,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
7,2023-10-16 00:00:00,0.63052,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
8,2023-10-13 22:00:00,0.62956,neutral,long,short,long,short,neutral,Interval.in_2_hour,AUDUSD
9,2023-10-13 20:00:00,0.6298,short,short,short,long,short,neutral,Interval.in_2_hour,AUDUSD
10,2023-10-13 18:00:00,0.62941,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
11,2023-10-13 16:00:00,0.62952,neutral,long,short,long,short,neutral,Interval.in_2_hour,AUDUSD
12,2023-10-13 14:00:00,0.6326,short,short,short,long,short,neutral,Interval.in_2_hour,AUDUSD
13,2023-10-13 12:00:00,0.63096,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
14,2023-10-13 10:00:00,0.6322,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDUSD
15,2023-10-13 08:00:00,0.63162,short,short,short,long,long,neutral,Interval.in_2_hour,AUDUSD
16,2023-10-13 06:00:00,0.63167,neutral,long,short,long,long,neutral,Interval.in_2_hour,AUDUSD
17,2023-10-13 04:00:00,0.63264,neutral,short,short,long,short,long,Interval.in_2_hour,AUDUSD
18,2023-10-13 02:00:00,0.63214,short,short,short,long,short,long,Interval.in_2_hour,AUDUSD
19,2023-10-13 00:00:00,0.63155,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
20,2023-10-12 22:00:00,0.63136,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
21,2023-10-12 20:00:00,0.63112,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDUSD
22,2023-10-12 18:00:00,0.63277,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDUSD
23,2023-10-12 16:00:00,0.63414,neutral,neutral,short,long,short,short,Interval.in_2_hour,AUDUSD
24,2023-10-12 14:00:00,0.63837,neutral,long,short,long,short,short,Interval.in_2_hour,AUDUSD
25,2023-10-12 12:00:00,0.64041,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
26,2023-10-12 10:00:00,0.64134,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDUSD
27,2023-10-12 08:00:00,0.64246,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDUSD
28,2023-10-12 06:00:00,0.64228,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDUSD
29,2023-10-12 04:00:00,0.64135,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDUSD
30,2023-10-12 02:00:00,0.64174,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
31,2023-10-12 00:00:00,0.64176,neutral,neutral,short,long,short,long,Interval.in_2_hour,AUDUSD
32,2023-10-11 22:00:00,0.64136,neutral,short,short,long,short,neutral,Interval.in_2_hour,AUDUSD
33,2023-10-11 20:00:00,0.6406,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
34,2023-10-11 18:00:00,0.64035,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
35,2023-10-11 16:00:00,0.64156,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
36,2023-10-11 14:00:00,0.64221,long,long,short,long,short,neutral,Interval.in_2_hour,AUDUSD
37,2023-10-11 12:00:00,0.64175,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
38,2023-10-11 10:00:00,0.64227,neutral,short,short,long,short,neutral,Interval.in_2_hour,AUDUSD
39,2023-10-11 08:00:00,0.64188,neutral,long,short,long,short,short,Interval.in_2_hour,AUDUSD
40,2023-10-11 06:00:00,0.64201,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,AUDUSD
41,2023-10-11 04:00:00,0.64261,long,long,short,long,long,neutral,Interval.in_2_hour,AUDUSD
42,2023-10-11 02:00:00,0.64386,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,AUDUSD
43,2023-10-11 00:00:00,0.64306,long,long,short,long,long,neutral,Interval.in_2_hour,AUDUSD
44,2023-10-10 22:00:00,0.64318,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDUSD
45,2023-10-10 20:00:00,0.64236,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDUSD
46,2023-10-10 18:00:00,0.64274,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDUSD
47,2023-10-10 16:00:00,0.64126,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,AUDUSD
48,2023-10-10 14:00:00,0.63998,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,AUDUSD
49,2023-10-10 12:00:00,0.64052,long,long,short,short,short,neutral,Interval.in_2_hour,AUDUSD
50,2023-10-10 10:00:00,0.64203,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDUSD
51,2023-10-10 08:00:00,0.64036,neutral,neutral,short,short,short,short,Interval.in_2_hour,AUDUSD
52,2023-10-10 06:00:00,0.64098,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDUSD
53,2023-10-10 04:00:00,0.64117,long,long,short,short,long,neutral,Interval.in_2_hour,AUDUSD
54,2023-10-10 02:00:00,0.64174,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDUSD
55,2023-10-10 00:00:00,0.64103,long,long,short,short,long,neutral,Interval.in_2_hour,AUDUSD
56,2023-10-09 22:00:00,0.64118,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,AUDUSD
