,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 17:45:00,1.4382,neutral,neutral,short,short,long,long,Interval.in_15_minute,EURCAD
1,2023-10-16 17:15:00,1.43599,short,short,short,long,short,neutral,Interval.in_15_minute,EURCAD
2,2023-10-16 17:00:00,1.43377,neutral,neutral,short,long,short,short,Interval.in_15_minute,EURCAD
3,2023-10-16 16:45:00,1.43436,neutral,neutral,short,long,short,neutral,Interval.in_15_minute,EURCAD
4,2023-10-16 16:30:00,1.43561,neutral,neutral,short,short,long,neutral,Interval.in_15_minute,EURCAD
5,2023-10-16 16:15:00,1.43612,neutral,neutral,short,short,long,neutral,Interval.in_15_minute,EURCAD
6,2023-10-16 16:00:00,1.43534,neutral,neutral,short,short,short,neutral,Interval.in_15_minute,EURCAD
7,2023-10-16 15:45:00,1.43518,neutral,neutral,short,long,short,neutral,Interval.in_15_minute,EURCAD
8,2023-10-16 15:30:00,1.43535,neutral,neutral,short,long,short,neutral,Interval.in_15_minute,EURCAD
9,2023-10-16 15:15:00,1.43504,neutral,neutral,short,long,short,neutral,Interval.in_15_minute,EURCAD
10,2023-10-16 15:00:00,1.43546,neutral,neutral,short,short,short,neutral,Interval.in_15_minute,EURCAD
11,2023-10-16 14:45:00,1.43578,neutral,neutral,short,short,short,neutral,Interval.in_15_minute,EURCAD
12,2023-10-16 14:30:00,1.43572,neutral,neutral,short,short,short,short,Interval.in_15_minute,EURCAD
13,2023-10-16 14:15:00,1.43574,neutral,neutral,short,long,short,short,Interval.in_15_minute,EURCAD
14,2023-10-16 14:00:00,1.43582,neutral,neutral,short,long,short,neutral,Interval.in_15_minute,EURCAD
15,2023-10-16 13:45:00,1.43647,neutral,neutral,short,short,short,neutral,Interval.in_15_minute,EURCAD
16,2023-10-16 13:30:00,1.4366,neutral,neutral,short,short,short,neutral,Interval.in_15_minute,EURCAD
17,2023-10-16 13:15:00,1.43626,short,short,short,short,short,short,Interval.in_15_minute,EURCAD
18,2023-10-16 13:00:00,1.43662,neutral,neutral,short,short,short,short,Interval.in_15_minute,EURCAD
19,2023-10-16 12:45:00,1.43665,neutral,neutral,short,short,short,short,Interval.in_15_minute,EURCAD
20,2023-10-16 12:30:00,1.43768,neutral,neutral,short,short,long,short,Interval.in_15_minute,EURCAD
