,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 17:00:00,1.4382,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURCAD
1,2023-10-16 15:00:00,1.43518,neutral,neutral,short,long,short,short,Interval.in_1_hour,EURCAD
2,2023-10-16 14:00:00,1.43578,neutral,neutral,short,long,short,short,Interval.in_1_hour,EURCAD
3,2023-10-16 13:00:00,1.43647,short,short,short,long,short,neutral,Interval.in_1_hour,EURCAD
4,2023-10-16 12:00:00,1.43665,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURCAD
5,2023-10-16 11:00:00,1.43835,neutral,neutral,short,long,long,long,Interval.in_1_hour,EURCAD
6,2023-10-16 10:00:00,1.43748,neutral,neutral,short,long,long,long,Interval.in_1_hour,EURCAD
7,2023-10-16 09:00:00,1.43729,neutral,neutral,short,long,long,long,Interval.in_1_hour,EURCAD
8,2023-10-16 08:00:00,1.43723,neutral,neutral,short,long,long,long,Interval.in_1_hour,EURCAD
9,2023-10-16 07:00:00,1.43602,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURCAD
10,2023-10-16 06:00:00,1.43559,short,short,short,long,short,neutral,Interval.in_1_hour,EURCAD
11,2023-10-16 05:00:00,1.43554,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURCAD
12,2023-10-16 04:00:00,1.43586,long,long,short,long,long,neutral,Interval.in_1_hour,EURCAD
13,2023-10-16 03:00:00,1.43582,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURCAD
14,2023-10-16 02:00:00,1.43558,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURCAD
15,2023-10-16 01:00:00,1.43581,long,long,short,long,long,neutral,Interval.in_1_hour,EURCAD
16,2023-10-16 00:00:00,1.43629,short,short,short,long,long,neutral,Interval.in_1_hour,EURCAD
17,2023-10-13 23:00:00,1.43514,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURCAD
18,2023-10-13 22:00:00,1.43592,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURCAD
19,2023-10-13 21:00:00,1.4357,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURCAD
20,2023-10-13 20:00:00,1.43478,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURCAD
21,2023-10-13 19:00:00,1.43493,short,short,short,long,short,neutral,Interval.in_1_hour,EURCAD
22,2023-10-13 18:00:00,1.43352,neutral,neutral,short,long,short,short,Interval.in_1_hour,EURCAD
23,2023-10-13 17:00:00,1.43468,neutral,long,short,long,short,short,Interval.in_1_hour,EURCAD
24,2023-10-13 16:00:00,1.43916,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURCAD
25,2023-10-13 15:00:00,1.43956,neutral,short,short,long,short,neutral,Interval.in_1_hour,EURCAD
26,2023-10-13 14:00:00,1.43965,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURCAD
27,2023-10-13 13:00:00,1.43918,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURCAD
28,2023-10-13 12:00:00,1.43984,long,long,short,long,short,neutral,Interval.in_1_hour,EURCAD
29,2023-10-13 11:00:00,1.4426,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURCAD
30,2023-10-13 10:00:00,1.44225,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURCAD
