,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 17:00:00,157.864,neutral,neutral,short,short,long,long,Interval.in_1_hour,EURJPY
1,2023-10-16 15:00:00,157.548,neutral,neutral,short,long,short,long,Interval.in_1_hour,EURJPY
2,2023-10-16 14:00:00,157.534,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
3,2023-10-16 13:00:00,157.52,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
4,2023-10-16 12:00:00,157.444,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
5,2023-10-16 11:00:00,157.582,long,long,short,long,long,neutral,Interval.in_1_hour,EURJPY
6,2023-10-16 10:00:00,157.564,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
7,2023-10-16 09:00:00,157.571,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
8,2023-10-16 08:00:00,157.356,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
9,2023-10-16 07:00:00,157.295,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
10,2023-10-16 06:00:00,157.304,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
11,2023-10-16 05:00:00,157.241,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
12,2023-10-16 04:00:00,157.274,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
13,2023-10-16 03:00:00,157.236,long,long,short,long,long,neutral,Interval.in_1_hour,EURJPY
14,2023-10-16 02:00:00,157.372,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
15,2023-10-16 01:00:00,157.39,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
16,2023-10-16 00:00:00,157.27,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
17,2023-10-13 23:00:00,157.186,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
18,2023-10-13 22:00:00,157.193,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
19,2023-10-13 21:00:00,157.142,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
20,2023-10-13 20:00:00,157.084,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
21,2023-10-13 19:00:00,157.184,short,short,short,long,short,neutral,Interval.in_1_hour,EURJPY
22,2023-10-13 18:00:00,157.114,neutral,neutral,short,long,short,short,Interval.in_1_hour,EURJPY
23,2023-10-13 17:00:00,157.202,long,long,short,long,short,neutral,Interval.in_1_hour,EURJPY
24,2023-10-13 16:00:00,157.522,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
25,2023-10-13 15:00:00,157.572,short,short,short,long,short,neutral,Interval.in_1_hour,EURJPY
26,2023-10-13 14:00:00,157.462,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
27,2023-10-13 13:00:00,157.38,long,long,short,long,short,neutral,Interval.in_1_hour,EURJPY
28,2023-10-13 12:00:00,157.57,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
29,2023-10-13 11:00:00,157.99,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
30,2023-10-13 10:00:00,157.914,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
31,2023-10-13 09:00:00,157.787,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
32,2023-10-13 08:00:00,157.923,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
33,2023-10-13 07:00:00,157.878,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
34,2023-10-13 06:00:00,157.936,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,EURJPY
35,2023-10-13 05:00:00,157.984,neutral,neutral,short,long,long,long,Interval.in_1_hour,EURJPY
36,2023-10-13 04:00:00,157.92,neutral,neutral,short,long,long,long,Interval.in_1_hour,EURJPY
37,2023-10-13 03:00:00,157.826,neutral,neutral,short,long,long,long,Interval.in_1_hour,EURJPY
38,2023-10-13 02:00:00,157.81,short,short,short,long,long,neutral,Interval.in_1_hour,EURJPY
39,2023-10-13 01:00:00,157.728,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
40,2023-10-13 00:00:00,157.718,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
41,2023-10-12 23:00:00,157.741,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
42,2023-10-12 22:00:00,157.766,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,EURJPY
43,2023-10-12 21:00:00,157.712,long,long,short,long,short,short,Interval.in_1_hour,EURJPY
