,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 16:00:00,1.05496,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,EURUSD
1,2023-10-16 12:00:00,1.05324,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,EURUSD
2,2023-10-16 10:00:00,1.05409,neutral,neutral,short,long,long,long,Interval.in_2_hour,EURUSD
3,2023-10-16 08:00:00,1.05349,neutral,neutral,short,long,long,long,Interval.in_2_hour,EURUSD
4,2023-10-16 06:00:00,1.0526,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,EURUSD
5,2023-10-16 04:00:00,1.05217,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,EURUSD
6,2023-10-16 02:00:00,1.05176,long,long,short,long,short,neutral,Interval.in_2_hour,EURUSD
7,2023-10-16 00:00:00,1.05216,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,EURUSD
8,2023-10-13 22:00:00,1.0509,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,EURUSD
9,2023-10-13 20:00:00,1.05111,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,EURUSD
10,2023-10-13 18:00:00,1.05091,short,short,short,long,short,neutral,Interval.in_2_hour,EURUSD
11,2023-10-13 16:00:00,1.05035,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,EURUSD
12,2023-10-13 14:00:00,1.05375,short,short,short,long,short,neutral,Interval.in_2_hour,EURUSD
13,2023-10-13 12:00:00,1.0518,neutral,long,short,long,long,neutral,Interval.in_2_hour,EURUSD
14,2023-10-13 10:00:00,1.05538,short,short,short,long,long,neutral,Interval.in_2_hour,EURUSD
15,2023-10-13 08:00:00,1.05368,neutral,long,short,long,long,neutral,Interval.in_2_hour,EURUSD
16,2023-10-13 06:00:00,1.055,neutral,neutral,short,long,long,long,Interval.in_2_hour,EURUSD
17,2023-10-13 04:00:00,1.05462,neutral,neutral,short,long,short,long,Interval.in_2_hour,EURUSD
18,2023-10-13 02:00:00,1.0539,short,short,short,long,short,long,Interval.in_2_hour,EURUSD
19,2023-10-13 00:00:00,1.05316,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,EURUSD
20,2023-10-12 22:00:00,1.05283,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,EURUSD
21,2023-10-12 20:00:00,1.05268,neutral,neutral,short,long,short,short,Interval.in_2_hour,EURUSD
22,2023-10-12 18:00:00,1.05486,neutral,neutral,short,long,short,short,Interval.in_2_hour,EURUSD
23,2023-10-12 16:00:00,1.05557,neutral,long,short,long,short,short,Interval.in_2_hour,EURUSD
24,2023-10-12 14:00:00,1.05817,neutral,long,short,long,short,short,Interval.in_2_hour,EURUSD
25,2023-10-12 12:00:00,1.06186,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,EURUSD
26,2023-10-12 10:00:00,1.06266,long,long,short,long,long,neutral,Interval.in_2_hour,EURUSD
27,2023-10-12 08:00:00,1.06356,neutral,neutral,short,long,long,long,Interval.in_2_hour,EURUSD
28,2023-10-12 06:00:00,1.06311,neutral,neutral,short,long,long,long,Interval.in_2_hour,EURUSD
29,2023-10-12 04:00:00,1.0624,neutral,neutral,short,long,long,long,Interval.in_2_hour,EURUSD
30,2023-10-12 02:00:00,1.06224,neutral,neutral,short,long,long,long,Interval.in_2_hour,EURUSD
31,2023-10-12 00:00:00,1.06194,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,EURUSD
32,2023-10-11 22:00:00,1.06183,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,EURUSD
33,2023-10-11 20:00:00,1.06072,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,EURUSD
34,2023-10-11 18:00:00,1.06074,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,EURUSD
35,2023-10-11 16:00:00,1.06242,neutral,neutral,short,long,long,neutral,Interval.in_2_hour,EURUSD
36,2023-10-11 14:00:00,1.06146,neutral,neutral,short,long,short,neutral,Interval.in_2_hour,EURUSD
37,2023-10-11 12:00:00,1.06018,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,EURUSD
38,2023-10-11 10:00:00,1.06086,long,long,short,short,long,neutral,Interval.in_2_hour,EURUSD
