,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 17:30:00,1.05496,long,long,short,long,long,neutral,Interval.in_30_minute,EURUSD
1,2023-10-16 16:30:00,1.053,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
2,2023-10-16 16:00:00,1.05381,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
3,2023-10-16 15:30:00,1.05418,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
4,2023-10-16 15:00:00,1.05324,long,long,short,long,short,neutral,Interval.in_30_minute,EURUSD
5,2023-10-16 14:30:00,1.05367,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
6,2023-10-16 14:00:00,1.05306,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
7,2023-10-16 13:30:00,1.05324,neutral,short,short,long,short,neutral,Interval.in_30_minute,EURUSD
8,2023-10-16 13:00:00,1.05312,neutral,neutral,short,long,long,short,Interval.in_30_minute,EURUSD
9,2023-10-16 12:30:00,1.0532,long,long,short,long,long,neutral,Interval.in_30_minute,EURUSD
10,2023-10-16 12:00:00,1.05382,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
11,2023-10-16 11:30:00,1.05409,neutral,neutral,short,long,long,long,Interval.in_30_minute,EURUSD
12,2023-10-16 11:00:00,1.05352,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
13,2023-10-16 10:30:00,1.05343,neutral,short,short,long,long,neutral,Interval.in_30_minute,EURUSD
14,2023-10-16 10:00:00,1.0526,long,long,short,long,long,neutral,Interval.in_30_minute,EURUSD
15,2023-10-16 09:30:00,1.05349,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
16,2023-10-16 09:00:00,1.05278,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
17,2023-10-16 08:30:00,1.05296,neutral,neutral,short,long,long,long,Interval.in_30_minute,EURUSD
18,2023-10-16 08:00:00,1.0527,long,long,short,long,long,long,Interval.in_30_minute,EURUSD
19,2023-10-16 07:30:00,1.0526,neutral,neutral,short,long,long,long,Interval.in_30_minute,EURUSD
20,2023-10-16 07:00:00,1.05255,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
21,2023-10-16 06:30:00,1.05235,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
22,2023-10-16 06:00:00,1.05214,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
23,2023-10-16 05:30:00,1.05217,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
24,2023-10-16 05:00:00,1.05238,long,long,short,long,long,neutral,Interval.in_30_minute,EURUSD
25,2023-10-16 04:30:00,1.0522,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
26,2023-10-16 04:00:00,1.05248,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
27,2023-10-16 03:30:00,1.05176,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,EURUSD
28,2023-10-16 03:00:00,1.05189,long,long,short,long,long,neutral,Interval.in_30_minute,EURUSD
29,2023-10-16 02:30:00,1.0522,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
30,2023-10-16 02:00:00,1.05196,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
31,2023-10-16 01:30:00,1.05216,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
32,2023-10-16 01:00:00,1.0525,neutral,neutral,short,long,long,long,Interval.in_30_minute,EURUSD
33,2023-10-16 00:30:00,1.05218,neutral,neutral,short,long,long,long,Interval.in_30_minute,EURUSD
34,2023-10-16 00:00:00,1.05134,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,EURUSD
