,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 16:00:00,1.92488,neutral,neutral,short,short,long,long,Interval.in_2_hour,GBPAUD
1,2023-10-16 12:00:00,1.92301,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,GBPAUD
2,2023-10-16 10:00:00,1.92196,short,short,short,short,short,neutral,Interval.in_2_hour,GBPAUD
3,2023-10-16 08:00:00,1.92392,short,short,short,short,short,neutral,Interval.in_2_hour,GBPAUD
4,2023-10-16 06:00:00,1.92328,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,GBPAUD
5,2023-10-16 04:00:00,1.92346,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,GBPAUD
6,2023-10-16 02:00:00,1.92712,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,GBPAUD
7,2023-10-16 00:00:00,1.92708,long,long,short,short,long,neutral,Interval.in_2_hour,GBPAUD
8,2023-10-13 22:00:00,1.92904,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,GBPAUD
9,2023-10-13 20:00:00,1.92686,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,GBPAUD
10,2023-10-13 18:00:00,1.9283,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,GBPAUD
11,2023-10-13 16:00:00,1.9286,long,long,short,short,short,neutral,Interval.in_2_hour,GBPAUD
12,2023-10-13 14:00:00,1.92678,neutral,short,short,short,short,neutral,Interval.in_2_hour,GBPAUD
13,2023-10-13 12:00:00,1.92839,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,GBPAUD
14,2023-10-13 10:00:00,1.93198,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,GBPAUD
15,2023-10-13 08:00:00,1.92958,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,GBPAUD
16,2023-10-13 06:00:00,1.93198,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,GBPAUD
17,2023-10-13 04:00:00,1.92918,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,GBPAUD
18,2023-10-13 02:00:00,1.92798,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,GBPAUD
19,2023-10-13 00:00:00,1.92859,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,GBPAUD
20,2023-10-12 22:00:00,1.92834,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,GBPAUD
21,2023-10-12 20:00:00,1.92882,neutral,neutral,short,short,long,long,Interval.in_2_hour,GBPAUD
22,2023-10-12 18:00:00,1.9282,neutral,neutral,short,short,long,long,Interval.in_2_hour,GBPAUD
23,2023-10-12 16:00:00,1.92606,neutral,neutral,short,short,long,long,Interval.in_2_hour,GBPAUD
24,2023-10-12 14:00:00,1.92096,neutral,neutral,short,short,long,neutral,Interval.in_2_hour,GBPAUD
25,2023-10-12 12:00:00,1.91972,neutral,short,short,short,short,neutral,Interval.in_2_hour,GBPAUD
26,2023-10-12 10:00:00,1.91724,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,GBPAUD
27,2023-10-12 08:00:00,1.91818,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,GBPAUD
28,2023-10-12 06:00:00,1.91808,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,GBPAUD
29,2023-10-12 04:00:00,1.9202,neutral,neutral,short,short,short,neutral,Interval.in_2_hour,GBPAUD
30,2023-10-12 02:00:00,1.9188,long,long,short,short,long,neutral,Interval.in_2_hour,GBPAUD
