,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 17:30:00,1.92488,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
1,2023-10-16 16:30:00,1.92466,neutral,short,short,long,long,neutral,Interval.in_30_minute,GBPAUD
2,2023-10-16 16:00:00,1.92496,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
3,2023-10-16 15:30:00,1.92342,neutral,long,short,long,long,neutral,Interval.in_30_minute,GBPAUD
4,2023-10-16 15:00:00,1.92433,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
5,2023-10-16 14:30:00,1.92452,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPAUD
6,2023-10-16 14:00:00,1.92376,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPAUD
7,2023-10-16 13:30:00,1.92301,short,short,short,long,short,neutral,Interval.in_30_minute,GBPAUD
8,2023-10-16 13:00:00,1.92112,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
9,2023-10-16 12:30:00,1.92074,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
10,2023-10-16 12:00:00,1.92232,short,short,short,long,short,neutral,Interval.in_30_minute,GBPAUD
11,2023-10-16 11:30:00,1.92196,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
12,2023-10-16 11:00:00,1.9222,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
13,2023-10-16 10:30:00,1.92447,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPAUD
14,2023-10-16 10:00:00,1.92442,short,short,short,long,long,neutral,Interval.in_30_minute,GBPAUD
15,2023-10-16 09:30:00,1.92392,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPAUD
16,2023-10-16 09:00:00,1.92292,neutral,long,short,long,long,neutral,Interval.in_30_minute,GBPAUD
17,2023-10-16 08:30:00,1.92407,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
18,2023-10-16 08:00:00,1.92253,neutral,long,short,long,long,neutral,Interval.in_30_minute,GBPAUD
19,2023-10-16 07:30:00,1.92328,short,short,short,long,long,neutral,Interval.in_30_minute,GBPAUD
20,2023-10-16 07:00:00,1.92272,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
21,2023-10-16 06:30:00,1.92276,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
22,2023-10-16 06:00:00,1.92358,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
23,2023-10-16 05:30:00,1.92346,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPAUD
24,2023-10-16 05:00:00,1.92212,neutral,neutral,short,long,short,short,Interval.in_30_minute,GBPAUD
