,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 17:00:00,1.2189,neutral,neutral,short,short,long,neutral,Interval.in_1_hour,GBPUSD
1,2023-10-16 15:00:00,1.21762,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,GBPUSD
2,2023-10-16 14:00:00,1.21787,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,GBPUSD
3,2023-10-16 13:00:00,1.21516,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,GBPUSD
4,2023-10-16 12:00:00,1.21462,short,short,short,long,short,neutral,Interval.in_1_hour,GBPUSD
5,2023-10-16 11:00:00,1.21596,long,long,short,long,long,neutral,Interval.in_1_hour,GBPUSD
6,2023-10-16 10:00:00,1.21752,long,long,short,long,long,long,Interval.in_1_hour,GBPUSD
7,2023-10-16 09:00:00,1.21691,neutral,neutral,short,long,long,long,Interval.in_1_hour,GBPUSD
8,2023-10-16 08:00:00,1.21662,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,GBPUSD
9,2023-10-16 07:00:00,1.21602,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,GBPUSD
10,2023-10-16 06:00:00,1.2156,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,GBPUSD
11,2023-10-16 05:00:00,1.21562,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,GBPUSD
12,2023-10-16 04:00:00,1.21532,short,short,short,long,long,neutral,Interval.in_1_hour,GBPUSD
13,2023-10-16 03:00:00,1.21468,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,GBPUSD
14,2023-10-16 02:00:00,1.21547,neutral,neutral,short,long,long,long,Interval.in_1_hour,GBPUSD
15,2023-10-16 01:00:00,1.21505,neutral,neutral,short,long,long,long,Interval.in_1_hour,GBPUSD
16,2023-10-16 00:00:00,1.21494,neutral,neutral,short,long,long,long,Interval.in_1_hour,GBPUSD
17,2023-10-13 23:00:00,1.2146,neutral,neutral,short,long,long,long,Interval.in_1_hour,GBPUSD
18,2023-10-13 22:00:00,1.214,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,GBPUSD
19,2023-10-13 21:00:00,1.21356,short,short,short,long,short,neutral,Interval.in_1_hour,GBPUSD
20,2023-10-13 20:00:00,1.21326,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,GBPUSD
21,2023-10-13 19:00:00,1.21366,short,short,short,long,short,neutral,Interval.in_1_hour,GBPUSD
22,2023-10-13 18:00:00,1.21365,neutral,neutral,short,long,short,short,Interval.in_1_hour,GBPUSD
23,2023-10-13 17:00:00,1.21407,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,GBPUSD
24,2023-10-13 16:00:00,1.2172,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,GBPUSD
25,2023-10-13 15:00:00,1.21888,short,short,short,long,short,neutral,Interval.in_1_hour,GBPUSD
26,2023-10-13 14:00:00,1.21846,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,GBPUSD
27,2023-10-13 13:00:00,1.21673,neutral,long,short,long,short,neutral,Interval.in_1_hour,GBPUSD
28,2023-10-13 12:00:00,1.21911,neutral,long,short,long,short,neutral,Interval.in_1_hour,GBPUSD
29,2023-10-13 11:00:00,1.22138,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,GBPUSD
30,2023-10-13 10:00:00,1.22112,neutral,short,short,long,short,neutral,Interval.in_1_hour,GBPUSD
31,2023-10-13 09:00:00,1.21876,neutral,long,short,long,long,neutral,Interval.in_1_hour,GBPUSD
32,2023-10-13 08:00:00,1.22056,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,GBPUSD
33,2023-10-13 07:00:00,1.22035,neutral,long,short,long,long,neutral,Interval.in_1_hour,GBPUSD
34,2023-10-13 06:00:00,1.22036,neutral,neutral,short,long,long,neutral,Interval.in_1_hour,GBPUSD
35,2023-10-13 05:00:00,1.22046,neutral,neutral,short,long,long,long,Interval.in_1_hour,GBPUSD
36,2023-10-13 04:00:00,1.21958,neutral,neutral,short,long,long,long,Interval.in_1_hour,GBPUSD
37,2023-10-13 03:00:00,1.21878,neutral,short,short,long,long,long,Interval.in_1_hour,GBPUSD
38,2023-10-13 02:00:00,1.21826,neutral,neutral,short,long,long,long,Interval.in_1_hour,GBPUSD
39,2023-10-13 01:00:00,1.218,neutral,long,short,long,short,neutral,Interval.in_1_hour,GBPUSD
40,2023-10-13 00:00:00,1.21788,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,GBPUSD
41,2023-10-12 23:00:00,1.217455,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,GBPUSD
42,2023-10-12 22:00:00,1.21757,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,GBPUSD
43,2023-10-12 21:00:00,1.21732,neutral,neutral,short,long,short,short,Interval.in_1_hour,GBPUSD
44,2023-10-12 20:00:00,1.21854,long,long,short,long,short,short,Interval.in_1_hour,GBPUSD
45,2023-10-12 19:00:00,1.22012,neutral,short,short,long,short,short,Interval.in_1_hour,GBPUSD
46,2023-10-12 18:00:00,1.22116,neutral,long,short,long,short,short,Interval.in_1_hour,GBPUSD
47,2023-10-12 17:00:00,1.22138,neutral,neutral,short,long,short,short,Interval.in_1_hour,GBPUSD
48,2023-10-12 16:00:00,1.22329,neutral,neutral,short,long,short,neutral,Interval.in_1_hour,GBPUSD
49,2023-10-12 15:00:00,1.22626,neutral,long,short,long,short,neutral,Interval.in_1_hour,GBPUSD
50,2023-10-12 14:00:00,1.2313,neutral,short,short,short,short,neutral,Interval.in_1_hour,GBPUSD
51,2023-10-12 13:00:00,1.22944,neutral,neutral,short,short,short,neutral,Interval.in_1_hour,GBPUSD
52,2023-10-12 12:00:00,1.22993,neutral,neutral,short,short,short,neutral,Interval.in_1_hour,GBPUSD
53,2023-10-12 11:00:00,1.22962,neutral,neutral,short,short,short,neutral,Interval.in_1_hour,GBPUSD
54,2023-10-12 10:00:00,1.22953,neutral,neutral,short,short,short,neutral,Interval.in_1_hour,GBPUSD
55,2023-10-12 09:00:00,1.23236,neutral,neutral,short,short,long,long,Interval.in_1_hour,GBPUSD
56,2023-10-12 08:00:00,1.23228,neutral,neutral,short,short,long,long,Interval.in_1_hour,GBPUSD
57,2023-10-12 07:00:00,1.23191,neutral,neutral,short,short,long,neutral,Interval.in_1_hour,GBPUSD
58,2023-10-12 06:00:00,1.23182,neutral,neutral,short,short,long,neutral,Interval.in_1_hour,GBPUSD
59,2023-10-12 05:00:00,1.23154,neutral,neutral,short,short,long,neutral,Interval.in_1_hour,GBPUSD
