,datetime,close_price,SuperOrderBlock,SOB_No_Delta,ScalpPro,NW,UMA,Volume,interval,symbol
0,2023-10-16 17:30:00,1.2189,neutral,neutral,short,short,long,neutral,Interval.in_30_minute,GBPUSD
1,2023-10-16 16:30:00,1.2161,long,long,short,long,long,neutral,Interval.in_30_minute,GBPUSD
2,2023-10-16 16:00:00,1.21712,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
3,2023-10-16 15:30:00,1.21762,long,long,short,long,long,neutral,Interval.in_30_minute,GBPUSD
4,2023-10-16 15:00:00,1.21722,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
5,2023-10-16 14:30:00,1.21787,neutral,short,short,long,long,long,Interval.in_30_minute,GBPUSD
6,2023-10-16 14:00:00,1.2164,neutral,neutral,short,long,short,long,Interval.in_30_minute,GBPUSD
7,2023-10-16 13:30:00,1.21516,short,short,short,long,short,neutral,Interval.in_30_minute,GBPUSD
8,2023-10-16 13:00:00,1.21501,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
9,2023-10-16 12:30:00,1.21462,neutral,neutral,short,long,short,short,Interval.in_30_minute,GBPUSD
10,2023-10-16 12:00:00,1.21566,short,short,short,long,short,short,Interval.in_30_minute,GBPUSD
11,2023-10-16 11:30:00,1.21596,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
12,2023-10-16 11:00:00,1.21614,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
13,2023-10-16 10:30:00,1.21752,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
14,2023-10-16 10:00:00,1.21688,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
15,2023-10-16 09:30:00,1.21691,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
16,2023-10-16 09:00:00,1.21646,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
17,2023-10-16 08:30:00,1.21662,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPUSD
18,2023-10-16 08:00:00,1.21621,long,long,short,long,long,long,Interval.in_30_minute,GBPUSD
19,2023-10-16 07:30:00,1.21602,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPUSD
20,2023-10-16 07:00:00,1.21602,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
21,2023-10-16 06:30:00,1.2156,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
22,2023-10-16 06:00:00,1.21522,long,long,short,long,long,neutral,Interval.in_30_minute,GBPUSD
23,2023-10-16 05:30:00,1.21562,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
24,2023-10-16 05:00:00,1.21578,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
25,2023-10-16 04:30:00,1.21532,long,long,short,long,long,neutral,Interval.in_30_minute,GBPUSD
26,2023-10-16 04:00:00,1.21538,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
27,2023-10-16 03:30:00,1.21468,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
28,2023-10-16 03:00:00,1.2152,long,long,short,long,long,neutral,Interval.in_30_minute,GBPUSD
29,2023-10-16 02:30:00,1.21547,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
30,2023-10-16 02:00:00,1.21502,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
31,2023-10-16 01:30:00,1.21505,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
32,2023-10-16 01:00:00,1.21528,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
33,2023-10-16 00:30:00,1.21494,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
34,2023-10-16 00:00:00,1.21505,long,long,short,long,long,neutral,Interval.in_30_minute,GBPUSD
35,2023-10-13 23:30:00,1.2146,short,short,short,long,long,neutral,Interval.in_30_minute,GBPUSD
36,2023-10-13 23:00:00,1.21348,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
37,2023-10-13 22:30:00,1.214,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPUSD
38,2023-10-13 22:00:00,1.21368,neutral,neutral,short,long,short,long,Interval.in_30_minute,GBPUSD
39,2023-10-13 21:30:00,1.21356,neutral,neutral,short,long,short,long,Interval.in_30_minute,GBPUSD
40,2023-10-13 21:00:00,1.21335,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
41,2023-10-13 20:30:00,1.21326,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
42,2023-10-13 20:00:00,1.21286,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
43,2023-10-13 19:30:00,1.21366,neutral,long,short,long,short,neutral,Interval.in_30_minute,GBPUSD
44,2023-10-13 19:00:00,1.21437,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
45,2023-10-13 18:30:00,1.21365,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
46,2023-10-13 18:00:00,1.21384,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
47,2023-10-13 17:30:00,1.21407,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
48,2023-10-13 17:00:00,1.21406,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
49,2023-10-13 16:30:00,1.2172,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
50,2023-10-13 16:00:00,1.21668,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
51,2023-10-13 15:30:00,1.21888,short,short,short,long,long,long,Interval.in_30_minute,GBPUSD
52,2023-10-13 15:00:00,1.21856,neutral,neutral,short,long,short,long,Interval.in_30_minute,GBPUSD
53,2023-10-13 14:30:00,1.21846,short,short,short,long,short,neutral,Interval.in_30_minute,GBPUSD
54,2023-10-13 14:00:00,1.21802,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
55,2023-10-13 13:30:00,1.21673,neutral,neutral,short,long,short,short,Interval.in_30_minute,GBPUSD
56,2023-10-13 13:00:00,1.21803,neutral,long,short,long,short,short,Interval.in_30_minute,GBPUSD
57,2023-10-13 12:30:00,1.21911,neutral,neutral,short,long,short,short,Interval.in_30_minute,GBPUSD
58,2023-10-13 12:00:00,1.22041,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
59,2023-10-13 11:30:00,1.22138,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
60,2023-10-13 11:00:00,1.22162,neutral,long,short,long,long,neutral,Interval.in_30_minute,GBPUSD
61,2023-10-13 10:30:00,1.22112,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
62,2023-10-13 10:00:00,1.22158,neutral,short,short,long,short,neutral,Interval.in_30_minute,GBPUSD
63,2023-10-13 09:30:00,1.21876,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
64,2023-10-13 09:00:00,1.21937,neutral,long,short,long,short,neutral,Interval.in_30_minute,GBPUSD
65,2023-10-13 08:30:00,1.22056,neutral,long,short,long,long,neutral,Interval.in_30_minute,GBPUSD
66,2023-10-13 08:00:00,1.22052,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
67,2023-10-13 07:30:00,1.22035,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
68,2023-10-13 07:00:00,1.22038,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
69,2023-10-13 06:30:00,1.22036,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
70,2023-10-13 06:00:00,1.22032,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
71,2023-10-13 05:30:00,1.22046,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPUSD
72,2023-10-13 05:00:00,1.22016,neutral,short,short,long,long,long,Interval.in_30_minute,GBPUSD
73,2023-10-13 04:30:00,1.21958,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPUSD
74,2023-10-13 04:00:00,1.21936,neutral,short,short,long,long,long,Interval.in_30_minute,GBPUSD
75,2023-10-13 03:30:00,1.21878,neutral,neutral,short,long,long,long,Interval.in_30_minute,GBPUSD
76,2023-10-13 03:00:00,1.21877,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
77,2023-10-13 02:30:00,1.21826,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
78,2023-10-13 02:00:00,1.21796,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
79,2023-10-13 01:30:00,1.218,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
80,2023-10-13 01:00:00,1.21777,neutral,neutral,short,long,long,neutral,Interval.in_30_minute,GBPUSD
81,2023-10-13 00:30:00,1.21788,neutral,long,short,long,long,neutral,Interval.in_30_minute,GBPUSD
82,2023-10-13 00:00:00,1.21776,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
83,2023-10-12 23:30:00,1.217455,neutral,neutral,short,long,short,short,Interval.in_30_minute,GBPUSD
84,2023-10-12 23:00:00,1.2175,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
85,2023-10-12 22:30:00,1.21757,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
86,2023-10-12 22:00:00,1.21774,short,short,short,long,short,neutral,Interval.in_30_minute,GBPUSD
87,2023-10-12 21:30:00,1.21732,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
88,2023-10-12 21:00:00,1.21866,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
89,2023-10-12 20:30:00,1.21854,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
90,2023-10-12 20:00:00,1.21851,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
91,2023-10-12 19:30:00,1.22012,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
92,2023-10-12 19:00:00,1.2215,short,short,short,long,short,neutral,Interval.in_30_minute,GBPUSD
93,2023-10-12 18:30:00,1.22116,neutral,neutral,short,long,short,neutral,Interval.in_30_minute,GBPUSD
