,datetime,is_profit,signal,open_signal_price,close_signal_price,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,2023-10-05 20:56:00,False,short,0.87266,0.87284,short,short,short,short,short
1,2023-10-05 20:17:00,True,short,0.87236,0.87218,short,neutral,short,short,short
2,2023-10-05 18:58:00,False,short,0.8718,0.87186,short,short,short,short,short
3,2023-10-05 18:40:00,False,short,0.87215,0.87218,short,neutral,short,short,short
4,2023-10-05 17:48:00,True,short,0.87135,0.87121,short,neutral,short,short,short
5,2023-10-05 17:25:00,True,short,0.87168,0.87162,short,neutral,short,short,short
6,2023-10-05 16:53:00,False,short,0.87294,0.87316,short,neutral,short,short,short
7,2023-10-05 15:29:00,False,long,0.87204,0.87172,long,long,short,long,long
8,2023-10-05 15:09:00,False,long,0.8732,0.8728,long,long,short,long,long
9,2023-10-05 14:30:00,False,short,0.87374,0.87378,short,neutral,short,short,short
10,2023-10-05 13:27:00,True,long,0.87306,0.87318,long,long,long,long,long
11,2023-10-05 13:13:00,False,long,0.87308,0.87297,long,long,long,long,long
12,2023-10-05 12:31:00,True,long,0.87303,0.8731,long,neutral,long,long,long
13,2023-10-05 12:17:00,False,long,0.87314,0.87312,long,neutral,long,long,long
14,2023-10-05 12:15:00,True,long,0.87306,0.87306,long,neutral,long,long,long
15,2023-10-05 12:00:00,False,long,0.87262,0.87257,long,neutral,long,long,long
16,2023-10-05 11:43:00,True,long,0.87262,0.87264,long,long,short,long,long
17,2023-10-05 11:35:00,False,long,0.87264,0.87236,long,neutral,long,long,long
18,2023-10-05 11:19:00,True,long,0.87268,0.87268,long,neutral,long,long,long
19,2023-10-05 11:15:00,True,long,0.87255,0.87268,long,neutral,long,long,long
20,2023-10-05 10:42:00,True,long,0.8726,0.87266,long,neutral,long,long,long
21,2023-10-05 09:31:00,False,long,0.87302,0.87294,long,neutral,long,long,long
22,2023-10-05 09:04:00,False,short,0.87307,0.87314,short,short,short,short,short
23,2023-10-05 08:45:00,False,short,0.87326,0.87332,short,neutral,short,short,short
24,2023-10-05 08:25:00,True,short,0.8737,0.87357,short,neutral,short,short,short
25,2023-10-05 08:16:00,False,short,0.87377,0.8738,short,neutral,short,short,short
26,2023-10-05 08:11:00,False,short,0.87375,0.87379,short,neutral,short,short,short
27,2023-10-05 07:41:00,False,short,0.87394,0.87396,short,neutral,short,short,short
28,2023-10-05 07:35:00,False,short,0.87389,0.87392,short,neutral,short,short,short
29,2023-10-05 07:33:00,False,short,0.87388,0.87403,short,neutral,short,short,short
30,2023-10-05 06:50:00,True,long,0.87435,0.87437,long,long,long,short,long
31,2023-10-05 06:39:00,False,long,0.87412,0.87398,long,long,long,short,long
32,2023-10-05 05:58:00,False,short,0.8728,0.87282,short,neutral,short,short,short
33,2023-10-05 05:33:00,False,short,0.87253,0.8728,short,neutral,short,short,short
34,2023-10-05 05:27:00,True,short,0.87262,0.87261,short,neutral,short,short,short
35,2023-10-05 05:15:00,False,short,0.87256,0.87267,short,neutral,short,short,short
36,2023-10-05 04:49:00,False,short,0.8725,0.87255,short,neutral,short,short,short
37,2023-10-05 04:32:00,True,short,0.87252,0.87252,short,neutral,short,short,short
38,2023-10-05 03:33:00,True,long,0.87056,0.87104,long,long,long,short,long
39,2023-10-05 03:29:00,True,long,0.87015,0.87034,long,neutral,long,long,long
40,2023-10-05 03:20:00,False,long,0.87026,0.87014,long,neutral,long,long,long
41,2023-10-05 03:12:00,True,long,0.87004,0.87013,long,neutral,long,long,long
42,2023-10-05 02:36:00,False,long,0.86999,0.86993,long,neutral,long,long,long
43,2023-10-05 02:09:00,True,long,0.87,0.87002,long,neutral,long,long,long
44,2023-10-05 02:08:00,False,long,0.87008,0.87002,long,neutral,long,long,long
45,2023-10-05 01:45:00,True,long,0.86998,0.87,long,neutral,long,long,long
46,2023-10-05 01:33:00,True,long,0.86977,0.8699,long,neutral,long,long,long
47,2023-10-05 01:20:00,False,long,0.8696,0.86951,long,neutral,long,long,long
48,2023-10-05 00:59:00,False,short,0.86909,0.86956,short,neutral,short,short,short
49,2023-10-05 00:52:00,False,short,0.86876,0.869,short,short,short,short,short
50,2023-10-05 00:41:00,False,short,0.86909,0.86922,short,neutral,short,short,short
51,2023-10-04 23:35:00,False,short,0.86946,0.8695,short,short,short,short,short
52,2023-10-04 23:20:00,True,long,0.86977,0.86982,long,neutral,long,long,long
53,2023-10-04 22:58:00,True,long,0.86971,0.86972,long,neutral,long,long,long
54,2023-10-04 22:42:00,True,long,0.8698,0.86992,long,neutral,long,long,long
55,2023-10-04 22:26:00,False,long,0.86948,0.86938,long,neutral,long,long,long
56,2023-10-04 20:58:00,True,long,0.86942,0.86942,long,neutral,long,long,long
57,2023-10-04 18:45:00,True,long,0.87078,0.8708,long,neutral,long,long,long
58,2023-10-04 18:44:00,True,long,0.8708,0.8711,long,neutral,long,long,long
59,2023-10-04 17:41:00,False,short,0.8701,0.87016,short,neutral,short,short,short
60,2023-10-04 16:27:00,True,long,0.8697,0.87003,long,neutral,long,long,long
61,2023-10-04 16:07:00,False,short,0.8695,0.86973,short,neutral,short,short,short
62,2023-10-04 14:54:00,True,short,0.86661,0.86632,short,short,short,long,short
63,2023-10-04 14:13:00,False,long,0.86756,0.86742,long,neutral,long,long,long
64,2023-10-04 13:59:00,True,long,0.86662,0.86703,long,long,long,long,short
65,2023-10-04 13:28:00,False,long,0.86662,0.8663,long,long,long,long,short
66,2023-10-04 12:50:00,False,long,0.86649,0.86634,long,neutral,long,long,long
