,datetime,symbol,open,high,low,close,volume,interval,datetime_sec
0,2023-10-13 01:27:00,OANDA:AUDUSD,0.63149,0.63152,0.63144,0.6315,12.0,Interval.in_3_minute,56165220.0
1,2023-10-13 01:30:00,OANDA:AUDUSD,0.6315,0.63152,0.63144,0.63149,35.0,Interval.in_3_minute,56165400.0
2,2023-10-13 01:33:00,OANDA:AUDUSD,0.63149,0.63152,0.63144,0.6315,16.0,Interval.in_3_minute,56165580.0
3,2023-10-13 01:36:00,OANDA:AUDUSD,0.6315,0.63153,0.63149,0.63152,30.0,Interval.in_3_minute,56165760.0
4,2023-10-13 01:39:00,OANDA:AUDUSD,0.63152,0.63154,0.6315,0.63154,12.0,Interval.in_3_minute,56165940.0
5,2023-10-13 01:42:00,OANDA:AUDUSD,0.63154,0.63158,0.63154,0.63156,29.0,Interval.in_3_minute,56166120.0
6,2023-10-13 01:45:00,OANDA:AUDUSD,0.63156,0.63158,0.63152,0.63157,19.0,Interval.in_3_minute,56166300.0
7,2023-10-13 01:48:00,OANDA:AUDUSD,0.63157,0.63164,0.63155,0.63158,24.0,Interval.in_3_minute,56166480.0
8,2023-10-13 01:51:00,OANDA:AUDUSD,0.63158,0.63158,0.6315,0.63152,34.0,Interval.in_3_minute,56166660.0
9,2023-10-13 01:54:00,OANDA:AUDUSD,0.63152,0.63152,0.63148,0.63151,15.0,Interval.in_3_minute,56166840.0
10,2023-10-13 01:57:00,OANDA:AUDUSD,0.63151,0.63161,0.6315,0.63155,69.0,Interval.in_3_minute,56167020.0
11,2023-10-13 02:00:00,OANDA:AUDUSD,0.63155,0.63155,0.63144,0.63154,67.0,Interval.in_3_minute,56167200.0
12,2023-10-13 02:03:00,OANDA:AUDUSD,0.63154,0.63154,0.63142,0.63142,44.0,Interval.in_3_minute,56167380.0
13,2023-10-13 02:06:00,OANDA:AUDUSD,0.63142,0.63148,0.63138,0.63139,30.0,Interval.in_3_minute,56167560.0
14,2023-10-13 02:09:00,OANDA:AUDUSD,0.63139,0.63142,0.63132,0.63138,67.0,Interval.in_3_minute,56167740.0
15,2023-10-13 02:12:00,OANDA:AUDUSD,0.63138,0.6315,0.63132,0.6315,25.0,Interval.in_3_minute,56167920.0
16,2023-10-13 02:15:00,OANDA:AUDUSD,0.6315,0.63168,0.6315,0.63164,43.0,Interval.in_3_minute,56168100.0
17,2023-10-13 02:18:00,OANDA:AUDUSD,0.63164,0.6317,0.63158,0.63166,57.0,Interval.in_3_minute,56168280.0
18,2023-10-13 02:21:00,OANDA:AUDUSD,0.63166,0.6317,0.63159,0.63162,28.0,Interval.in_3_minute,56168460.0
19,2023-10-13 02:24:00,OANDA:AUDUSD,0.63162,0.63168,0.63149,0.63163,41.0,Interval.in_3_minute,56168640.0
