,datetime,is_profit,signal,open_signal_price,close_signal_price,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,2023-10-05 18:30:00,True,short,0.8722,0.87188,short,neutral,short,short,short
1,2023-10-05 18:20:00,True,short,0.87259,0.87204,short,long,short,short,short
2,2023-10-05 16:05:00,False,long,0.87288,0.8725,long,long,short,long,long
3,2023-10-05 11:40:00,False,short,0.87262,0.87282,short,neutral,short,short,short
4,2023-10-05 11:00:00,False,short,0.8725,0.87268,short,neutral,short,short,short
5,2023-10-05 10:55:00,False,short,0.87231,0.8727,short,neutral,short,short,short
6,2023-10-05 10:25:00,False,short,0.87227,0.87261,short,neutral,short,short,short
7,2023-10-05 09:55:00,True,short,0.87258,0.87236,short,short,short,short,short
8,2023-10-05 08:25:00,True,short,0.87356,0.87315,short,neutral,short,short,short
9,2023-10-05 03:05:00,True,long,0.86992,0.87014,long,neutral,long,long,long
10,2023-10-05 02:55:00,True,long,0.86982,0.87012,long,neutral,long,long,long
11,2023-10-05 01:45:00,True,long,0.86995,0.87001,long,neutral,long,long,long
12,2023-10-05 01:40:00,False,long,0.86994,0.86989,long,neutral,long,long,long
13,2023-10-04 22:15:00,True,long,0.8694,0.86954,long,long,long,short,long
14,2023-10-04 21:50:00,False,short,0.86911,0.86926,short,neutral,short,short,short
15,2023-10-04 21:15:00,True,short,0.86922,0.86915,short,neutral,short,short,short
16,2023-10-04 20:05:00,True,short,0.86947,0.8692,short,short,short,short,short
17,2023-10-04 18:05:00,False,short,0.86927,0.87052,short,neutral,short,short,short
18,2023-10-04 17:55:00,False,short,0.8692,0.86952,short,neutral,short,short,short
19,2023-10-04 14:10:00,False,long,0.86762,0.86718,long,long,long,short,long
20,2023-10-04 10:25:00,False,short,0.86554,0.86633,short,neutral,short,short,short
21,2023-10-04 09:00:00,False,short,0.8647,0.86474,short,short,long,short,short
22,2023-10-04 06:00:00,False,long,0.86429,0.86406,long,neutral,long,long,long
23,2023-10-04 03:50:00,False,long,0.86478,0.86388,long,neutral,long,long,long
24,2023-10-04 00:10:00,False,long,0.86426,0.86388,long,neutral,long,long,long
25,2023-10-03 22:55:00,True,long,0.86406,0.86408,long,neutral,long,long,long
26,2023-10-03 19:55:00,False,short,0.86394,0.86436,short,neutral,short,short,short
27,2023-10-03 15:25:00,False,long,0.86504,0.86407,long,neutral,long,long,long
28,2023-10-03 03:45:00,True,long,0.87026,0.87037,long,long,long,long,long
29,2023-10-03 02:35:00,True,long,0.8702,0.87049,long,neutral,long,long,long
30,2023-10-03 00:30:00,False,long,0.87031,0.87018,long,neutral,long,long,long
31,2023-10-02 23:10:00,True,long,0.87024,0.87044,long,neutral,long,long,long
32,2023-10-02 18:25:00,True,long,0.87166,0.8718,long,neutral,long,long,long
33,2023-10-02 16:30:00,True,long,0.87092,0.87152,long,long,long,short,long
34,2023-10-02 14:45:00,True,short,0.87038,0.87012,short,neutral,short,short,short
35,2023-10-02 14:35:00,True,short,0.8705,0.87028,short,neutral,short,short,short
36,2023-10-02 14:25:00,False,long,0.87064,0.87016,long,long,long,short,long
37,2023-10-02 13:45:00,True,short,0.87072,0.87039,short,neutral,short,short,short
38,2023-10-02 12:50:00,False,short,0.8706,0.8708,short,neutral,short,short,short
39,2023-10-02 03:00:00,True,long,0.87392,0.87434,long,neutral,long,long,long
40,2023-10-02 00:00:00,True,long,0.8721,0.87288,long,neutral,long,long,long
41,2023-09-29 21:35:00,False,short,0.87206,0.87236,short,neutral,short,short,short
42,2023-09-29 20:45:00,False,short,0.87175,0.87206,short,neutral,short,short,short
43,2023-09-29 19:25:00,True,short,0.8726,0.8725,short,neutral,short,short,short
44,2023-09-29 17:30:00,False,short,0.87176,0.87296,short,neutral,short,short,short
45,2023-09-29 15:30:00,False,short,0.87074,0.87182,short,neutral,short,short,short
46,2023-09-29 15:05:00,False,short,0.87073,0.87149,short,neutral,short,short,short
47,2023-09-29 13:50:00,False,long,0.87254,0.87174,long,neutral,long,long,long
48,2023-09-29 11:55:00,False,long,0.87182,0.87162,long,neutral,long,long,long
49,2023-09-29 09:45:00,False,long,0.87137,0.87108,long,long,long,long,long
50,2023-09-29 08:25:00,True,long,0.87052,0.8707,long,neutral,long,long,long
51,2023-09-29 07:45:00,False,long,0.87064,0.87044,long,neutral,long,long,long
52,2023-09-29 07:30:00,True,long,0.87052,0.87064,long,neutral,long,long,long
53,2023-09-29 06:00:00,False,long,0.87044,0.87018,long,neutral,long,long,long
54,2023-09-28 10:45:00,True,short,0.86021,0.8601,short,neutral,short,short,short
55,2023-09-28 07:15:00,True,short,0.85928,0.85927,short,neutral,short,short,short
56,2023-09-28 02:15:00,True,short,0.85696,0.85677,short,neutral,short,short,short
57,2023-09-28 01:55:00,True,short,0.85714,0.85694,short,neutral,short,short,short
58,2023-09-27 23:10:00,False,long,0.8574,0.85732,long,short,long,long,long
59,2023-09-27 18:35:00,True,short,0.86166,0.86073,short,short,neutral,short,short
60,2023-09-27 17:50:00,False,short,0.86217,0.86218,short,neutral,short,short,short
61,2023-09-27 12:55:00,False,long,0.86289,0.86234,long,neutral,long,long,long
62,2023-09-27 11:15:00,True,long,0.8625,0.86278,long,neutral,long,long,long
63,2023-09-27 10:30:00,False,long,0.86294,0.86284,long,neutral,long,long,long
64,2023-09-27 10:15:00,False,short,0.86288,0.86294,short,neutral,short,short,short
65,2023-09-27 09:45:00,False,short,0.86222,0.86284,short,neutral,short,short,short
66,2023-09-27 09:00:00,True,short,0.86246,0.8623,short,neutral,short,short,short
67,2023-09-27 07:20:00,False,short,0.86278,0.8631,short,neutral,short,short,short
68,2023-09-27 06:55:00,True,short,0.8628,0.86264,short,neutral,short,short,short
69,2023-09-27 02:05:00,False,long,0.86471,0.86438,long,neutral,long,long,long
70,2023-09-27 00:20:00,True,short,0.86441,0.86432,short,short,short,long,short
71,2023-09-27 00:10:00,False,long,0.86465,0.86437,long,neutral,long,long,long
72,2023-09-26 22:45:00,True,long,0.86466,0.86476,long,long,short,long,long
