,datetime,is_profit,signal,open_signal_price,close_signal_price,SuperOrderBlock,Volume,UMA,NW,ScalpPro
0,2023-10-05 18:40:00,False,long,1.05292,1.05259,long,neutral,long,long,long
1,2023-10-05 18:25:00,True,long,1.05275,1.05292,long,neutral,long,long,long
2,2023-10-05 18:00:00,False,long,1.05248,1.05242,long,neutral,long,long,long
3,2023-10-05 17:30:00,False,long,1.05252,1.0522,long,neutral,long,long,long
4,2023-10-05 16:25:00,True,short,1.05278,1.0519,short,long,short,short,short
5,2023-10-05 16:05:00,False,long,1.05212,1.05178,long,long,long,long,long
6,2023-10-05 12:40:00,True,short,1.05111,1.05079,short,neutral,short,short,short
7,2023-10-05 12:00:00,False,short,1.05058,1.05145,short,neutral,short,short,short
8,2023-10-05 11:05:00,False,short,1.05138,1.05146,short,neutral,short,short,short
9,2023-10-05 10:30:00,False,short,1.0507,1.05106,short,neutral,short,short,short
10,2023-10-05 02:00:00,False,long,1.05064,1.05058,long,neutral,long,long,long
11,2023-10-04 23:30:00,True,long,1.05038,1.05048,long,neutral,long,long,long
12,2023-10-04 16:05:00,True,short,1.05228,1.05138,short,short,long,short,short
13,2023-10-04 10:10:00,False,short,1.04652,1.04702,short,neutral,short,short,short
14,2023-10-04 10:05:00,False,short,1.0456,1.04676,short,neutral,short,short,short
15,2023-10-04 04:40:00,False,short,1.04643,1.0467,short,neutral,short,short,short
16,2023-10-04 02:05:00,False,short,1.0465,1.04658,short,neutral,short,short,short
