,currency,interval,open_time,close_time,signal_type,open_price,close_price,is_profit
0,AUDUSD,Interval.in_1_minute,2023-11-22 12:41:26,2023-11-22 12:45:32,short,0.6553,0.65564,False
1,EURUSD,Interval.in_1_minute,2023-11-27 10:11:23,2023-11-27 10:15:31,short,1.09496,1.09486,True
2,AUDUSD,Interval.in_1_minute,2023-11-27 10:33:54,2023-11-27 10:38:00,long,0.65977,0.65983,True
3,AUDJPY,Interval.in_1_minute,2023-11-27 10:49:22,2023-11-27 10:53:29,long,98.365,98.385,True
4,AUDJPY,Interval.in_1_minute,2023-11-27 10:51:37,2023-11-27 10:55:43,long,98.365,98.382,True
5,AUDJPY,Interval.in_1_minute,2023-11-27 10:53:25,2023-11-27 10:57:31,long,98.385,98.388,True
6,GBPAUD,Interval.in_1_minute,2023-11-27 10:54:47,2023-11-27 10:58:54,short,1.91066,1.9108,False
7,EURUSD,Interval.in_1_minute,2023-11-27 10:56:22,2023-11-27 11:00:29,short,1.09431,1.09431,True
8,AUDCHF,Interval.in_1_minute,2023-11-27 11:08:25,2023-11-27 11:12:31,long,0.58082,0.58113,True
9,AUDCHF,Interval.in_3_minute,2023-11-27 11:06:32,2023-11-27 11:18:39,long,0.58062,0.58111,True
10,GBPAUD,Interval.in_1_minute,2023-11-27 11:45:46,2023-11-27 11:49:53,short,1.91242,1.91176,True
11,GBPAUD,Interval.in_3_minute,2023-11-27 11:39:33,2023-11-27 11:51:39,short,1.91168,1.91168,True
12,GBPAUD,Interval.in_1_minute,2023-11-27 11:49:22,2023-11-27 11:53:28,short,1.91176,1.91124,True
13,AUDUSD,Interval.in_3_minute,2023-11-27 11:42:30,2023-11-27 11:54:36,long,0.65985,0.65996,True
14,GBPAUD,Interval.in_1_minute,2023-11-27 11:52:26,2023-11-27 11:56:33,short,1.91166,1.91112,True
15,GBPAUD,Interval.in_1_minute,2023-11-27 14:20:37,2023-11-27 14:24:45,long,1.91358,1.91392,True
16,AUDCAD,Interval.in_1_minute,2023-11-27 14:32:23,2023-11-27 14:36:31,long,0.90008,0.90006,False
17,EURJPY,Interval.in_1_minute,2023-11-27 14:59:20,2023-11-27 15:03:28,short,162.957,162.95,True
18,EURJPY,Interval.in_1_minute,2023-11-27 15:14:22,2023-11-27 15:18:30,short,162.84,162.899,False
19,EURJPY,Interval.in_1_minute,2023-11-27 15:24:38,2023-11-27 15:28:45,short,162.898,162.948,False
20,AUDCAD,Interval.in_1_minute,2023-11-27 15:57:31,2023-11-27 16:01:38,short,0.90066,0.90038,True
21,EURUSD,Interval.in_1_minute,2023-11-27 16:35:36,2023-11-27 16:39:43,short,1.09302,1.09276,True
22,AUDUSD,Interval.in_1_minute,2023-11-27 16:43:23,2023-11-27 16:47:30,long,0.65976,0.65969,False
23,EURUSD,Interval.in_3_minute,2023-11-27 16:39:30,2023-11-27 16:51:36,short,1.09276,1.09308,False
24,AUDJPY,Interval.in_1_minute,2023-11-27 16:54:35,2023-11-27 16:58:43,short,98.073,98.136,False
25,GBPUSD,Interval.in_1_minute,2023-11-27 17:16:39,2023-11-27 17:20:46,short,1.26144,1.26134,True
26,EURUSD,Interval.in_3_minute,2023-11-27 17:09:28,2023-11-27 17:21:35,short,1.09324,1.09354,False
27,EURJPY,Interval.in_1_minute,2023-11-27 17:21:31,2023-11-27 17:25:37,long,162.672,162.716,True
28,EURJPY,Interval.in_5_minute,2023-11-27 17:40:31,2023-11-27 18:05:39,short,162.85,162.808,True
29,EURCAD,Interval.in_1_minute,2023-11-27 18:06:29,2023-11-27 18:10:38,short,1.49084,1.49137,False
30,GBPUSD,Interval.in_3_minute,2023-11-27 18:03:30,2023-11-27 18:15:37,short,1.26044,1.26112,False
31,EURUSD,Interval.in_1_minute,2023-11-27 18:15:44,2023-11-27 18:19:51,short,1.09359,1.09332,True
32,EURUSD,Interval.in_1_minute,2023-11-27 18:17:19,2023-11-27 18:21:25,short,1.09341,1.09325,True
33,GBPUSD,Interval.in_5_minute,2023-11-27 18:01:01,2023-11-27 18:26:09,short,1.26056,1.26066,False
34,EURCAD,Interval.in_3_minute,2023-11-27 18:18:34,2023-11-27 18:30:40,short,1.49146,1.49002,True
35,EURCAD,Interval.in_1_minute,2023-11-27 18:35:32,2023-11-27 18:39:39,short,1.49051,1.49074,False
36,EURCAD,Interval.in_1_minute,2023-11-27 18:37:22,2023-11-27 18:41:28,short,1.49023,1.49082,False
37,GBPUSD,Interval.in_1_minute,2023-11-27 18:42:34,2023-11-27 18:46:41,short,1.26058,1.26054,True
38,EURCAD,Interval.in_5_minute,2023-11-27 18:46:01,2023-11-27 19:11:08,short,1.49092,1.49133,False
39,GBPAUD,Interval.in_5_minute,2023-11-27 20:16:02,2023-11-27 20:41:11,short,1.9114,1.91095,True
40,GBPAUD,Interval.in_5_minute,2023-11-27 20:20:39,2023-11-27 20:45:46,short,1.91184,1.91102,True
41,EURUSD,Interval.in_1_minute,2023-11-27 20:45:43,2023-11-27 20:49:50,short,1.0939,1.09404,False
42,GBPAUD,Interval.in_5_minute,2023-11-27 20:25:37,2023-11-27 20:50:44,short,1.9117,1.911,True
43,EURUSD,Interval.in_1_minute,2023-11-27 20:47:18,2023-11-27 20:51:24,short,1.09396,1.09409,False
44,AUDJPY,Interval.in_1_minute,2023-11-27 21:42:45,2023-11-27 21:46:52,short,98.222,98.191,True
45,AUDJPY,Interval.in_1_minute,2023-11-27 21:44:35,2023-11-27 21:48:42,short,98.18,98.198,False
46,GBPUSD,Interval.in_1_minute,2023-11-27 22:05:33,2023-11-27 22:09:41,long,1.26296,1.26298,True
47,EURCAD,Interval.in_3_minute,2023-11-27 22:21:32,2023-11-27 22:33:39,long,1.49216,1.49232,True
48,EURCAD,Interval.in_3_minute,2023-11-27 22:24:47,2023-11-27 22:36:53,long,1.49231,1.4923,False
49,EURJPY,Interval.in_1_minute,2023-11-28 10:16:06,2023-11-28 10:20:14,short,162.576,162.624,False
50,EURJPY,Interval.in_1_minute,2023-11-28 10:17:20,2023-11-28 10:21:26,short,162.594,162.644,False
51,GBPUSD,Interval.in_1_minute,2023-11-28 10:26:26,2023-11-28 10:30:33,short,1.26127,1.26188,False
52,GBPUSD,Interval.in_3_minute,2023-11-28 10:24:33,2023-11-28 10:36:41,short,1.26134,1.26218,False
53,AUDUSD,Interval.in_1_minute,2023-11-28 10:49:20,2023-11-28 10:53:26,short,0.66012,0.66042,False
54,EURCAD,Interval.in_5_minute,2023-11-28 10:30:56,2023-11-28 10:56:04,short,1.48869,1.48926,False
55,EURJPY,Interval.in_1_minute,2023-11-28 10:55:29,2023-11-28 10:59:37,long,162.826,162.768,False
56,EURCAD,Interval.in_5_minute,2023-11-28 10:35:29,2023-11-28 11:00:36,short,1.48818,1.48926,False
57,EURCAD,Interval.in_5_minute,2023-11-28 10:40:32,2023-11-28 11:05:40,short,1.48891,1.48962,False
58,GBPUSD,Interval.in_5_minute,2023-11-28 10:45:52,2023-11-28 11:11:00,short,1.26192,1.26234,False
59,AUDCHF,Interval.in_1_minute,2023-11-28 11:32:25,2023-11-28 11:36:33,long,0.58218,0.58232,True
60,AUDCAD,Interval.in_1_minute,2023-11-28 11:38:21,2023-11-28 11:42:29,short,0.89899,0.89888,True
61,AUDCAD,Interval.in_3_minute,2023-11-28 11:36:28,2023-11-28 11:48:35,short,0.89924,0.89862,True
62,AUDJPY,Interval.in_1_minute,2023-11-28 11:50:33,2023-11-28 11:54:40,long,98.264,98.275,True
63,GBPUSD,Interval.in_1_minute,2023-11-28 11:51:34,2023-11-28 11:55:41,short,1.2626,1.26234,True
64,AUDJPY,Interval.in_1_minute,2023-11-28 11:53:23,2023-11-28 11:57:29,long,98.28,98.272,False
65,EURCAD,Interval.in_1_minute,2023-11-28 12:14:22,2023-11-28 12:18:29,short,1.48778,1.48758,True
66,EURJPY,Interval.in_5_minute,2023-11-28 12:01:00,2023-11-28 12:26:09,long,162.706,162.776,True
67,EURJPY,Interval.in_5_minute,2023-11-28 12:05:46,2023-11-28 12:30:53,long,162.688,162.811,True
68,EURUSD,Interval.in_1_minute,2023-11-28 12:27:29,2023-11-28 12:31:36,short,1.09538,1.09546,False
69,EURJPY,Interval.in_5_minute,2023-11-28 12:10:31,2023-11-28 12:35:39,long,162.697,162.783,True
70,AUDJPY,Interval.in_1_minute,2023-11-28 12:38:34,2023-11-28 12:42:42,long,98.328,98.322,False
71,EURUSD,Interval.in_1_minute,2023-11-28 12:41:27,2023-11-28 12:45:34,short,1.09485,1.095,False
72,AUDUSD,Interval.in_1_minute,2023-11-28 12:45:45,2023-11-28 12:49:53,short,0.6614,0.66127,True
73,GBPAUD,Interval.in_1_minute,2023-11-28 13:27:54,2023-11-28 13:32:02,short,1.90843,1.90774,True
74,EURCAD,Interval.in_1_minute,2023-11-28 13:35:31,2023-11-28 13:39:38,short,1.48844,1.4884,True
75,GBPAUD,Interval.in_3_minute,2023-11-28 14:00:59,2023-11-28 14:13:06,short,1.90798,1.90789,True
76,GBPAUD,Interval.in_3_minute,2023-11-28 14:03:38,2023-11-28 14:15:44,short,1.90815,1.9076,True
77,GBPAUD,Interval.in_3_minute,2023-11-28 14:09:31,2023-11-28 14:21:37,short,1.90774,1.90783,False
78,GBPAUD,Interval.in_5_minute,2023-11-28 14:06:03,2023-11-28 14:31:12,short,1.90817,1.90792,True
79,AUDUSD,Interval.in_1_minute,2023-11-28 14:37:21,2023-11-28 14:41:28,long,0.66198,0.66126,False
80,EURUSD,Interval.in_3_minute,2023-11-28 14:33:33,2023-11-28 14:45:41,long,1.09532,1.09564,True
81,EURUSD,Interval.in_3_minute,2023-11-28 14:42:32,2023-11-28 14:54:38,long,1.09528,1.09514,False
